"geo","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"FRJ15","12.8","8.7","13.6","7.9","-4.9"
"PL617","-1.1","7.4","12.5","-6.2","-5.1"
"DE26C","-18.4","8.8","10.7","-20.3","-2.0"
"DE502","52.5","10.2","14.1","48.6","-3.9"
"DE241","-40.9","10.1","13.1","-44.0","-3.0"
"SE221","1.5","8.8","11.5","-1.2","-2.8"
"PL712","4.1","7.3","13.4","-2.0","-6.1"
"MK001","-3.5","8.8","13.9","-8.6","-5.1"
"AL032","-22.1","7.5","9.9","-24.5","-2.4"
"PL22C","0.6","8.0","10.8","-2.2","-2.7"
"FI1C4","-1.7","5.8","15.8","-11.7","-10.0"
"HR025","-4.2","8.4","15.9","-11.7","-7.5"
"CZ063","22.8","9.8","11.5","21.1","-1.7"
"DEA29","15.1","9.1","12.9","11.3","-3.8"
"EE008","21.1","9.1","13.4","16.9","-4.3"
"DE21D","16.0","8.3","13.1","11.2","-4.8"
"DE135","-1.6","10.1","11.9","-3.4","-1.8"
"EL527","-4.8","7.1","13.5","-11.2","-6.4"
"DE225","-0.5","8.0","13.6","-6.1","-5.6"
"FI1B1","9.9","9.3","8.6","10.6","0.7"
"DE254","28.0","9.7","12.3","25.3","-2.7"
"PL213","1.4","10.4","10.9","0.9","-0.5"
"NL412","13.7","9.3","9.9","13.1","-0.6"
"MK006","-1.8","10.3","9.3","-0.8","1.0"
"DE264","-22.0","9.0","11.9","-25.0","-2.9"
"FR105","-1.5","12.4","6.5","4.4","5.9"
"DEF0C","7.9","8.4","14.1","2.2","-5.7"
"FRB02","0.4","10.6","10.6","0.4","0.0"
"DED2F","13.8","6.3","14.8","5.3","-8.4"
"NL124","11.3","9.0","10.4","9.9","-1.4"
"HU331","3.7","9.3","15.2","-2.2","-5.9"
"FRE12","-0.8","10.3","11.0","-1.6","-0.7"
"TR811","-1.0","7.4","8.4","-2.0","-1.0"
"BE329","6.6","9.7","11.5","4.8","-1.7"
"DE947","-3.2","7.9","15.4","-10.7","-7.5"
"PL411","-1.2","7.8","11.9","-5.2","-4.0"
"FRI14","8.8","8.7","13.4","4.1","-4.7"
"ITH35","5.4","6.0","12.6","-1.2","-6.6"
"BE342","13.0","10.8","9.0","14.8","1.8"
"RS213","-5.9","8.7","17.3","-14.5","-8.6"
"DE279","18.0","10.0","11.2","16.7","-1.2"
"FRI31","7.8","8.6","13.3","3.1","-4.7"
"ES511","18.8","7.2","8.9","17.0","-1.8"
"SI041","11.4","8.7","9.0","11.1","-0.3"
