"geo","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"ES42","15.4","7.0","9.9","12.5","-2.9"
"DEB2","-17.9","8.4","12.9","-22.4","-4.5"
"RS12","-37.2","9.3","16.5","-44.4","-7.2"
"HU11","3.7","8.7","13.3","-0.9","-4.6"
"DEA2","0.2","9.1","11.9","-2.6","-2.8"
"LT02","19.3","7.2","16.2","10.3","-9.1"
"FRB0","3.6","9.8","11.3","2.1","-1.5"
"EL43","-0.6","9.3","11.3","-2.7","-2.0"
"FRK2","4.1","10.8","8.6","6.3","2.1"
"AT31","12.0","9.8","10.1","11.7","-0.3"
"FRF2","-2.0","9.6","11.1","-3.4","-1.5"
"NO09","13.0","8.7","9.2","12.4","-0.6"
"CZ08","13.4","9.1","12.6","9.9","-3.5"
"PT15","147.3","8.0","11.6","143.8","-3.5"
"TR81","3.9","7.8","8.6","3.1","-0.8"
"DE71","-4.5","9.4","11.2","-6.3","-1.8"
"DE40","10.7","6.9","14.7","2.9","-7.9"
"NL35","10.9","10.3","8.3","12.9","2.0"
"AL02","-3.1","9.6","7.0","-0.5","2.6"
"CZ02","37.8","9.5","10.2","37.2","-0.6"
"ES12","10.2","4.7","13.9","1.1","-9.1"
"DE24","-3.6","8.4","14.3","-9.5","-5.9"
"SE12","6.0","9.8","9.4","6.5","0.5"
"ME00","-1.5","11.4","11.5","-1.6","-0.1"
"BE21","12.7","10.1","9.6","13.3","0.6"
"HU21","5.8","9.0","14.4","0.5","-5.4"
"DE23","-5.3","9.5","12.3","-8.1","-2.8"
"AT22","12.5","8.5","11.3","9.8","-2.8"
"EL41","4.4","6.9","13.3","-1.9","-6.4"
"ITG2","2.3","4.9","13.0","-5.9","-8.1"
"TR42","12.6","11.6","6.1","18.1","5.5"
"PL81","-2.0","7.8","12.7","-7.0","-5.0"
"MT00","41.0","8.1","8.0","41.2","0.1"
"IS00","25.7","11.5","7.0","30.1","4.4"
"DE73","-10.1","8.6","13.9","-15.4","-5.3"
"PL42","-0.3","7.3","12.8","-5.8","-5.5"
"PL91","4.9","9.5","10.5","3.9","-1.0"
"DED2","10.4","7.1","14.0","3.4","-6.9"
"TRB2","-25.3","19.4","3.1","-9.0","16.3"
"DEB3","1.0","9.2","12.7","-2.5","-3.5"
"EL54","5.9","6.2","14.3","-2.3","-8.1"
"ITF5","0.6","6.0","13.2","-6.7","-7.2"
"BE23","12.0","9.5","10.0","11.5","-0.5"
"HU23","2.2","8.4","15.6","-5.1","-7.2"
"SE23","6.6","10.2","9.0","7.8","1.3"
"IE06","15.3","10.7","5.9","20.2","4.8"
"FRC2","-0.9","9.2","10.4","-2.1","-1.2"
"BE35","7.4","9.4","10.4","6.4","-1.0"
"PL71","-0.5","7.7","14.2","-7.0","-6.5"
"DED5","11.2","8.1","13.3","6.0","-5.2"
"FRY1","-0.6","11.3","10.1","0.6","1.2"
"FRJ2","7.1","9.3","10.6","5.8","-1.3"
"RS21","-13.3","9.0","16.5","-20.8","-7.5"
"DEB1","17.7","8.8","13.8","12.7","-5.0"
"ITH4","6.9","6.1","13.3","-0.3","-7.2"
"DEE0","1.7","6.7","17.3","-8.8","-10.5"
"FRD2","1.1","10.7","10.6","1.2","0.1"
"PL82","-0.6","8.6","11.2","-3.2","-2.6"
"TR72","-2.3","11.2","6.6","2.4","4.6"
"DE14","7.5","9.6","10.8","6.3","-1.2"
"TRC3","-7.2","21.3","3.1","11.0","18.2"
"FI1C","4.3","7.1","13.0","-1.6","-5.9"
"FRJ1","10.6","9.5","11.4","8.7","-1.9"
"FRI3","7.2","8.3","12.7","2.8","-4.4"
"AT32","9.9","9.6","9.4","10.2","0.2"
"NO08","13.7","9.9","7.4","16.2","2.6"
