"geo","gdp_per_capita_eur","employment_rate_per1000","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"FRI3","31751.4474885297","52.9482524895494","7.2","8.3","12.7","2.8","-4.4"
"AT32","61003.970807279","75.0080873648699","9.9","9.6","9.4","10.2","0.2"
"ES41","27558.2950901378","73.750224155219","10.9","5.5","13.0","3.4","-7.5"
"DE13","43590.0087346334","47.0383641204364","10.7","9.2","11.3","8.6","-2.1"
"CZ03","22776.6883761024","59.0415495239991","35.9","9.4","11.4","33.9","-2.0"
"DEA1","48544.7023565711","43.6290890607134","9.3","9.1","13.6","4.8","-4.5"
"SE11","71211.4002548094","29.7705432275327","6.1","10.9","6.7","10.3","4.2"
"ES30","39620.4632379558","59.2590571373871","18.9","7.5","7.5","18.9","0.0"
"ITF4","22025.1311452301","95.3111453881157","0.8","6.7","11.4","-3.9","-4.7"
"DE50","58018.4429894909","38.4943448496074","31.3","9.8","13.0","28.1","-3.2"
"HU31","11300.0365908247","32.6230355130751","-1.3","10.3","15.9","-6.9","-5.6"
"AT34","59590.3892211097","58.0072397018478","10.8","9.9","9.0","11.7","0.9"
"ES64","19496.7738897","49.4513257664956","1.8","10.5","5.7","6.6","4.8"
"ES63","21270.4987116816","36.1210778529631","-1.4","8.8","7.4","0.0","1.4"
"FR10","63279.1436918805","41.9757298381612","0.1","13.1","6.6","6.6","6.5"
"PL43","14715.8088285169","68.8733262999058","-1.0","7.4","12.2","-5.7","-4.8"
"ITF3","21804.7460893745","85.9644194423603","0.4","7.9","10.9","-2.6","-3.0"
"MK00","7208.70343375534","88.9329676873618","-1.5","9.9","12.2","-3.9","-2.4"
"CZ01","62304.6543610427","142.495801336986","61.7","10.3","9.7","62.2","0.5"
"PL52","14520.978587037","87.5400578872484","-1.2","7.5","13.1","-6.8","-5.5"
"ITC1","34475.48016493","104.925581777814","6.6","6.1","13.8","-1.2","-7.7"
"ITH1","55953.3510071046","128.422728569927","3.4","9.2","9.8","2.9","-0.6"
