nuts3_code,population_2023,nights_spent_2023
DE252,113911,641479.0
DE253,131060,304564.0
DE254,523734,3539654.0
DE255,40812,99127.0
DE256,186359,1435369.0
DE257,137981,297426.0
DE258,117602,193067.0
DE259,168856,261500.0
DE25A,100568,464080.0
DE25B,127472,404788.0
DE25C,94468,928236.0
DE261,72054,275108.0
DE262,53539,244372.0
DE263,131271,924233.0
DE264,170651,463702.0
DE265,103088,922698.0
DE266,79216,599853.0
DE267,83258,175654.0
DE268,90576,736597.0
DE269,126649,257105.0
DE26A,125270,454733.0
DE26B,114749,94129.0
DE26C,160240,478208.0
DE271,296706,1113401.0
DE272,45459,97177.0
DE273,65229,351442.0
DE274,43696,195052.0
DE275,135133,186330.0
DE276,259302,385141.0
DE277,97430,117387.0
DE278,128361,962467.0
DE279,180320,462184.0
DE27A,81874,1583971.0
DE27B,140153,3345261.0
DE27C,143384,784063.0
DE27D,133770,331940.0
DE27E,152664,5345947.0
DE300,3632853,29383378.0
DE401,73612,249608.0
DE402,94250,280205.0
DE403,56434,110396.0
DE404,182987,1255156.0
DE405,191525,658608.0
DE406,176373,2129696.0
DE407,99684,127412.0
DE408,168494,268425.0
DE409,196930,321565.0
DE40A,216849,533662.0
DE40B,109091,876113.0
DE40C,179748,1190462.0
DE40D,99294,806424.0
DE40E,219092,947960.0
DE40F,76322,308621.0
DE40G,111083,722061.0
DE40H,175569,628018.0
DE40I,117822,893535.0
DE501,576947,2262912.0
DE502,118811,447587.0
DE600,1832675,15894864.0
DE711,162329,735180.0
DE712,747389,10335532.0
DE713,130542,574674.0
DE714,284787,1170148.0
DE715,273288,584462.0
DE716,300928,488100.0
DE717,266326,1002326.0
DE718,238534,820832.0
DE719,415753,790613.0
DE71A,237671,846316.0
DE71B,94619,323362.0
DE71C,353948,887542.0
DE71D,185684,765021.0
DE71E,309348,481698.0
DE721,266314,399823.0
DE722,253208,443339.0
DE723,173484,423263.0
DE724,242197,543798.0
DE725,101545,424777.0
DE731,196575,838028.0
DE732,221445,1616504.0
DE733,118183,690663.0
DE734,230318,685609.0
DE735,179406,470292.0
DE736,155068,2113008.0
DE737,98044,352008.0
DE803,203909,2121300.0
DE804,97614,358095.0
DE80J,247735,3462014.0
DE80K,218132,4439677.0
DE80L,215983,9578192.0
DE80M,157108,2270387.0
DE80N,226324,5889605.0
DE80O,209244,897617.0
DE911,253194,702841.0
DE912,104564,181682.0
DE913,127990,553433.0
DE914,175361,318472.0
DE916,127856,2259455.0
DE917,90985,120984.0
DE918,126598,300679.0
DE91A,136719,82202.0
DE91B,118296,103392.0
DE91C,328039,1766875.0
DE922,219641,656942.0
DE923,150717,593214.0
DE925,268062,505550.0
DE926,66288,196595.0
DE927,121295,228650.0
DE928,156747,373660.0
DE929,1134284,3946891.0
DE931,172477,762090.0
DE932,198898,2250024.0
DE933,262954,729963.0
DE934,46791,244175.0
DE935,178099,703802.0
DE936,113800,154765.0
DE937,164657,469229.0
DE938,143728,2929697.0
DE939,206375,598556.0
DE93A,91059,383890.0
DE93B,137793,340610.0
DE941,81148,67147.0
DE942,49563,237850.0
DE943,174445,263679.0
DE944,165741,487864.0
DE945,75860,294534.0
DE946,126390,608328.0
DE947,188402,3932649.0
DE948,175549,483021.0
DE949,331711,2222412.0
DE94A,100089,1656653.0
DE94B,143472,658071.0
DE94C,169390,1456019.0
DE94D,131228,406840.0
DE94E,356060,974483.0
DE94F,145552,350924.0
DE94G,89127,779093.0
DE94H,55953,2422931.0
DEA11,614399,5409796.0
DEA12,501671,498897.0
DEA13,572237,1556403.0
DEA14,230375,242312.0
DEA15,267333,370101.0
DEA16,172054,162286.0
DEA17,213252,490959.0
DEA18,113731,85497.0
DEA19,165229,90566.0
DEA1A,358568,431659.0
DEA1B,317411,814155.0
DEA1C,489246,833558.0
DEA1D,455818,615009.0
DEA1E,295362,344568.0
DEA1F,455854,790475.0
DEA22,322221,1516249.0
DEA23,1021253,6487905.0
DEA24,167174,206417.0
DEA26,276675,607058.0
DEA27,473669,907012.0
DEA28,199228,653612.0
DEA29,261239,251049.0
DEA2A,273634,466227.0
DEA2B,283037,264186.0
DEA2C,602933,1027637.0
DEA2D,580359,1446917.0
DEA31,118327,75490.0
DEA32,264644,304690.0
DEA33,305222,1187491.0
DEA34,377154,628250.0
DEA35,224745,633406.0
DEA36,621933,600746.0
DEA37,447192,775077.0
DEA38,281090,384031.0
DEA41,331385,546852.0
DEA42,361931,536316.0
DEA43,254949,227159.0
DEA44,138943,535457.0
DEA45,348275,1017318.0
DEA46,320648,546120.0
DEA47,313921,617105.0
DEA51,356209,643895.0
DEA52,599370,1418089.0
DEA53,189957,205422.0
DEA54,179479,172749.0
DEA55,155603,63294.0
DEA56,315325,299689.0
DEA57,261006,3544884.0
DEA58,410629,352331.0
DEA59,132519,547608.0
DEA5A,274634,441614.0
DEA5B,299749,788964.0
