nuts2_code,name,gdp_mio_eur_2022,population_2022
NL21,Overijssel,56275.22,1171910
NL22,Gelderland,99955.57,2110472
NL23,Flevoland,18711.04,434771
NL32,Noord-Holland,213844.28,2909827
NL34,Zeeland,17859.52,386767
NL35,Utrecht,91658.58,1369873
NL36,Zuid-Holland,203665.21,3753944
NL41,Noord-Brabant,148103.88,2592874
NL42,Limburg (NL),52196.66,1118302
PL21,Małopolskie,53019.35,3320962
PL22,Śląskie,79873.25,4273835
PL41,Wielkopolskie,64702.82,3449874
PL42,Zachodniopomorskie,23566.68,1598259
PL43,Lubuskie,14101.88,958281
PL51,Dolnośląskie,55243.76,2822229
PL52,Opolskie,13104.37,902444
PL61,Kujawsko-pomorskie,28826.18,1954778
PL62,Warmińsko-mazurskie,16570.28,1311843
PL63,Pomorskie,40857.46,2295510
PL71,Łódzkie,39866.65,2359467
PL72,Świętokrzyskie,14758.27,1142718
PL81,Lubelskie,24392.43,1962076
PL82,Podkarpackie,24733.07,1968616
PL84,Podlaskie,14969.97,1089385
PL91,Warszawski stołeczny,115824.76,3256793
PL92,Mazowiecki regionalny,37301.37,2222691
PT11,Norte,72462.89,3609978
PT15,Algarve,11984.17,469983
PT19,Centro (PT),34113.88,1667538
PT1A,Grande Lisboa,75526.36,2068670
PT1B,Península de Setúbal,13176.45,814975
PT1C,Alentejo,10479.33,472504
PT1D,Oeste e Vale do Tejo,14918.26,825982
PT20,Região Autónoma dos Açores,4859.15,238794
PT30,Região Autónoma da Madeira,6265.72,252693
RO11,Nord-Vest,34017.06,2523601
RO12,Centru,30361.49,2273401
RO21,Nord-Est,28258.5,3221997
RO22,Sud-Est,27270.58,2361692
RO31,Sud-Muntenia,32361.85,2854893
RO32,Bucureşti-Ilfov,81728.83,2268381
RO41,Sud-Vest Oltenia,21876.12,1869602
RO42,Vest,24717.79,1669531
RS11,Beogradski region,25637.62,1684567
RS12,Region Vojvodine,16489.36,1817534
RS21,Region Sumadije i Zapadne Srbije,11546.14,1854641
RS22,Region Juzne i Istocne Srbije,9815.74,1440363
SE11,Stockholm,171985.43,2415139
SE12,Östra Mellansverige,78795.01,1752290
SE21,Småland med öarna,39342.45,878580
SE22,Sydsverige,69052.36,1561362
SE23,Västsverige,106161.04,2085102
SE31,Norra Mellansverige,35778.95,859350
SE32,Mellersta Norrland,17406.33,376247
SE33,Övre Norrland,28560.19,524256
SI03,Vzhodna Slovenija,24169.94,1103787
SI04,Zahodna Slovenija,32711.68,1003393
SK01,Bratislavský kraj,31154.93,723714
SK02,Západné Slovensko,32679.69,1812542
SK03,Stredné Slovensko,22495.06,1310511
SK04,Východné Slovensko,23630.08,1587945
TR10,İstanbul,261252.96,15840900
TR21,"Tekirdağ, Edirne, Kırklareli",24299.07,1891878
TR22,"Balıkesir, Çanakkale",17642.77,1807886
TR31,İzmir,56406.57,4425789
TR32,"Aydın, Denizli, Muğla",29447.41,3206228
TR33,"Manisa, Afyonkarahisar, Kütahya, Uşak",27611.15,3152628
TR41,"Bursa, Eskişehir, Bilecik",47708.32,4274521
TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",56406.31,4106308
TR51,Ankara,83120.83,5747325
TR52,"Konya, Karaman",21551.63,2535855
TR61,"Antalya, Isparta, Burdur",34639.23,3339226
TR62,"Adana, Mersin",36217.75,4154518
TR63,"Hatay, Kahramanmaraş, Osmaniye",23059.38,3395022
TR71,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",12770.57,1619709
TR72,"Kayseri, Sivas, Yozgat",18960.74,2488978
TR81,"Zonguldak, Karabük, Bartın",8797.86,1040682
TR82,"Kastamonu, Çankırı, Sinop",5975.03,790515
TR83,"Samsun, Tokat, Çorum, Amasya",17721.38,2835454
TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",16407.26,2693034
TRA1,"Erzurum, Erzincan, Bayburt",6710.08,1079286
TRA2,"Ağrı, Kars, Iğdır, Ardahan",4825.39,1103812
TRB1,"Malatya, Elazığ, Bingöl, Tunceli",10329.78,1763537
TRB2,"Van, Muş, Bitlis, Hakkari",8272.63,2176738
TRC1,"Gaziantep, Adıyaman, Kilis",21549,2908406
TRC2,"Şanlıurfa, Diyarbakır",15936.95,3934393
TRC3,"Mardin, Batman, Şırnak, Siirt",12731.11,2367645
