geo_code,geo_name,employed_persons_thousand,population
PT1C,Alentejo,207.8,472504
PT1D,Oeste e Vale do Tejo,361.6,825982
PT20,Região Autónoma dos Açores,108.7,238794
PT30,Região Autónoma da Madeira,113.4,252693
RO11,Nord-Vest,1098.5,2523601
RO12,Centru,904.6,2273401
RO21,Nord-Est,1245.0,3221997
RO22,Sud-Est,852.1,2361692
RO31,Sud-Muntenia,1083.3,2854893
RO32,Bucureşti-Ilfov,1172.0,2268381
RO41,Sud-Vest Oltenia,683.1,1869602
RO42,Vest,689.7,1669531
RS11,Beogradski region,751.2,1684567
RS12,Region Vojvodine,709.8,1817534
RS21,Region Sumadije i Zapadne Srbije,721.3,1854641
RS22,Region Juzne i Istocne Srbije,524.4,1440363
SE11,Stockholm,1272.4,2415139
SE12,Östra Mellansverige,780.5,1752290
SE21,Småland med öarna,407.2,878580
SE22,Sydsverige,718.7,1561362
SE23,Västsverige,1019.8,2085102
SE31,Norra Mellansverige,382.2,859350
SE32,Mellersta Norrland,172.4,376247
SE33,Övre Norrland,243.2,524256
SI03,Vzhodna Slovenija,494.9,1103787
SI04,Zahodna Slovenija,471.7,1003393
SK01,Bratislavský kraj,372.2,723714
SK02,Západné Slovensko,882.8,1812542
SK03,Stredné Slovensko,620.6,1310511
SK04,Východné Slovensko,684.3,1587945
TR10,İstanbul,6195.1,15840900
TR21,"Tekirdağ, Edirne, Kırklareli",783.0,1891878
TR22,"Balıkesir, Çanakkale",662.2,1807886
TR31,İzmir,1680.5,4425789
TR32,"Aydın, Denizli, Muğla",1230.0,3206228
TR33,"Manisa, Afyonkarahisar, Kütahya, Uşak",1174.6,3152628
TR41,"Bursa, Eskişehir, Bilecik",1649.3,4274521
TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",1552.7,4106308
TR51,Ankara,2117.9,5747325
TR52,"Konya, Karaman",860.5,2535855
TR61,"Antalya, Isparta, Burdur",1335.4,3339226
TR62,"Adana, Mersin",1403.5,4154518
TR63,"Hatay, Kahramanmaraş, Osmaniye",1013.1,3395022
TR71,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",538.3,1619709
TR72,"Kayseri, Sivas, Yozgat",820.7,2488978
TR81,"Zonguldak, Karabük, Bartın",342.0,1040682
TR82,"Kastamonu, Çankırı, Sinop",281.7,790515
TR83,"Samsun, Tokat, Çorum, Amasya",1049.7,2835454
TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",979.7,2693034
TRA1,"Erzurum, Erzincan, Bayburt",340.5,1079286
TRA2,"Ağrı, Kars, Iğdır, Ardahan",309.7,1103812
TRB1,"Malatya, Elazığ, Bingöl, Tunceli",562.9,1763537
TRB2,"Van, Muş, Bitlis, Hakkari",562.5,2176738
TRC1,"Gaziantep, Adıyaman, Kilis",860.7,2908406
TRC2,"Şanlıurfa, Diyarbakır",944.6,3934393
TRC3,"Mardin, Batman, Şırnak, Siirt",504.1,2367645
