geo,gdp_per_capita_eur,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
TR612,10900.0,469.0,220.0,249.0,38.2,1027.0,170.0,150.0,29.0
TR613,11000.0,484.0,252.0,233.0,39.7,999.0,157.0,169.0,37.0
TR621,9900.0,485.0,149.0,336.0,34.0,999.0,226.0,100.0,16.0
TR622,12500.0,471.0,160.0,311.0,35.4,994.0,211.0,109.0,19.0
TR631,9800.0,512.0,135.0,377.0,31.8,973.0,249.0,89.0,14.0
TR632,9600.0,517.0,145.0,372.0,31.4,963.0,245.0,96.0,18.0
TR633,8900.0,511.0,152.0,360.0,32.9,987.0,238.0,100.0,16.0
TR711,12300.0,444.0,202.0,242.0,38.0,994.0,168.0,140.0,24.0
TR712,11400.0,496.0,158.0,338.0,33.1,1000.0,226.0,106.0,18.0
TR713,10200.0,483.0,170.0,313.0,34.1,1002.0,211.0,114.0,22.0
TR714,10300.0,472.0,193.0,279.0,36.2,1031.0,189.0,131.0,25.0
TR715,9800.0,470.0,211.0,259.0,37.9,1013.0,176.0,143.0,26.0
TR721,11300.0,467.0,153.0,313.0,34.4,1002.0,214.0,104.0,18.0
TR722,9900.0,492.0,216.0,276.0,36.4,1005.0,185.0,145.0,28.0
TR723,8500.0,498.0,231.0,267.0,37.8,993.0,178.0,154.0,29.0
TR811,10300.0,448.0,229.0,219.0,41.7,1014.0,151.0,158.0,25.0
TR812,10400.0,432.0,219.0,213.0,38.9,989.0,149.0,153.0,29.0
TR813,9000.0,452.0,239.0,213.0,41.4,1014.0,147.0,165.0,28.0
TR821,11100.0,536.0,310.0,226.0,42.9,1017.0,147.0,202.0,40.0
TR822,12100.0,514.0,268.0,246.0,40.1,992.0,162.0,177.0,35.0
TR823,9000.0,560.0,325.0,235.0,43.4,1013.0,151.0,208.0,44.0
TR831,10400.0,465.0,200.0,265.0,38.3,1020.0,181.0,137.0,25.0
TR832,7400.0,499.0,238.0,261.0,39.4,1012.0,174.0,159.0,29.0
TR833,9200.0,521.0,262.0,259.0,40.9,1012.0,170.0,172.0,35.0
TR834,9700.0,492.0,245.0,247.0,40.0,993.0,165.0,164.0,33.0
TR901,9700.0,488.0,220.0,268.0,38.7,1015.0,180.0,148.0,30.0
TR902,8300.0,506.0,249.0,257.0,41.1,1004.0,170.0,165.0,34.0
TR903,8700.0,517.0,289.0,227.0,42.9,999.0,150.0,191.0,42.0
TR904,10000.0,468.0,220.0,247.0,39.8,1000.0,168.0,150.0,32.0
TR905,11000.0,506.0,281.0,226.0,41.9,1001.0,150.0,186.0,41.0
TR906,8100.0,454.0,224.0,230.0,36.7,995.0,158.0,154.0,33.0
TRA11,9000.0,494.0,149.0,344.0,30.8,1004.0,231.0,100.0,20.0
TRA12,11100.0,464.0,203.0,260.0,35.6,962.0,178.0,139.0,29.0
TRA13,9300.0,444.0,183.0,261.0,32.8,975.0,181.0,127.0,26.0
TRA21,5500.0,589.0,92.0,497.0,24.5,931.0,313.0,58.0,10.0
TRA22,8500.0,500.0,144.0,355.0,29.7,943.0,237.0,96.0,20.0
TRA23,7400.0,519.0,121.0,398.0,28.0,924.0,262.0,79.0,14.0
TRA24,10800.0,501.0,223.0,277.0,35.9,919.0,185.0,149.0,32.0
TRB11,10300.0,475.0,178.0,297.0,35.6,993.0,201.0,121.0,24.0
TRB12,9800.0,466.0,169.0,297.0,35.2,1024.0,202.0,115.0,22.0
TRB13,7800.0,490.0,125.0,365.0,30.6,987.0,245.0,84.0,17.0
TRB14,13500.0,447.0,246.0,202.0,39.9,914.0,139.0,170.0,39.0
TRB21,5700.0,541.0,78.0,463.0,25.5,963.0,300.0,51.0,8.0
TRB22,6500.0,593.0,100.0,494.0,24.8,967.0,310.0,62.0,11.0
TRB23,6500.0,556.0,94.0,462.0,25.9,933.0,297.0,61.0,11.0
TRB24,8600.0,436.0,62.0,374.0,26.3,891.0,260.0,43.0,8.0
TRC11,8900.0,549.0,95.0,455.0,27.0,983.0,293.0,61.0,10.0
TRC12,9200.0,553.0,139.0,414.0,29.9,974.0,267.0,89.0,17.0
TRC13,7100.0,531.0,124.0,407.0,28.1,980.0,266.0,81.0,16.0
TRC21,5300.0,715.0,75.0,640.0,21.4,981.0,373.0,44.0,8.0
TRC22,6900.0,559.0,85.0,474.0,26.3,980.0,304.0,55.0,11.0
TRC31,7000.0,597.0,95.0,502.0,25.4,990.0,314.0,60.0,14.0
TRC32,6600.0,554.0,78.0,475.0,25.4,974.0,306.0,50.0,10.0
TRC33,8600.0,588.0,59.0,530.0,23.0,922.0,334.0,37.0,8.0
TRC34,7400.0,573.0,91.0,482.0,24.5,956.0,307.0,58.0,11.0
