geo,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
TRB13,490.0,125.0,365.0,30.6,987.0,245.0,84.0,17.0
TRB14,447.0,246.0,202.0,39.9,914.0,139.0,170.0,39.0
TRB21,541.0,78.0,463.0,25.5,963.0,300.0,51.0,8.0
TRB22,593.0,100.0,494.0,24.8,967.0,310.0,62.0,11.0
TRB23,556.0,94.0,462.0,25.9,933.0,297.0,61.0,11.0
TRB24,436.0,62.0,374.0,26.3,891.0,260.0,43.0,8.0
TRC11,549.0,95.0,455.0,27.0,983.0,293.0,61.0,10.0
TRC12,553.0,139.0,414.0,29.9,974.0,267.0,89.0,17.0
TRC13,531.0,124.0,407.0,28.1,980.0,266.0,81.0,16.0
TRC21,715.0,75.0,640.0,21.4,981.0,373.0,44.0,8.0
TRC22,559.0,85.0,474.0,26.3,980.0,304.0,55.0,11.0
TRC31,597.0,95.0,502.0,25.4,990.0,314.0,60.0,14.0
TRC32,554.0,78.0,475.0,25.4,974.0,306.0,50.0,10.0
TRC33,588.0,59.0,530.0,23.0,922.0,334.0,37.0,8.0
TRC34,573.0,91.0,482.0,24.5,956.0,307.0,58.0,11.0
