geo_code,geo_name,one_person_household_per1000,one_parent_family_per1000,married_couple_with_children_per1000,cohabiting_couple_with_children_per1000,owned_outright_per1000,owned_with_mortgage_per1000,rented_private_landlord_per1000,rented_local_authority_per1000,no_central_heating_per1000,oil_heating_per1000,natural_gas_heating_per1000,private_water_source_per1000,septic_tank_per1000,at_work_per1000,unemployed_per1000,retired_per1000,looking_after_home_family_per1000,unable_to_work_disability_per1000,professional_workers_per1000,unskilled_workers_per1000,no_formal_education_per1000,upper_secondary_per1000,bachelor_or_higher_per1000
06698531-f7f7-4058-a15f-7d455ef0dd94,KILLINAGH/TEEBANE,67.56756756756756,74.32432432432432,547.2972972972973,20.27027027027027,385.13513513513516,385.13513513513516,94.5945945945946,27.027027027027028,20.408163265306122,530.6122448979593,0.0,510.2040816326531,775.5102040816327,517.5438596491229,87.71929824561403,192.98245614035088,43.859649122807014,35.08771929824561,83.33333333333333,48.611111111111114,43.01075268817205,161.29032258064515,204.30107526881721
2ae19629-16a3-13a3-e055-000000000001,BALLYBROPHY,61.67400881057269,39.647577092511014,497.7973568281938,74.8898678414097,427.31277533039645,396.4757709251101,66.07929515418502,4.405286343612335,13.888888888888888,486.1111111111111,0.0,819.4444444444445,902.7777777777778,586.2068965517241,22.988505747126435,126.43678160919542,74.71264367816093,57.47126436781609,103.13901345291481,35.874439461883405,40.0,266.6666666666667,266.6666666666667
2ae19629-16a6-13a3-e055-000000000001,BALLYLEHANE,86.53846153846153,57.69230769230769,572.1153846153845,19.230769230769234,471.15384615384613,389.4230769230769,28.846153846153847,0.0,27.397260273972602,602.7397260273972,13.698630136986301,479.4520547945205,863.013698630137,555.5555555555555,43.20987654320987,141.9753086419753,104.93827160493827,61.72839506172839,133.00492610837438,29.556650246305416,35.21126760563381,190.14084507042253,316.90140845070425
2ae19629-16b6-13a3-e055-000000000001,DANGANS,42.48366013071895,158.16993464052288,473.8562091503268,139.2156862745098,162.51638269986893,365.00655307994754,74.04980340760157,285.7142857142857,8.695652173913043,617.3913043478261,2.1739130434782608,89.13043478260869,173.91304347826087,512.5673249551166,75.40394973070018,66.42728904847397,109.51526032315978,71.8132854578097,29.52755905511811,28.871391076115486,44.95747266099635,257.5941676792223,181.044957472661
2ae19629-16cb-13a3-e055-000000000001,KILLABBAN,68.9655172413793,64.65517241379311,620.6896551724138,40.94827586206896,431.03448275862064,476.2931034482759,68.9655172413793,2.155172413793103,19.108280254777068,840.7643312101911,6.369426751592357,738.8535031847133,700.6369426751592,633.5227272727273,19.886363636363637,133.52272727272725,65.3409090909091,51.13636363636364,81.14035087719299,24.12280701754386,6.557377049180328,206.55737704918033,275.4098360655738
2ae19629-16d1-13a3-e055-000000000001,DUNMORE,62.28373702422145,48.44290657439446,543.2525951557093,89.96539792387544,449.8269896193772,429.0657439446367,38.062283737024224,0.0,0.0,827.9569892473119,0.0,602.1505376344086,956.989247311828,579.6460176991151,13.274336283185841,159.2920353982301,66.3716814159292,26.548672566371682,105.63380281690141,7.042253521126761,15.789473684210527,157.89473684210526,321.05263157894734
2ae19629-16d5-13a3-e055-000000000001,ERRILL,99.53703703703704,83.33333333333333,523.1481481481482,62.5,363.4259259259259,379.6296296296297,67.12962962962963,159.7222222222222,19.607843137254903,470.5882352941176,0.0,601.3071895424837,464.0522875816994,560.47197640118,61.94690265486726,132.7433628318584,67.84660766961652,50.147492625368734,46.62004662004662,34.96503496503497,31.914893617021274,258.8652482269503,205.67375886524823
2ae19629-16d6-13a3-e055-000000000001,FARNANS,62.80193236714976,57.971014492753625,444.4444444444444,19.32367149758454,478.04878048780483,400.0,19.51219512195122,24.390243902439025,14.705882352941176,661.7647058823529,0.0,764.7058823529411,794.1176470588235,554.8780487804878,42.6829268292683,164.63414634146343,91.46341463414635,30.48780487804878,52.88461538461539,28.846153846153847,29.41176470588235,213.23529411764704,264.70588235294116
23519126-bd85-4c40-a1e2-26c5d2b7e51c,ARIGNA/DRUMKEERAN/KILLARGA,185.97063621533442,92.98531810766721,407.8303425774878,66.88417618270799,499.18166939443535,211.12929623567922,78.55973813420621,130.9328968903437,22.55639097744361,571.4285714285714,26.31578947368421,146.61654135338344,500.0,440.6779661016949,45.19774011299435,231.63841807909606,60.263653483992464,71.56308851224105,59.8705501618123,32.362459546925564,53.81165919282512,154.7085201793722,242.152466367713
2ae19629-16a2-13a3-e055-000000000001,BALLYBRITTAS,49.00568181818181,49.715909090909086,605.1136363636364,31.25,303.4188034188034,575.4985754985755,68.37606837606839,4.273504273504274,4.444444444444445,388.8888888888889,291.1111111111111,288.88888888888886,493.33333333333337,615.2527849185947,35.98971722365039,119.96572407883461,76.26392459297342,39.417309340188524,111.84210526315789,16.44736842105263,21.0,153.0,429.0
2ae19629-16a7-13a3-e055-000000000001,BALLYLYNAN,60.233160621761655,83.54922279792747,517.4870466321242,110.75129533678756,255.82901554404148,496.1139896373057,108.16062176165802,97.15025906735751,3.838771593090211,650.6717850287907,140.1151631477927,88.29174664107485,213.05182341650672,571.063829787234,43.40425531914894,120.85106382978724,77.4468085106383,46.80851063829787,60.24885396201703,26.195153896529142,21.671826625387,227.03818369453043,243.5500515995872
2ae19629-16af-13a3-e055-000000000001,BALLYROAN,54.43886097152429,73.70184254606366,557.7889447236181,70.35175879396985,307.8859060402684,492.4496644295302,70.46979865771812,73.8255033557047,7.936507936507936,685.1851851851852,5.291005291005291,137.56613756613757,460.3174603174603,582.3068309070549,30.23516237402016,143.3370660694289,70.54871220604703,41.43337066069429,81.30762782900251,31.01424979044426,13.440860215053764,224.46236559139786,280.9139784946236
2ae19629-16b0-13a3-e055-000000000001,BARROWHOUSE,43.977055449330784,45.88910133843213,617.5908221797323,30.592734225621413,442.5287356321839,492.33716475095787,36.39846743295019,9.578544061302681,5.847953216374268,807.0175438596491,11.695906432748536,760.233918128655,935.672514619883,566.5024630541872,24.630541871921185,165.02463054187191,76.35467980295567,46.79802955665024,50.19305019305019,48.262548262548265,28.57142857142857,228.57142857142856,265.7142857142857
2ae19629-16b1-13a3-e055-000000000001,BLANDSFORT,74.1839762611276,41.54302670623145,522.2551928783383,80.1186943620178,495.5223880597015,438.8059701492537,26.865671641791046,11.940298507462687,35.714285714285715,705.3571428571429,8.928571428571429,803.5714285714286,901.7857142857143,612.1673003802282,15.209125475285171,171.10266159695817,83.65019011406844,15.209125475285171,91.71597633136095,29.585798816568047,4.366812227074235,196.5065502183406,296.94323144104806
2ae19629-16ba-13a3-e055-000000000001,BORRIS-in-OSSORY,93.13725490196079,138.23529411764707,394.11764705882354,96.07843137254902,326.75222112537017,316.8805528134255,122.40868706811452,147.08785784797632,7.9155672823219,583.11345646438,7.9155672823219,229.5514511873351,374.67018469656995,536.7741935483871,54.193548387096776,158.70967741935485,85.16129032258064,65.80645161290323,61.26482213438735,58.300395256917,15.360983102918587,256.5284178187404,204.30107526881721
