geo_code,geo_name,car_driver_to_work_per1000,work_from_home_per1000,public_transport_to_work_per1000,walk_or_bike_to_work_per1000,commute_over_1hr_per1000,commute_under_15min_per1000,disability_per1000,carer_per1000,very_good_health_per1000,bad_or_very_bad_health_per1000,smoker_per1000,agriculture_forestry_fishing_per1000,building_construction_per1000,manufacturing_per1000,commerce_trade_per1000,public_administration_per1000,professional_services_per1000,no_car_household_per1000,multiple_car_household_per1000,no_internet_per1000,broadband_per1000
06698531-f7f7-4058-a15f-7d455ef0dd94,KILLINAGH/TEEBANE,340.4255319148936,106.38297872340425,223.40425531914892,0.0,111.1111111111111,234.5679012345679,145.83333333333334,41.666666666666664,513.8888888888888,13.888888888888888,48.611111111111114,203.3898305084746,101.6949152542373,16.949152542372882,220.33898305084745,84.7457627118644,152.54237288135593,40.816326530612244,612.2448979591837,183.67346938775512,551.0204081632653
2ae19629-16a3-13a3-e055-000000000001,BALLYBROPHY,345.45454545454544,72.72727272727272,157.57575757575756,54.54545454545454,148.64864864864865,297.2972972972973,188.34080717488789,58.29596412556054,573.9910313901345,22.42152466367713,147.98206278026908,156.86274509803923,58.8235294117647,88.23529411764706,254.9019607843137,98.0392156862745,176.47058823529412,41.666666666666664,569.4444444444445,69.44444444444444,652.7777777777778
2ae19629-16a6-13a3-e055-000000000001,BALLYLEHANE,428.57142857142856,78.57142857142857,35.714285714285715,7.142857142857142,101.6949152542373,262.7118644067797,246.30541871921181,49.26108374384237,536.9458128078818,14.778325123152708,128.07881773399015,77.77777777777779,66.66666666666667,88.88888888888889,211.11111111111111,44.44444444444444,288.88888888888886,27.397260273972602,602.7397260273972,178.08219178082192,643.8356164383562
2ae19629-16b6-13a3-e055-000000000001,DANGANS,314.0495867768595,47.750229568411385,69.78879706152433,166.20752984389347,134.69387755102042,321.42857142857144,251.31233595800524,52.493438320209975,512.4671916010499,22.965879265091864,148.95013123359578,26.26970227670753,59.5446584938704,108.58143607705779,248.68651488616462,68.30122591943957,260.94570928196146,126.08695652173913,436.95652173913044,104.34782608695652,804.3478260869565
2ae19629-16cb-13a3-e055-000000000001,KILLABBAN,449.4047619047619,56.54761904761905,20.833333333333332,110.11904761904762,115.51155115511551,297.029702970297,175.43859649122805,70.17543859649122,609.6491228070175,13.157894736842104,111.84210526315789,89.68609865470852,103.13901345291481,161.43497757847533,210.76233183856502,71.74887892376681,233.18385650224215,12.738853503184714,611.4649681528662,101.91082802547771,700.6369426751592
2ae19629-16d1-13a3-e055-000000000001,DUNMORE,433.78995433789953,63.926940639269404,132.4200913242009,31.963470319634702,101.01010101010101,303.03030303030306,197.18309859154928,77.46478873239435,563.3802816901409,10.56338028169014,95.07042253521126,91.6030534351145,53.43511450381679,99.23664122137404,183.206106870229,83.96946564885496,244.27480916030532,32.25806451612903,602.1505376344086,118.27956989247312,634.4086021505376
2ae19629-16d5-13a3-e055-000000000001,ERRILL,407.05128205128204,60.8974358974359,112.17948717948718,51.28205128205128,101.81818181818183,316.3636363636364,233.10023310023308,76.92307692307693,508.15850815850814,23.31002331002331,174.82517482517483,100.0,84.21052631578947,126.31578947368422,200.0,84.21052631578947,221.05263157894737,104.57516339869281,529.4117647058823,183.0065359477124,673.202614379085
2ae19629-16d6-13a3-e055-000000000001,FARNANS,393.1034482758621,75.86206896551724,103.44827586206897,34.48275862068965,200.0,192.0,192.30769230769232,86.53846153846153,629.8076923076923,28.846153846153847,96.15384615384616,197.80219780219778,120.87912087912088,186.8131868131868,120.87912087912088,54.94505494505494,186.8131868131868,29.41176470588235,544.1176470588235,147.05882352941177,691.1764705882352
23519126-bd85-4c40-a1e2-26c5d2b7e51c,ARIGNA/DRUMKEERAN/KILLARGA,418.9189189189189,81.08108108108108,56.75675675675676,127.02702702702703,70.33639143730886,339.44954128440367,299.3527508090615,100.32362459546925,446.6019417475728,22.653721682847898,145.63106796116503,98.29059829059828,64.1025641025641,123.93162393162393,128.2051282051282,123.93162393162393,282.05128205128204,172.93233082706766,364.6616541353384,274.43609022556393,556.390977443609
2ae19629-16a2-13a3-e055-000000000001,BALLYBRITTAS,388.84045335658243,82.82476024411508,98.51787271142109,64.51612903225806,174.26545086119555,319.1489361702128,190.13157894736844,57.89473684210526,602.6315789473684,7.2368421052631575,85.52631578947368,32.033426183844014,41.78272980501393,111.42061281337047,259.0529247910863,76.6016713091922,282.7298050139276,24.444444444444446,664.4444444444443,64.44444444444444,855.5555555555555
2ae19629-16a7-13a3-e055-000000000001,BALLYLYNAN,431.89964157706095,38.530465949820794,132.61648745519713,82.43727598566308,147.60508308895407,291.30009775171067,236.4112639161755,59.5939751146038,555.3372626064178,11.132940406024884,119.1879502292076,50.67064083457526,83.45752608047691,143.07004470938898,235.4694485842027,81.96721311475409,232.48882265275708,42.22648752399232,560.4606525911709,80.61420345489444,840.6909788867563
2ae19629-16af-13a3-e055-000000000001,BALLYROAN,411.8967452300786,42.64870931537598,88.66442199775533,49.382716049382715,101.63111668757841,355.08155583437895,207.04107292539817,62.02849958088852,588.4325230511316,10.896898575020955,110.64543168482817,76.92307692307693,73.07692307692308,94.23076923076923,250.0,84.61538461538461,269.2307692307692,52.910052910052904,626.984126984127,97.88359788359787,783.068783068783
2ae19629-16b0-13a3-e055-000000000001,BARROWHOUSE,414.8936170212766,66.48936170212765,71.80851063829788,53.191489361702125,92.81437125748502,344.311377245509,220.0772200772201,71.42857142857143,602.3166023166024,13.513513513513514,90.73359073359073,113.04347826086956,100.0,139.1304347826087,204.34782608695653,47.82608695652174,252.17391304347825,23.391812865497073,660.8187134502924,111.1111111111111,730.9941520467836
2ae19629-16b1-13a3-e055-000000000001,BLANDSFORT,397.5903614457831,76.30522088353415,52.20883534136546,44.17670682730924,102.32558139534883,432.5581395348837,174.55621301775147,85.79881656804733,571.0059171597634,11.834319526627219,106.50887573964498,211.1801242236025,55.900621118012424,105.59006211180125,198.75776397515526,49.689440993788814,267.0807453416149,8.928571428571429,660.7142857142857,133.92857142857142,625.0
2ae19629-16ba-13a3-e055-000000000001,BORRIS-in-OSSORY,401.48148148148147,50.370370370370374,117.03703703703704,100.74074074074075,141.63822525597269,273.03754266211604,242.09486166007903,78.06324110671936,516.798418972332,25.691699604743082,147.23320158102769,67.3076923076923,93.75,84.13461538461539,218.75,86.53846153846153,237.98076923076923,92.34828496042216,451.18733509234823,131.92612137203167,738.7862796833773
2ae19629-16c2-13a3-e055-000000000001,CLASH,365.67164179104475,82.08955223880596,119.40298507462687,18.656716417910445,130.25210084033614,252.10084033613444,212.36559139784947,75.26881720430107,564.5161290322582,5.376344086021506,110.21505376344086,165.60509554140125,76.43312101910827,127.38853503184713,171.9745222929936,133.7579617834395,197.45222929936307,25.423728813559325,601.6949152542372,177.96610169491524,550.8474576271186
21a09083-a130-47d2-8690-23338d5ecf18,CASTLETOWN (NORTH),323.7647058823529,36.70588235294118,102.11764705882354,164.7058823529412,86.97863682604273,342.31943031536116,268.9295039164491,57.73136060342326,457.4992747316507,37.133739483608935,161.00957354221063,13.687600644122384,45.088566827697264,120.77294685990337,256.0386473429952,52.33494363929147,231.8840579710145,207.23684210526315,281.25,111.01973684210527,751.6447368421053
2ae19629-16a1-13a3-e055-000000000001,BALLYADAMS,435.9756097560976,94.51219512195122,115.85365853658537,42.6829268292683,166.08996539792386,301.038062283737,217.3913043478261,66.36155606407323,581.2356979405034,11.441647597254004,105.26315789473684,92.3076923076923,76.92307692307693,153.84615384615387,148.71794871794873,61.53846153846154,271.79487179487177,44.44444444444444,688.8888888888889,140.74074074074076,666.6666666666666
2ae19629-16a9-13a3-e055-000000000001,AGHMACART,419.7080291970803,91.24087591240875,124.08759124087591,40.14598540145985,127.11864406779661,300.8474576271186,212.20159151193636,61.0079575596817,610.079575596817,7.957559681697613,103.44827586206897,171.59763313609466,59.171597633136095,112.42603550295858,218.93491124260356,82.84023668639054,230.76923076923077,25.423728813559325,661.0169491525423,110.16949152542372,610.1694915254237
