geo_name,dguid,married_or_commonlaw_per1000,not_married_not_commonlaw_per1000,one_person_households_per1000,owner_households_per1000,renter_households_per1000,immigrants_per1000,non_immigrants_per1000,no_certificate_15plus_per1000,postsecondary_cert_15plus_per1000,bachelor_or_higher_15plus_per1000,median_age,median_total_income_recipients_2020,median_aftertax_income_recipients_2020,median_hh_total_income_2020,median_hh_aftertax_income_2020,lim_at_low_income_rate_pct,lico_at_low_income_rate_pct,gini_aftertax,p90_p10_ratio_aftertax,owner_pct_with_mortgage,owner_pct_30plus_shelter,median_shelter_cost_owned,tenant_pct_30plus_shelter,median_shelter_cost_rented,participation_rate,employment_rate,unemployment_rate
"Longueuil, Territoire équivalent (TÉ)",2021A00032458,466.5224309442861,367.77819751136144,142.1637647812997,261.1353411861671,167.58817267076478,227.77796856577035,726.2383094657555,122.2569456368694,527.3647217738704,252.92764174593907,43.2,42800.0,37600.0,79500.0,68500.0,10.4,5.9,0.294,3.6,62.0,10.8,1220.0,26.5,880.0,64.2,59.3,7.7
"Marguerite-D'Youville, Municipalité régionale de comté (MRC)",2021A00032459,513.3664537497042,297.0253881687896,96.62196655585024,312.8385192932651,83.73488725362022,51.423804365420295,929.6751459913089,125.07315129555613,500.5416308692242,164.35695341974525,41.6,49200.0,42400.0,98000.0,82000.0,5.1,1.4,0.24,2.9,69.7,7.7,1290.0,20.7,860.0,71.1,67.7,4.8
"L'Assomption, Municipalité régionale de comté (MRC)",2021A00032460,491.7751215970395,322.4370935379859,106.99758757719363,299.3278006355056,103.32820660957006,99.03425015809566,884.437921100502,140.49044789869387,464.3718722430848,130.45820418934005,43.2,44800.0,39200.0,87000.0,75000.0,6.7,2.6,0.233,2.9,68.5,9.2,1250.0,26.4,850.0,65.4,61.6,5.9
"Joliette, Municipalité régionale de comté (MRC)",2021A00032461,462.43180923457624,380.4622912097183,167.80552274900174,253.29002868230134,201.05730836285923,33.32208537202632,922.4031269332434,182.0060738991058,430.23451999325124,111.84691524661156,46.8,38800.0,34400.0,64500.0,57200.0,13.4,3.7,0.257,3.2,58.5,7.1,930.0,26.5,755.0,57.9,54.0,6.7
"Matawinie, Municipalité régionale de comté (MRC)",2021A00032462,511.44144144144144,358.1981981981982,173.87387387387386,370.1801801801802,102.16216216216216,28.91891891891892,952.5225225225225,211.35135135135135,435.045045045045,100.99099099099098,54.4,35600.0,32400.0,62000.0,54800.0,15.9,2.9,0.27,3.2,56.5,10.7,740.0,23.0,725.0,52.5,47.7,9.0
"Montcalm, Municipalité régionale de comté (MRC)",2021A00032463,483.7252897068848,316.1213360599864,112.04839809134288,307.6005453306067,101.22699386503068,29.05589638718473,959.3558282208588,205.43626448534425,397.66530334015,56.152010906612134,39.6,39200.0,35200.0,74000.0,65000.0,11.2,2.2,0.224,2.8,72.9,10.6,1060.0,19.5,830.0,65.8,61.6,6.5
"Les Moulins, Municipalité régionale de comté (MRC)",2021A00032464,486.71454533767314,314.79544431913143,91.18958434379145,290.1353965183752,91.01427594710361,108.80807821091938,869.3835572411134,140.91873287090874,457.1166443635429,124.84879650785675,40.8,46000.0,40400.0,94000.0,80000.0,5.7,2.7,0.228,2.8,74.7,9.5,1370.0,24.8,940.0,70.3,66.3,5.7
"Laval, Territoire équivalent (TÉ)",2021A00032465,466.0603240214798,362.3912438464662,108.12882385951465,257.786872157056,129.53787474393545,308.6804177331271,659.0953677976851,143.70411938882123,485.9295657053695,200.99642764265477,42.8,40400.0,36000.0,85000.0,73500.0,8.7,4.3,0.261,3.2,65.5,11.9,1330.0,28.2,910.0,65.6,60.0,8.6
"Montréal, Territoire équivalent (TÉ)",2021A00032466,410.34493941669393,435.1021446764774,183.30659867831847,179.6793338206275,274.53455506133173,325.6705076424525,582.9518551688524,123.4667072467962,540.3052989499892,304.2786258304167,39.6,37600.0,34000.0,66000.0,58000.0,16.4,10.9,0.335,4.1,60.0,17.4,1370.0,28.4,890.0,65.5,58.9,10.2
"Roussillon, Municipalité régionale de comté (MRC)",2021A00032467,490.6826608035868,319.2091308846353,99.88252284876702,294.7975944128298,96.70309536126918,151.15752715985514,825.9775392309019,130.84152440075874,472.9802552164166,175.27267632350404,41.6,45600.0,40000.0,92000.0,78000.0,6.9,2.7,0.254,3.1,70.3,9.6,1350.0,29.7,930.0,68.3,64.1,6.2
"Les Jardins-de-Napierville, Municipalité régionale de comté (MRC)",2021A00032468,498.8628497972906,320.70931803948713,106.29882329674676,292.36296516035463,98.38821319094235,36.586571739345395,904.9408352285838,205.5110583737104,373.28191436764564,74.3267741191206,40.8,42000.0,37200.0,81000.0,69500.0,9.1,1.6,0.235,2.9,64.5,8.9,1100.0,23.9,810.0,68.8,65.3,5.1
"Le Haut-Saint-Laurent, Municipalité régionale de comté (MRC)",2021A00032469,499.48228514833653,345.5183901319047,145.41034529329673,335.3891865124026,110.07067933192275,36.240039616440825,945.1672444064286,213.1634628370774,406.29361184891735,81.03362895601674,49.6,35200.0,32000.0,63600.0,56400.0,15.1,3.1,0.253,3.2,52.5,8.7,715.0,24.8,690.0,59.1,54.8,7.2
"Beauharnois-Salaberry, Municipalité régionale de comté (MRC)",2021A00032470,470.49266707649076,370.5980504083604,164.0028102221832,272.24027399666284,185.07947659611838,29.492696349638475,942.4489915400603,195.47144404437807,419.48420713679343,86.06305436023536,44.8,39600.0,35200.0,66500.0,58400.0,12.4,3.7,0.244,3.1,65.6,10.1,1060.0,24.3,745.0,61.0,57.3,6.1
"Vaudreuil-Soulanges, Municipalité régionale de comté (MRC)",2021A00032471,504.02829028290284,308.7330873308733,97.01722017220173,312.30012300123,78.25953259532595,141.57441574415745,838.3456334563347,123.58548585485855,479.92004920049203,177.36777367773678,42.4,45200.0,39600.0,93000.0,78500.0,6.7,2.5,0.25,3.0,69.8,10.6,1320.0,28.5,910.0,69.2,64.8,6.3
"Deux-Montagnes, Municipalité régionale de comté (MRC)",2021A00032472,487.83953278720656,326.20624779524167,112.54066554305649,304.2076588405911,101.95782542233371,96.12746442989848,885.6269352878925,146.83690667502842,461.33343785521106,133.41237800337083,42.4,43600.0,38400.0,85000.0,72500.0,7.6,3.4,0.234,2.9,70.6,8.9,1230.0,27.3,850.0,67.4,63.5,5.9
"Thérèse-De Blainville, Municipalité régionale de comté (MRC)",2021A00032473,485.8462892343796,337.3728854991689,108.62789674391317,280.1713601251589,118.98650630683485,104.44167400019556,870.4287669893419,129.43678498093283,492.5381343502493,179.15199960887844,42.4,45600.0,39600.0,91000.0,77000.0,6.8,3.2,0.269,3.3,67.9,9.6,1310.0,28.0,910.0,68.5,64.1,6.5
"Mirabel, Territoire équivalent (TÉ)",2021A00032474,491.3431956535969,302.1699286509131,107.10545264122537,268.1318321660012,137.62518819139882,54.820972704064935,936.0476533350788,141.38901616809582,465.48733390063495,115.45133206781435,37.2,46400.0,40400.0,90000.0,76000.0,6.6,2.1,0.23,2.9,77.1,8.4,1370.0,23.7,980.0,73.7,69.7,5.4
"La Rivière-du-Nord, Municipalité régionale de comté (MRC)",2021A00032475,476.2311779705685,347.98495662207785,144.55745972050087,278.9649130304714,158.58939840733936,45.870906164081084,932.8033961565309,169.1667735088394,449.59186290012394,103.31638104192487,42.8,40800.0,36400.0,73000.0,63200.0,11.0,3.2,0.245,3.1,72.6,10.5,1180.0,29.8,820.0,64.5,60.3,6.6
"Argenteuil, Municipalité régionale de comté (MRC)",2021A00032476,479.10911602209944,383.5750460405157,169.05501841620625,321.27647329650097,145.4592541436464,33.6671270718232,939.6581491712708,209.91597605893188,405.15653775322284,87.90860957642725,51.2,35600.0,32400.0,62800.0,55600.0,15.6,3.6,0.264,3.2,57.8,10.2,840.0,25.5,720.0,55.9,51.2,8.4
"Les Pays-d'en-Haut, Municipalité régionale de comté (MRC)",2021A00032477,533.5138361830043,353.8992879375773,188.8884151281286,379.2691766511747,122.37240438323455,69.3941073636635,915.3413209397519,120.56026947512045,554.5132818829147,212.23297659148082,56.0,41600.0,36800.0,72500.0,62400.0,12.0,2.9,0.317,3.8,60.2,14.3,1020.0,36.0,870.0,56.4,51.3,9.1
"Les Laurentides, Municipalité régionale de comté (MRC)",2021A00032478,493.33359591941235,377.92701419934224,191.42525159028696,346.41668471945957,145.04598538708473,46.280796423577605,928.3730823010418,167.79250448037496,482.10804104220415,151.74193040155976,53.6,37600.0,33600.0,63200.0,55600.0,14.2,3.0,0.283,3.4,56.7,11.8,840.0,28.3,775.0,57.4,51.0,11.1
"Antoine-Labelle, Municipalité régionale de comté (MRC)",2021A00032479,514.371126103889,366.9573802863255,187.72969118534363,355.5756678185508,133.70083922988314,14.124293785310734,955.9267182271955,243.40409193132575,429.35110526027097,86.66556963413966,55.6,34000.0,31000.0,56800.0,50800.0,17.4,2.9,0.255,3.2,50.5,8.4,636.0,21.2,588.0,51.4,46.7,9.3
"Papineau, Municipalité régionale de comté (MRC)",2021A00032480,519.7877242060227,347.41648839888103,167.02320223794638,365.92891229224944,107.37205858153693,18.92381109099885,965.3200592397565,227.4971202896166,416.7352311996051,88.24255389172289,54.0,36400.0,32800.0,62800.0,56000.0,14.8,2.8,0.256,3.2,57.3,11.9,765.0,19.8,650.0,53.2,47.5,10.5
"Gatineau, Territoire équivalent (TÉ)",2021A00032481,438.06542720785046,381.2005868588962,149.7383530155545,261.44082792458795,173.13711813799432,151.81709793465527,811.6725822135026,139.67104291147984,483.17934586535915,224.67624836363262,40.0,47200.0,40800.0,82000.0,69500.0,9.9,5.7,0.256,3.4,68.6,9.1,1250.0,25.9,900.0,66.6,60.5,9.3
"Les Collines-de-l'Outaouais, Municipalité régionale de comté (MRC)",2021A00032482,542.3134793937392,264.4133729678153,82.84707695695255,345.24202723035705,41.92814415207898,46.05673602701017,949.300891775845,142.6657859004,487.9995596168667,201.3835370105325,42.0,52800.0,44400.0,110000.0,91000.0,6.3,1.8,0.251,3.2,68.9,9.2,1330.0,20.2,800.0,69.2,65.0,6.0
"La Vallée-de-la-Gatineau, Municipalité régionale de comté (MRC)",2021A00032483,480.84878571080935,392.5147223438945,183.4817734949141,368.1802696257361,112.66851608507325,18.007495011437193,964.3743612206162,257.4585097581155,404.68194870297367,78.35693775246995,54.4,34400.0,31400.0,58400.0,52000.0,18.6,3.4,0.269,3.4,47.7,8.7,552.0,18.7,576.0,51.8,46.5,10.1
"Pontiac, Municipalité régionale de comté (MRC)",2021A00032484,495.12327282579247,355.25602817664594,160.18694120834462,355.59468978596584,95.8412354375508,22.690327824437823,960.1056624221078,245.8683283662964,352.88539691140613,64.6843673801138,52.0,34000.0,31200.0,60800.0,54800.0,17.7,3.1,0.269,3.4,42.6,7.8,556.0,19.9,632.0,51.1,46.5,8.9
"Témiscamingue, Municipalité régionale de comté (MRC)",2021A00032485,491.2596082320853,344.0366972477064,160.55045871559633,333.49863625092985,107.2402677907265,20.1462930820729,948.7354326803868,208.9015621125713,423.0721547235309,83.06471609223904,48.0,37600.0,34400.0,65500.0,58000.0,14.8,2.7,0.257,3.3,51.6,5.8,655.0,15.7,600.0,57.5,53.4,7.1
"Rouyn-Noranda, Territoire équivalent (TÉ)",2021A00032486,485.43000968969346,342.0934464585352,166.73362796303738,287.61846241107935,168.15163188618155,17.72504903930234,947.9356226218893,174.05998156594902,468.76846359274924,133.41053576914896,42.0,44000.0,38400.0,76000.0,64500.0,10.5,2.4,0.261,3.4,62.1,5.7,1020.0,19.5,700.0,65.3,62.2,4.8
"Abitibi-Ouest, Municipalité régionale de comté (MRC)",2021A00032487,506.6744616583845,327.8768391308584,154.92546039169832,337.1333917957712,112.2965994348631,5.8462437883659755,968.5277209392965,249.6833284614635,405.3395693267076,66.74461658384489,46.8,38000.0,34000.0,67500.0,59200.0,14.2,2.7,0.26,3.4,55.7,5.0,665.0,19.5,572.0,58.3,54.6,6.2
"Abitibi, Municipalité régionale de comté (MRC)",2021A00032488,486.3915361007914,340.61540946535297,150.4199644645453,311.9447585204329,123.76837344532386,11.71054756905185,957.6401227588435,220.0775319011468,427.4349862703925,92.06913261185592,44.0,43600.0,38400.0,76000.0,65500.0,10.6,2.1,0.255,3.3,56.1,5.2,850.0,22.2,675.0,65.2,61.2,6.1
"La Vallée-de-l'Or, Municipalité régionale de comté (MRC)",2021A00032489,479.7333148776155,342.93030659561214,166.44750501764827,279.3734283802801,165.75541559969548,19.724548411654784,954.2759591205851,225.73649848893808,408.21740835582625,101.96784091171246,42.8,43200.0,38000.0,73500.0,63600.0,12.5,2.8,0.282,3.7,59.3,6.4,970.0,20.8,685.0,64.2,60.9,5.1
"La Tuque, Territoire équivalent (TÉ)",2021A00032490,464.8224497938556,359.7552866072616,166.57800239393535,279.62495012634656,128.67402580130334,8.97725761404442,968.213858225828,262.6679079664849,374.3848916079266,64.17076738928048,45.2,37600.0,34000.0,61600.0,55200.0,17.4,3.1,0.264,3.4,54.9,8.0,695.0,15.8,516.0,51.2,47.8,6.6
"Le Domaine-du-Roy, Municipalité régionale de comté (MRC)",2021A00032491,498.95481588679854,350.37787425631126,165.2998874417109,334.9413088921048,122.04534491075736,9.165460684997589,951.9215307927319,188.7763305997749,473.22720694645443,101.14166264672778,50.4,38400.0,34800.0,65000.0,57600.0,13.3,2.5,0.253,3.2,56.4,6.4,760.0,16.5,540.0,56.9,52.8,7.1
"Maria-Chapdelaine, Municipalité régionale de comté (MRC)",2021A00032492,514.9281543749223,330.4484657749803,155.90707689759412,335.00351981448506,119.05254875978301,7.867820613690008,957.389539939542,207.6690546192389,444.1177688517123,75.57248747360138,50.0,37600.0,34000.0,65000.0,57200.0,13.5,2.3,0.24,3.1,57.6,5.8,715.0,13.5,504.0,58.4,54.4,6.9
"Lac-Saint-Jean-Est, Municipalité régionale de comté (MRC)",2021A00032493,514.9118627918057,323.3920914721296,150.35731300619344,323.2015245354931,124.53549309194854,7.43211052882325,963.4111481657932,165.50738446879467,484.04001905669367,102.33444497379703,47.2,40000.0,35600.0,69500.0,61200.0,11.7,2.2,0.243,3.1,62.3,7.2,900.0,16.8,560.0,59.8,56.5,5.5
"Le Saguenay-et-son-Fjord, Census division (CDR)",2021A00032494,509.1668503810335,338.72957046587976,162.69148498805362,299.1962248187186,163.495855999714,12.542229478112171,955.4140127388536,139.27535109305083,523.1092812498138,136.86223805806964,46.0,41600.0,36400.0,70000.0,61200.0,11.4,3.5,0.253,3.2,64.2,7.0,980.0,19.8,628.0,59.8,56.4,5.7
"La Haute-Côte-Nord, Municipalité régionale de comté (MRC)",2021A00032495,497.6649153531816,377.50535123564896,187.29324771356295,359.0192644483363,126.97022767075306,9.72951936174353,971.0060323020043,269.99416228838294,401.34267367192064,73.45787118116365,54.4,35600.0,32000.0,60400.0,54000.0,15.7,2.2,0.25,3.2,49.5,7.1,608.0,13.6,528.0,52.9,46.7,11.9
"Manicouagan, Municipalité régionale de comté (MRC)",2021A00032496,482.95642947145035,369.2220969560316,162.4776178791697,324.7894422707076,116.7186152927913,11.10816367133099,951.986205981829,200.44432654685323,447.47662311824394,93.34173353670667,48.4,42800.0,38000.0,73500.0,63600.0,11.0,2.2,0.257,3.4,57.9,4.8,800.0,16.1,612.0,58.6,54.9,6.3
"Sept-Rivières--Caniapiscau, Census division (CDR)",2021A00032497,450.5753138075314,364.80125523012555,152.32740585774056,278.3734309623431,138.0753138075314,18.305439330543933,956.8514644351465,212.60460251046027,416.18723849372384,90.35041841004184,42.0,46800.0,41200.0,84000.0,72000.0,9.7,2.1,0.27,3.7,61.7,4.8,910.0,16.7,675.0,63.4,59.8,5.7
"Minganie--Le Golfe-du-Saint-Laurent, Census division (CDR)",2021A00032498,507.1580871154432,337.0900599045588,124.37810945273633,319.8294243070363,77.67286018885167,11.168646563102854,967.6109249670018,303.58412021525027,351.81236673773986,69.55020814295868,48.8,43200.0,38800.0,83000.0,72500.0,7.8,1.1,0.23,3.1,46.8,4.1,624.0,8.4,548.0,63.1,54.5,13.8
