region_name,num_households_2021_total,num_households_2016_total,median_total_income_2020_total_cad,median_total_income_2015_total_cad,median_aftertax_income_2020_total_cad,median_aftertax_income_2015_total_cad,num_households_2021_1person,median_total_income_2020_1person_cad,num_households_2021_census_family,median_total_income_2020_census_family_cad,num_households_2021_non_census_family,median_total_income_2020_non_census_family_cad
Dalmeny,615,590,107000,111000,92000,94000,100,46800,510,118000,110,47600
Daniel's Harbour,,120,,73500,,63200,,,,,,
Danville,1775,1735,60800,54000,54000,49200,600,31000,1135,83000,645,33200
Darlington,,0,,0,,0,,,,,,
Dauphin,895,955,84000,78000,72000,67500,220,42400,665,102000,230,43600
Dauphin,3775,3690,60800,55600,54000,50000,1465,34000,2160,84000,1615,36000
Dauphin River 48A,,0,,0,,0,,,,,,
Daveluyville,1075,1000,58400,50800,51200,46800,380,31200,680,80000,395,33600
Davidson,465,470,70000,71500,63600,61200,175,39600,275,101000,195,40800
Dawn-Euphemia,765,765,83000,76500,73500,67000,180,43200,565,95000,200,44800
Dawson,190,210,75000,66500,65500,58400,65,38400,120,93000,75,42400
Dawson,770,675,77000,74000,68500,65500,360,42000,370,119000,400,45600
Dawson Creek,5405,5035,81000,86000,72500,73500,1950,45200,3140,109000,2270,49600
Day Star 87,,,,,,,,,,,,
Daysland,335,330,70000,81000,62400,71500,105,39200,220,88000,115,40000
De Salaberry,1190,1105,86000,83000,74000,72000,190,44800,980,94000,215,46400
Dead Point 5,,0,,0,,0,,,,,,
Dease Lake 9,,,,,,,,,,,,
Dease River 1,,0,,0,,0,,,,,,
Debden,130,130,56400,58400,54400,56000,45,28600,80,84000,50,29000
Deep Creek 2,,,,,,,,,,,,
Deep River,1865,1825,95000,98000,82000,83000,605,55600,1220,119000,650,59600
Deer Forks No. 232,,,,,,,,,,,,
Deer Lake,2140,2165,62400,65500,57200,58400,590,29200,1495,82000,645,31200
Deer Lake,260,210,64500,46800,64000,46800,35,23600,225,67500,40,25200
Delburne,400,380,75500,75500,66500,65000,115,31800,265,94000,135,40000
Delia,,,,,,,,,,,,
Delisle,430,410,84000,88000,72500,73000,115,44000,305,107000,125,45600
Deloraine-Winchester,675,670,70000,66000,61600,58000,215,33200,445,93000,225,33600
Delson,3480,2885,87000,87000,74000,74000,955,43600,2435,108000,1050,46400
Delta,38060,35760,108000,100000,95000,86000,7790,46000,28810,128000,9245,51200
Denare Beach,295,280,94000,101000,83000,86000,85,56800,200,122000,95,57600
Denholm,275,225,65500,62400,57200,56000,110,40400,150,86000,125,42400
Denholm,,,,,,,,,,,,
Denmark,620,630,57600,49600,52400,46000,165,24000,450,72500,175,26200
Denzil,,,,,,,,,,,,
Derby,415,425,74500,71500,63600,62400,115,46800,280,93000,130,50000
Desbiens,475,470,61600,53200,54400,48000,175,34000,290,83000,180,36400
Deschaillons-sur-Saint-Laurent,460,445,56400,49200,49600,45200,185,32800,260,83000,200,33600
Deschambault-Grondines,1045,1000,70500,65500,61600,58400,380,38000,635,96000,410,41600
Deseronto,725,740,63600,54400,59200,50000,215,31200,475,82000,250,32800
Desmarais,,,,,,,,,,,,
Destruction Bay,,,,,,,,,,,,
Dettah,,,,,,,,,,,,
Deux-Montagnes,7265,7095,85000,78500,73000,67000,1975,42000,5095,105000,2175,44800
Devon,2495,2415,95000,109000,82000,92000,555,48400,1845,111000,650,53200
Devon 30,355,315,60000,40800,59200,40800,80,28400,270,70000,85,28400
Didsbury,2050,2030,77500,85000,70000,74000,540,41200,1425,95000,625,46400
Dieppe,11570,10285,87000,83000,75000,70500,2930,44400,8025,108000,3550,50400
Digby,3430,3260,54000,51200,49200,46800,1125,28200,2185,70500,1235,30000
Digby,1030,1040,43200,39600,39600,37200,485,26600,500,63200,530,28000
Dilke,,,,,,,,,,,,
Dinsmore,125,130,63200,60800,54800,56000,55,44800,70,84000,55,44800
Disley,,,,,,,,,,,,
Disraeli,1225,1200,47200,45600,44000,41600,570,27800,630,75500,595,28400
Disraeli,540,515,65000,54400,58000,49600,160,34000,370,76500,170,34800
"Division No.  1, Subd. A",325,315,56000,58000,52400,54000,85,28600,225,67500,95,31200
"Division No.  1, Subd. B",185,165,63600,66500,55200,55200,60,28200,115,79500,70,32000
"Division No.  1, Subd. C",,,,,,,,,,,,
"Division No.  1, Subd. D",,,,,,,,,,,,
"Division No.  1, Subd. E",1255,1230,59600,62400,54000,56800,310,26200,920,74000,335,27200
"Division No.  1, Subd. F",245,240,56800,61600,51600,56800,70,28800,170,73000,70,30200
"Division No.  1, Subd. G",835,855,53600,54000,47600,49200,280,27000,535,73000,300,28200
"Division No.  1, Subd. H",160,165,57600,71500,53200,62800,45,33600,115,67500,50,34800
"Division No.  1, Subd. I",125,120,81000,90000,70500,78000,25,34800,105,89000,25,37600
"Division No.  1, Subd. J",,0,,0,,0,,,,,,
"Division No.  1, Subd. K",,0,,0,,0,,,,,,
"Division No.  1, Subd. L",375,385,65000,72000,56000,64000,90,29000,275,79500,95,30200
"Division No.  1, Subd. M",525,460,74500,71500,64000,64500,130,31000,380,90000,145,33200
"Division No.  1, Subd. N",165,155,66000,67500,59600,62800,50,30600,115,80000,55,31000
"Division No.  1, Subd. O",410,305,67000,70000,58400,62800,135,33600,260,84000,150,34800
"Division No.  1, Subd. R",145,165,37600,39600,37600,38400,50,23800,80,50400,60,24600
"Division No.  1, Subd. U",625,695,76500,72000,66000,62800,190,34400,420,97000,210,36800
"Division No.  1, Subd. V",,0,,0,,0,,,,,,
"Division No.  1, Subd. W",245,215,59600,65500,52800,59200,85,31200,155,83000,85,31400
"Division No.  1, Subd. X",260,235,69000,71000,62400,62400,70,34000,185,86000,75,36400
"Division No.  1, Subd. Y",535,470,69500,71500,62000,62400,120,33200,405,86000,125,33600
"Division No.  1, Unorganized",645,470,87000,83000,73000,70500,160,53600,475,96000,170,54000
"Division No.  2, Subd. C",250,250,61200,61600,54000,57200,60,33600,180,72000,65,34800
"Division No.  2, Subd. D",,,,,,,,,,,,
"Division No.  2, Subd. E",120,,57200,,52400,,30,31000,85,72000,30,37200
"Division No.  2, Subd. F",,,,,,,,,,,,
"Division No.  2, Subd. G",,0,,0,,0,,,,,,
"Division No.  2, Subd. H",,,,,,,,,,,,
"Division No.  2, Subd. I",,,,,,,,,,,,
"Division No.  2, Subd. J",,0,,0,,0,,,,,,
"Division No.  2, Subd. K",270,260,54800,63600,51200,57600,90,29800,170,72500,100,34800
"Division No.  2, Subd. L",,0,,0,,0,,,,,,
"Division No.  3, Subd. A",,0,,0,,0,,,,,,
"Division No.  3, Subd. B",,0,,0,,0,,,,,,
"Division No.  3, Subd. C",,0,,0,,0,,,,,,
"Division No.  3, Subd. D",,125,,63200,,58400,,,,,,
"Division No.  3, Subd. E",,,,,,,,,,,,
"Division No.  3, Subd. F",,,,,,,,,,,,
"Division No.  3, Subd. H",240,295,72000,67000,64000,60400,40,28400,195,80000,45,34000
"Division No.  3, Subd. I",,,,,,,,,,,,
"Division No.  3, Subd. J",,,,,,,,,,,,
"Division No.  4, Subd. A",750,790,55200,51200,50400,46800,230,30800,505,70000,240,31800
"Division No.  4, Subd. B",555,580,49200,43600,46000,41600,170,24400,370,62000,185,25800
"Division No.  4, Subd. C",305,345,40800,39600,38000,37600,135,24800,160,67500,140,26600
"Division No.  4, Subd. D",595,380,47600,53200,44000,47200,190,25800,390,60000,205,27400
"Division No.  4, Subd. E",710,905,42000,35600,40000,34000,240,22800,440,58400,270,23400
"Division No.  5, Subd. A",140,115,54000,67000,50400,60800,35,24800,100,76500,45,26800
"Division No.  5, Subd. C",130,130,85000,78500,69000,67000,30,36400,95,120000,35,37600
"Division No.  5, Subd. D",,0,,0,,0,,,,,,
"Division No.  5, Subd. E",,,,,,,,,,,,
"Division No.  5, Subd. F",305,330,100000,107000,81000,86000,60,52800,245,113000,70,55600
"Division No.  5, Subd. G",200,225,50800,45200,48800,41200,45,25200,150,62400,50,26600
"Division No.  6, Subd. A",,,,,,,,,,,,
"Division No.  6, Subd. C",175,300,59600,70000,52000,61600,50,51200,125,66500,50,51600
"Division No.  6, Subd. D",280,0,67000,0,59600,0,50,36000,220,76000,60,38400
"Division No.  6, Subd. E",,,,,,,,,,,,
"Division No.  7, Subd. A",,,,,,,,,,,,
"Division No.  7, Subd. B",,0,,0,,0,,,,,,
"Division No.  7, Subd. D",140,,57600,,51200,,45,33200,90,70000,50,33200
"Division No.  7, Subd. E",1155,1150,60400,59200,54800,52800,265,25600,855,71500,300,28400
"Division No.  7, Subd. F",405,395,50400,50400,45200,46800,125,24200,270,65000,140,24800
"Division No.  7, Subd. G",165,160,47200,48800,44400,45600,60,31000,100,68500,65,32400
"Division No.  7, Subd. I",,,,,,,,,,,,
"Division No.  7, Subd. J",285,220,53600,51600,49600,46800,95,26400,185,69500,100,27600
"Division No.  7, Subd. K",510,530,62000,62400,56000,56000,115,28600,385,72500,120,29400
"Division No.  7, Subd. L",525,530,64500,56800,57600,52000,130,25200,395,77500,135,26600
"Division No.  7, Subd. M",875,890,58400,67500,54000,60000,220,26000,635,71500,240,28800
"Division No.  7, Subd. N",,,,,,,,,,,,
"Division No.  8, Subd. A",185,140,58400,58800,50000,53200,55,23400,125,73500,55,24000
"Division No.  8, Subd. C",280,210,60000,55600,53200,51600,60,27200,210,67000,65,29000
"Division No.  8, Subd. D",,0,,0,,0,,,,,,
"Division No.  8, Subd. E",265,255,45600,45600,41200,42400,80,27000,170,59600,90,28200
"Division No.  8, Subd. F",355,380,58000,57600,53200,50800,60,24600,295,67000,65,24600
"Division No.  8, Subd. G",200,205,48400,46400,46400,43600,50,24400,150,60800,50,25000
"Division No.  8, Subd. H",825,855,49200,45600,46000,43600,195,24000,620,59200,205,24200
"Division No.  8, Subd. I",,,,,,,,,,,,
"Division No.  8, Subd. L",1250,1295,50000,52800,46800,48400,305,25600,925,61600,325,26800
"Division No.  8, Subd. M",,,,,,,,,,,,
"Division No.  8, Subd. O",120,125,61600,65000,53600,58000,15,,95,76500,20,36800
"Division No.  8, Subd. P",145,160,50800,45600,48800,41600,35,25600,105,60000,40,30400
"Division No.  9, Subd. A",,,,,,,,,,,,
"Division No.  9, Subd. C",995,1065,66000,69500,60000,62800,240,27200,730,78500,260,29000
"Division No.  9, Subd. D",265,290,59200,64500,53600,56800,65,33200,190,69500,75,36400
"Division No.  9, Subd. F",,,,,,,,,,,,
"Division No.  9, Subd. G",,,,,,,,,,,,
"Division No.  9, Subd. H",,,,,,,,,,,,
"Division No. 10, Subd. A",,,,,,,,,,,,
"Division No. 10, Subd. B",,130,,70500,,64000,,,,,,
"Division No. 10, Subd. C",,0,,0,,0,,,,,,
"Division No. 10, Subd. D",280,245,162000,174000,127000,140000,60,103000,220,178000,60,104000
"Division No. 10, Subd. E",,0,,0,,0,,,,,,
"Division No. 11, Subd. C",,0,,0,,0,,,,,,
"Division No. 11, Subd. E",,0,,0,,0,,,,,,
"Division No. 17, Unorganized",,,,,,,,,,,,
"Division No. 18, Unorganized",720,0,78000,0,72500,0,175,40000,530,93000,195,41600
"Division No. 18, Unorganized, East Part",,,,,,,,,,,,
"Division No. 18, Unorganized, West Part",,0,,0,,0,,,,,,
"Division No. 19, Unorganized",1170,0,61600,0,56400,0,350,29600,800,76500,370,30400
"Division No. 20, Unorganized, North Part",,0,,0,,0,,,,,,
"Division No. 20, Unorganized, South Part",,,,,,,,,,,,
"Division No. 21, Unorganized",715,0,98000,0,83000,0,170,58800,535,111000,180,61200
"Division No. 22, Unorganized",750,0,85000,0,79000,0,190,52000,540,96000,205,53200
"Division No. 23, Unorganized",,65,,57600,,55200,,,,,,
Dixville,280,265,73000,62400,65500,55600,70,37200,205,86000,80,39200
Doaktown,390,370,55200,47600,50800,45600,130,24000,255,77500,135,25400
Dodsland,,,,,,,,,,,,
Dog Creek 1,,,,,,,,,,,,
Dog Creek 2,,0,,0,,0,,,,,,
Dog Creek 46,250,235,51600,32800,51600,32400,35,23000,200,60400,50,28400
Dog Head 218,,,,,,,,,,,,
Doig River 206,,,,,,,,,,,,
Dokis 9,,150,,55200,,53200,,,,,,
Dolbeau-Mistassini,6265,6250,62800,57200,55600,50800,2305,33200,3825,87000,2435,34400
Dollard-Des Ormeaux,17385,17210,96000,86000,82000,73500,3700,41600,13285,114000,4100,44000
Dolphin Island 1,105,110,42400,32400,42400,32400,25,17400,70,56800,35,18600
Donalda,,,,,,,,,,,,
Doncaster,,0,,0,,0,,,,,,
Donnacona,3300,3110,67000,60400,58800,53600,1230,35600,1980,93000,1325,37600
Donnelly,155,160,80000,85000,66500,72500,60,48000,90,102000,60,48000
Dorchester,195,185,62000,58800,56000,52800,60,37600,125,88000,70,43200
Dorchester,210,200,57200,53200,52000,48800,70,34800,130,79500,75,34800
Dore Lake,,0,,0,,0,,,,,,
Dorintosh,,,,,,,,,,,,
Dorion,160,125,91000,86000,79000,73500,35,49600,120,100000,40,56800
Dorval,8720,8390,77500,70000,66000,59600,3310,43200,5135,111000,3585,45200
Dosquet,425,415,66500,58800,59200,53200,140,38000,280,84000,145,38800
Douglas,2270,2240,87000,79000,76000,68500,415,37600,1805,101000,470,40400
Douglas 8,,,,,,,,,,,,
Douglas Lake 3,,,,,,,,,,,,
Douglas No. 436,130,155,67500,65500,62400,60400,25,40800,100,79000,30,41200
Douro-Dummer,2925,2580,96000,87000,85000,75500,580,45600,2265,113000,655,48800
Dover,245,265,53600,51200,48400,46800,55,23000,185,67500,60,23200
Dragon Lake 3,,0,,0,,0,,,,,,
Drake,,,,,,,,,,,,
Drayton Valley,2900,2780,87000,100000,75500,85000,810,43600,1925,111000,970,51600
Drift Pile River 150,275,260,47600,41600,47600,40000,90,21600,170,76500,105,23000
Drinkwater,,,,,,,,,,,,
Drumheller,3195,3165,74000,78500,65500,68000,1165,40800,1925,101000,1275,43600
Drummond,865,845,75500,70500,66000,62000,200,37600,655,88000,215,39200
Drummond,335,325,60800,55200,54400,51200,90,27800,240,81000,100,28400
Drummond/North Elmsley,3290,3095,98000,88000,85000,76000,660,50800,2565,112000,725,52000
Drummondville,36725,34015,61200,54400,54000,48800,14345,34000,21075,88000,15650,36400
Dryden,3315,3365,82000,76500,72000,67000,1115,42000,2085,112000,1225,44400
Dubreuilville,250,250,96000,91000,82000,79000,80,34400,170,123000,80,34400
Dubuc,,,,,,,,,,,,
Duchess,375,370,95000,106000,83000,90000,65,44800,305,105000,75,49600
Duck Lake,200,205,65500,63200,60400,57600,50,29400,140,80000,60,31600
Duck Lake 7,940,855,62000,55200,56800,50400,325,36400,570,80000,370,38800
Duck Lake 76B,,,,,,,,,,,,
Duck Lake No. 463,385,365,87000,81000,77000,72500,70,42400,310,102000,80,50800
Dudswell,800,790,70000,60400,60800,53200,260,32400,520,89000,280,33600
Duff,,0,,0,,0,,,,,,
Dufferin,245,230,85000,79500,72000,69000,55,46800,180,99000,65,50800
Dufferin,760,745,89000,84000,77500,72500,120,45600,625,98000,135,47600
Dufferin No. 190,210,180,96000,95000,82000,83000,60,57600,150,107000,55,57600
Duhamel,345,235,63200,53600,54000,47600,155,42800,180,78500,165,49600
Duhamel-Ouest,395,375,86000,81000,73500,69000,90,44800,300,106000,100,45200
Dumbarton,155,155,60800,50800,54000,47200,40,26800,110,70000,45,29800
Dumfries,210,175,71000,60400,62400,53200,70,34400,135,91000,75,36400
Duncan,2455,2380,53200,43600,49600,40400,1165,33600,1160,77000,1290,36400
Duncan Lake 2,,0,,0,,0,,,,,,
Duncan's 151A,,,,,,,,,,,,
Dundas,1910,1690,77500,70500,67500,61600,470,39200,1370,94000,540,42000
Dundee,170,165,62000,55200,56400,51200,45,27400,115,76000,50,29000
Dundurn,260,230,94000,92000,83000,79000,70,42800,185,108000,75,46400
Dundurn No. 314,630,485,147000,154000,120000,125000,60,76500,560,157000,60,76500
Dunham,1530,1450,76000,70000,65500,60000,415,42800,1070,93000,460,45200
Dunnottar,495,405,72000,66500,62000,57600,165,49200,310,83000,185,51600
Duntara,,0,,0,,0,,,,,,
Duparquet,340,320,73500,67500,64000,59600,115,31800,225,94000,120,32000
Dupuy,395,395,80000,73000,70000,61600,115,34000,280,98000,120,36400
Durham,500,525,42800,39600,40400,38000,185,23000,285,56400,210,24200
Durham-Sud,425,415,64500,55200,58800,50400,105,32000,310,76500,125,33600
Dutton/Dunwich,1595,1485,90000,79500,79500,70000,365,38000,1200,108000,395,39200
Duval,,,,,,,,,,,,
Dysart,,,,,,,,,,,,
Dysart et al,3345,2890,78000,66000,69000,58800,1030,40000,2225,96000,1120,42800
Dzitline Lee 9,,0,,0,,0,,,,,,
Dégelis,1385,1345,57200,50000,51600,46000,525,29400,835,81000,550,30200
Déline,190,190,99000,62000,91000,58400,55,38800,135,121000,55,39200
Déléage,870,850,59200,52000,54000,46400,285,34000,560,79000,315,35600
Dépôt-Échouani,,0,,0,,0,,,,,,
Eagle Creek No. 376,165,150,67000,64000,61200,61200,35,24800,115,84000,45,25800
Eagle Lake 27,100,,46400,,44800,,30,36400,65,63200,35,36400
Eagles Lake 165C,,,,,,,,,,,,
Ear Falls,400,405,93000,94000,79000,77000,120,46400,270,112000,135,50400
Earl Grey,,,,,,,,,,,,
East Angus,1650,1600,60800,52000,55600,46800,580,32800,1025,83000,630,35600
East Broughton,1015,995,63600,54000,56000,48800,330,28000,670,82000,345,29000
East Farnham,265,230,78500,73000,68500,62800,65,46000,190,91000,75,50400
East Ferris,1890,1780,109000,100000,94000,85000,310,44400,1550,121000,340,48000
East Garafraxa,900,855,137000,128000,114000,108000,115,49600,775,150000,125,54400
East Gwillimbury,11450,8080,119000,113000,102000,96000,1595,52400,9585,132000,1865,58800
East Hants,9385,9055,85000,79000,72000,67000,2220,40400,6875,102000,2510,44000
East Hawkesbury,1425,1375,81000,72500,71500,63600,355,34800,1020,98000,410,40000
East Hereford,125,115,57200,55200,51600,50400,40,37600,80,90000,50,40000
East Kootenay A,785,725,98000,102000,84000,84000,190,46000,565,116000,225,48000
East Kootenay B,875,825,88000,85000,77000,73500,235,40000,625,109000,250,40400
East Kootenay C,2595,2430,100000,94000,88000,81000,525,44400,2000,118000,595,48000
East Kootenay E,750,800,83000,80000,74500,69500,200,45600,530,102000,230,48000
East Kootenay F,1585,1195,85000,88000,75500,77000,480,45600,1060,110000,535,48000
East Kootenay G,760,690,77500,72500,69500,62800,215,43600,520,99000,240,46000
East Moberly Lake 169,130,125,50800,59600,48800,55600,40,28600,95,55600,40,28600
"East River, Part 1",915,805,82000,75000,71500,65500,200,41600,695,97000,220,43600
"East River, Part 2",225,195,83000,75000,69000,63200,40,40800,175,92000,45,46800
East Saanich 2,940,770,57600,53200,53200,48800,390,37600,520,78500,420,39200
East St. Paul,3465,3265,142000,141000,114000,113000,425,60400,3000,156000,465,64500
East Zorra-Tavistock,2975,2700,100000,87000,86000,76500,675,40800,2240,119000,735,45600
Eastend,265,270,58000,60400,53200,53200,120,34000,135,83000,130,35600
Eastern Kings,295,285,75500,74000,66000,64000,75,38400,205,90000,90,38800
Eastmain,,0,,0,,0,,,,,,
Eastmain,225,205,121000,114000,119000,105000,35,67000,185,139000,40,69500
Eastman,1095,880,86000,71500,73000,61600,315,46000,755,103000,340,47600
Eastport,265,235,55600,54400,51200,50000,85,25400,175,74500,90,27000
Eatonia,205,210,83000,76500,73500,66000,65,46800,135,100000,70,47200
Ebb and Flow 52,435,375,52000,30400,52000,30200,85,25400,335,64500,100,27000
Ebenezer,,,,,,,,,,,,
Echo Bay,,0,,0,,0,,,,,,
Eckville,425,445,72500,81000,64500,71000,135,36000,275,93000,155,38000
Edam,200,180,68500,94000,63200,79500,75,33600,115,110000,80,36400
Edberg,,,,,,,,,,,,
Eden Valley 216,,95,,38400,,38400,,,,,,
Edenwold,,,,,,,,,,,,
Edenwold No. 158,1515,1510,146000,149000,120000,122000,175,53200,1320,160000,190,56000
Edgerton,175,180,68000,73500,62400,65500,55,40000,115,84000,60,44800
Edmonton,396405,361005,90000,94000,79500,81000,115525,47600,255860,115000,140545,53600
Edmundston,7705,7565,58400,55600,52800,50000,3065,31800,4405,87000,3300,33600
Edson,3385,3360,99000,106000,84000,88000,1010,52800,2170,121000,1215,60800
Edwardsburgh/Cardinal,3140,2915,84000,77000,74500,67500,790,38000,2250,104000,885,41200
Eel Ground 2,235,220,49200,28400,48000,27800,80,26200,140,69000,95,28600
Eel River 3,150,145,54000,41600,53600,40000,55,36000,90,74500,60,36800
Eel River Crossing,840,850,62400,57200,56000,52000,245,31200,555,77500,285,33200
Eeyou Istchee Baie-James,905,560,91000,67500,82000,58800,255,48800,640,109000,270,51600
Egan-Sud,235,225,71500,59200,63600,51200,80,33200,155,101000,80,36400
Ehatis 11,,,,,,,,,,,,
Elbow,165,165,76000,67500,67500,59600,50,40400,115,94000,50,53200
Elcapo No. 154,150,190,85000,74000,81000,67500,30,36400,120,99000,30,50800
Eldon,335,355,50000,42800,46400,40000,135,26200,180,74500,155,28800
Eldon No. 471,275,275,97000,108000,85000,91000,60,49600,215,110000,65,50000
Elfros,,,,,,,,,,,,
Elfros No. 307,165,175,76000,68000,66000,61600,40,47600,115,89000,45,48400
Elgin,485,420,57200,53600,51200,47200,150,25600,310,74000,180,31400
Elgin,175,175,57200,50800,53600,47600,55,33200,115,78500,60,35600
Elhlateese 2,,0,,0,,0,,,,,,
Elizabethtown-Kitley,3790,3735,91000,85000,81000,74500,770,44800,2925,105000,865,47600
Elk Point,590,535,79000,99000,70000,82000,205,44400,365,104000,225,47600
Elkford,1155,1045,117000,119000,97000,94000,350,80000,780,139000,380,83000
Ellice-Archie,350,380,83000,79500,73000,66500,110,46800,235,105000,120,48000
Elliot Lake,5835,5515,50000,46000,47600,43600,2330,28800,3255,68500,2585,31000
Elliston,145,145,55200,47200,52400,45200,45,31800,100,66000,50,34400
Elmsthorpe No. 100,,,,,,,,,,,,
Elnora,150,145,51600,60800,46800,54800,65,33200,75,88000,70,33600
Elrose,205,215,84000,85000,71500,75000,65,42400,135,106000,70,44800
Elton,470,455,102000,102000,86000,85000,85,50800,370,111000,95,56000
Embree,290,285,57200,54400,52000,51200,50,25000,230,65000,60,28600
Emerald No. 277,175,205,57600,48400,53600,44800,65,35200,110,79000,70,36400
Emerson-Franklin,920,960,66500,60800,59200,53200,280,35600,615,82000,300,37200
Emo,470,515,94000,82000,82000,74500,125,39600,335,115000,135,44000
Empress,,,,,,,,,,,,
Endeavour,,,,,,,,,,,,
Enderby,1435,1390,59600,53600,56000,48400,535,30200,845,82000,590,33600
Enderby 2,160,125,60400,36800,58400,35600,35,36800,120,74000,40,37200
Enfield No. 194,105,,81000,,74500,,20,34800,80,90000,25,36800
Englee,215,215,51600,51600,47600,49600,45,23200,165,64500,50,23600
Englefeld,105,105,75500,85000,69000,72000,25,50000,80,103000,25,54000
Englehart,685,690,67500,61600,59600,55600,285,29200,380,105000,300,32000
English Harbour East,,,,,,,,,,,,
English River 21,180,195,49600,25800,49600,25800,30,7850,140,54400,40,11000
Enniskillen,1040,1055,104000,97000,90000,83000,215,44800,805,120000,235,49200
Enniskillen No. 3,165,180,93000,93000,83000,81000,35,50000,130,105000,35,50400
Enoch Cree Nation,580,465,69500,74000,65000,72500,125,32400,420,84000,155,37600
Enterprise,,,,,,,,,,,,
Enterprise No. 142,,,,,,,,,,,,
Entlqwekkinh 19,,0,,0,,0,,,,,,
Entrelacs,585,490,57600,53600,50400,48000,250,34000,310,82000,275,35600
Erin,4220,4110,127000,114000,107000,96000,640,50000,3475,143000,745,55600
Ermineskin 138,490,450,77000,48000,76000,47600,50,33600,430,84000,60,33600
Ernfold,,0,,0,,0,,,,,,
Escuminac,270,240,60800,53200,54400,48400,95,27400,170,80000,100,28800
Esgenoôpetitj 14,460,380,57200,40000,56000,40000,105,29800,315,68000,135,34000
Eskasoni 3,1080,1060,49200,25200,48800,25200,275,20600,760,62000,320,21600
Esowista 3,,,,,,,,,,,,
Espanola,2305,2190,78000,73500,68500,64500,705,37200,1530,101000,770,40400
Esprit-Saint,175,175,45600,48000,42400,44400,65,23800,105,62400,70,24000
Esquimalt,8565,8495,76000,65500,67500,56800,3325,45600,4605,105000,3955,50000
Esquimalt,,0,,0,,0,,,,,,
Essa,7950,7180,108000,94000,93000,82000,1295,53600,6400,120000,1550,59600
Essex,8390,8080,87000,78000,77500,68500,2155,41200,6055,108000,2335,43600
Essipit,130,120,76500,68500,71000,67500,30,31400,90,105000,40,31800
Est-Patrolas 4,,0,,0,,0,,,,,,
Esterhazy,1070,1115,91000,96000,77500,79500,385,46800,670,127000,400,49600
Estevan,4585,4690,94000,105000,81000,87000,1445,48800,2980,122000,1605,52000
Estevan No. 5,470,490,126000,136000,105000,110000,75,57200,385,138000,90,59200
Eston,425,470,74000,76500,66000,66500,165,50000,250,105000,175,52000
Estérel,150,,93000,,76000,,65,58400,85,131000,70,58400
Ethelbert,290,285,43600,46000,42400,42400,110,26000,170,62000,120,27200
Etters Beach,,0,,0,,0,,,,,,
Euchinico Creek 17,,0,,0,,0,,,,,,
Evanturel,195,180,97000,78500,79500,68000,40,47600,145,114000,45,52400
Excel No. 71,130,125,68000,68500,61600,60800,20,28800,100,73000,25,29000
Excelsior No. 166,220,230,81000,81000,71500,72500,40,44400,180,92000,40,44400
Eye Hill No. 382,215,210,103000,114000,89000,98000,45,40000,160,121000,50,42000
Eyebrow,,,,,,,,,,,,
Eyebrow No. 193,,,,,,,,,,,,
Factory Island 1,400,430,75500,62000,75500,60000,60,31200,320,90000,80,41600
Fairford 50,320,305,54400,31200,53200,30800,55,21000,250,64500,75,21600
Fairlight,,0,,0,,0,,,,,,
Fairview,1200,1255,79000,82000,70000,72000,405,37200,760,103000,445,39200
Fairview No. 136,615,620,96000,97000,86000,85000,115,40400,475,106000,140,45600
Falher,410,450,72000,68000,64500,62000,140,42000,260,91000,150,43600
Faraday,755,630,64000,58000,58400,53200,235,36400,495,79000,255,38400
Farnham,4450,3895,68000,56800,59200,50000,1465,36000,2835,88000,1615,38800
Faro,210,170,78500,67500,73000,61200,85,54400,115,86000,95,57600
Fassett,235,225,52400,46000,48400,41200,100,29600,130,80000,110,31000
Fauquier-Strickland,230,265,59200,59600,52400,54000,75,27800,150,75000,80,29000
Fenwood,,0,,0,,0,,,,,,
Ferland-et-Boilleau,260,220,79500,68500,67500,56800,65,42800,190,91000,70,45200
Ferme-Neuve,1275,1215,55600,52400,49600,47600,440,27000,810,78000,470,28800
Fermeuse,125,135,57600,60800,50000,56000,45,32000,75,79500,50,44000
Fermont,975,1060,172000,158000,125000,117000,340,133000,615,198000,360,134000
Fernie,2595,2330,107000,99000,92000,83000,685,48400,1745,136000,850,55200
Ferryland,190,190,59600,62400,54800,56800,75,34000,115,82000,75,38400
Fertile Belt No. 183,305,335,110000,105000,90000,88000,70,44400,235,132000,70,45200
Fertile Valley No. 285,170,170,90000,91000,78000,81000,35,43600,130,100000,40,44800
Fillmore,125,130,66500,69000,60000,60400,55,39200,65,87000,55,41600
Fillmore No. 96,,,,,,,,,,,,
Findlater,,,,,,,,,,,,
Finlay River 6,,0,,0,,0,,,,,,
Fish Creek No. 402,135,145,73500,72000,67000,63600,35,33200,100,88000,35,37600
Fisher,660,650,60000,52800,53600,49200,225,30600,420,81000,240,32800
Fisher River 44,495,460,54400,38400,52800,36800,135,29000,340,66000,150,28800
Fisher River 44A,,,,,,,,,,,,
Fisher's Grant 24,155,155,61200,39200,59600,38800,45,24200,105,80000,45,27400
Fishing Lake 89,155,130,46800,25400,45200,25200,45,22000,95,64500,55,24200
Fishtrap 19,,0,,0,,0,,,,,,
Five Mile Point 3,,,,,,,,,,,,
Flagstaff County,1375,1380,90000,99000,79500,85000,310,48800,1040,104000,340,51200
Flatrock,640,610,115000,115000,95000,95000,100,46800,520,126000,115,50000
Flaxcombe,,,,,,,,,,,,
