region_name,num_households_2021_total,num_households_2016_total,median_total_income_2020_total_cad,median_total_income_2015_total_cad,median_aftertax_income_2020_total_cad,median_aftertax_income_2015_total_cad,num_households_2021_1person,median_total_income_2020_1person_cad,num_households_2021_census_family,median_total_income_2020_census_family_cad,num_households_2021_non_census_family,median_total_income_2020_non_census_family_cad
Amherst,4480,4375,55600,50400,50400,45600,1655,29000,2625,75000,1850,31400
Amherst,875,770,58800,49600,52800,45600,345,30600,505,82000,370,33600
Amherstburg,9195,8520,98000,91000,86000,78500,2055,46000,6985,117000,2210,47600
Amisk,,,,,,,,,,,,
Amiskosakahikan 210,,0,,0,,0,,,,,,
Amos,5760,5625,70500,65500,60800,56800,2235,39600,3370,101000,2390,41200
Amqui,2845,2865,60000,54000,53200,48800,1120,29200,1675,87000,1170,30400
Anacla 12,,,,,,,,,,,,
Anahim's Flat 1,130,110,76500,39600,76500,38800,25,22800,90,105000,45,34800
Anahim's Meadow,,0,,0,,0,,,,,,
Anchor Point,120,125,83000,112000,69500,92000,20,31200,100,97000,20,34000
Andover,365,370,58000,55200,54000,50000,95,30600,255,74500,105,33600
Andrew,190,200,50000,50400,47600,47200,90,30000,95,78000,100,30800
Ange-Gardien,1115,1035,79500,70000,70000,62000,285,44400,800,99000,315,46400
Anmore,745,690,162000,151000,136000,123000,85,57200,650,178000,95,58400
Annaheim,,,,,,,,,,,,
Annandale - Little Pond - Howe Bay,,0,,0,,0,,,,,,
Annapolis Royal,320,295,48400,46000,44800,43200,170,26200,145,75500,180,27000
Annapolis Valley First Nation,320,,63600,,56800,,100,30600,205,77500,115,36400
"Annapolis, Subd. A",2880,2745,53200,49600,48400,46000,915,28400,1890,67000,990,29600
"Annapolis, Subd. B",2060,1950,55200,50000,50400,45200,695,27600,1315,75000,745,28400
"Annapolis, Subd. C",2300,2180,64500,59600,57200,53600,635,35600,1605,78500,700,38000
"Annapolis, Subd. D",1370,1315,63600,55600,56800,50000,365,32400,965,77500,395,34000
Antelope Park No. 322,,,,,,,,,,,,
Antigonish,2205,1995,54800,51200,49200,46800,965,30000,1010,89000,1195,34800
"Antigonish, Subd. A",3770,3425,82000,80000,70000,68500,1060,41600,2605,103000,1165,44400
"Antigonish, Subd. B",2600,2580,75000,72500,64500,62800,685,36000,1860,92000,730,37600
Antler No. 61,180,205,92000,86000,79500,77500,30,34400,140,103000,40,41200
Appleton,265,240,72500,81000,64500,70000,60,34000,205,92000,65,37200
Aquadeo,,,,,,,,,,,,
Aquaforte,,,,,,,,,,,,
Arborfield,,135,,68500,,60400,,,,,,
Arborfield No. 456,140,145,84000,90000,76000,73500,35,46400,110,105000,35,47200
Arborg,500,500,64500,58400,57200,51200,165,38800,315,82000,185,41200
Archerwill,,,,,,,,,,,,
Arcola,270,280,85000,90000,72000,74500,80,51200,180,108000,90,51600
Arctic Bay,215,215,103000,78500,94000,71500,40,37200,170,111000,45,37200
Argentia Beach,,0,,0,,0,,,,,,
Argyle,3455,3360,71500,69500,61600,60800,855,32400,2490,88000,965,37200
Argyle,395,405,69500,58400,58800,50400,130,30800,255,93000,150,32400
Argyle No. 1,125,105,81000,95000,73000,81000,25,50000,100,89000,30,50400
Arlington No. 79,,,,,,,,,,,,
Arm River No. 252,100,95,82000,87000,77000,77000,20,48800,75,101000,25,53200
Armagh,685,680,55200,50000,50400,44800,255,31000,410,76000,275,34000
Armour,670,610,69500,64500,62800,60000,190,35600,460,84000,205,37600
Armstrong,505,490,72000,71000,65000,63200,155,32400,335,92000,170,34400
Armstrong,830,755,61600,58400,54800,53200,255,31200,545,76500,285,34400
Armstrong,2220,2130,77500,69000,70000,61200,615,36000,1525,97000,690,39600
Arnold's Cove,435,395,75500,80000,64000,69500,135,33600,295,90000,140,34000
Arnprior,4305,3915,75500,67000,67000,59600,1445,37600,2715,98000,1590,41200
Aroland,,110,,45600,,42800,,,,,,
Aroostook,145,145,58000,49600,52800,42800,55,34400,95,76500,60,36800
Arran,,0,,0,,0,,,,,,
Arran-Elderslie,2785,2750,80000,69000,71000,61200,795,39200,1905,99000,875,43200
Arrowwood,,,,,,,,,,,,
Arundel,290,280,60800,50800,55200,46000,105,38800,175,83000,115,40000
Arviat,635,600,105000,83000,98000,77000,90,32800,525,117000,105,35600
Ascot Corner,1310,1200,88000,75000,76000,64000,295,38800,985,106000,325,41600
Ashcroft,790,755,63600,66500,59600,58400,280,31800,480,86000,315,35600
Ashcroft 4,,,,,,,,,,,,
Ashfield-Colborne-Wawanosh,2360,2110,78000,76500,70000,68500,550,42000,1760,95000,595,44000
Ashnola 10,,,,,,,,,,,,
Asphodel-Norwood,1820,1630,80000,70500,72000,62800,380,42000,1390,94000,425,44400
Asquith,255,255,77000,87000,70500,75500,70,38400,175,100000,80,41200
Assabaska,,0,,0,,0,,,,,,
Assiginack,450,420,73500,68500,65000,62000,135,38000,295,96000,150,41200
Assiniboia,1070,1100,71000,66000,62800,58400,420,36000,625,97000,445,38800
Assiniboine 76,210,185,52800,23800,50800,23800,45,25800,150,66500,55,25800
Aston-Jonction,170,165,66000,57600,59200,50400,45,36000,120,79500,50,37200
Athabasca,1155,1195,81000,88000,71500,77000,405,42800,705,109000,450,45200
Athabasca County,2835,3065,89000,96000,77500,82000,685,42800,2075,106000,755,46400
Athens,1215,1190,85000,78000,74500,69000,260,39600,920,100000,295,40800
Atholville,1490,1535,62800,58400,56400,53200,410,30600,1030,78500,455,33200
Atikokan,1260,1305,69000,63600,61200,57600,510,34800,725,99000,535,36400
Attawapiskat 91A,360,385,53600,52400,53600,52400,40,30600,300,59200,60,34400
Atwater,,0,,0,,0,,,,,,
Auclair,210,200,54800,50400,50000,48000,75,27200,130,70500,80,29000
Audet,280,295,64500,58800,57600,52800,80,40800,195,87000,90,40800
Augusta,2950,2910,96000,85000,84000,75000,565,48000,2315,109000,640,50800
Aumond,355,345,62000,50400,55600,45600,115,38400,225,79000,130,44400
Aupaluk,,,,,,,,,,,,
Aupaluk,,0,,0,,0,,,,,,
Aurora,21505,18850,119000,115000,102000,98000,3670,51600,17345,137000,4160,56400
Austin,870,720,86000,70500,72500,58800,260,51600,595,104000,275,52400
Authier,130,115,64500,55600,56800,51200,45,39200,80,84000,50,40000
Authier-Nord,125,120,68500,67000,60000,57200,35,32800,85,82000,45,33200
Auvergne No. 76,105,120,68000,75000,62400,67000,25,31200,80,80000,25,31600
Avondale,285,295,57200,69000,51600,59600,105,29800,170,78000,115,32800
Avonlea,170,170,91000,88000,79000,75000,65,48800,105,111000,70,52400
Ayer's Cliff,530,475,76000,67500,66500,59200,180,40400,340,97000,190,44800
Aylesbury,,,,,,,,,,,,
Aylmer,3065,2960,73500,61600,66000,56400,865,34400,2115,92000,955,36800
Aylsham,,,,,,,,,,,,
B-Say-Tah,,,,,,,,,,,,
Babine 16,,0,,0,,0,,,,,,
Babine 17,,,,,,,,,,,,
Babine 25,,,,,,,,,,,,
Babine 6,,0,,0,,0,,,,,,
Babine Lake 21B,,0,,0,,0,,,,,,
Badger,315,305,64000,68000,58000,62000,75,29600,230,77500,85,33200
Baezaeko River 27,,0,,0,,0,,,,,,
Baie Verte,560,545,74000,72500,63600,63600,140,26600,410,89000,145,28400
Baie-Atibenne,,0,,0,,0,,,,,,
Baie-Comeau,9555,9635,75500,74000,64500,62400,3515,40800,5845,107000,3710,42400
Baie-D'Urfé,1325,1335,145000,129000,116000,102000,195,71500,1110,162000,215,73000
Baie-Johan-Beetz,,,,,,,,,,,,
Baie-Obaoca,,0,,0,,0,,,,,,
Baie-Saint-Paul,3430,3230,64500,59200,56800,52800,1305,34800,2000,92000,1425,36400
Baie-Sainte-Catherine,,,,,,,,,,,,
Baie-Trinité,230,220,54800,46400,46800,42800,85,37600,145,75500,85,37600
Baie-d'Hudson,,0,,0,,0,,,,,,
Baie-de-la-Bouteille,,0,,0,,0,,,,,,
Baie-des-Chaloupes,,0,,0,,0,,,,,,
Baie-des-Sables,280,265,58000,56000,51200,51200,100,33600,170,80000,105,36400
Baie-du-Febvre,445,440,62400,56800,54800,50800,150,34000,275,79000,170,36000
