geo,gdp_per_capita_eur,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
SK010,48800.0,548.0,290.0,258.0,42.9,1075.0,167.0,187.0,38.0
SK021,26300.0,517.0,293.0,223.0,44.3,1043.0,147.0,193.0,37.0
SK022,19400.0,539.0,323.0,216.0,45.3,1037.0,140.0,210.0,43.0
SK023,21600.0,521.0,313.0,208.0,45.3,1049.0,137.0,206.0,41.0
SK031,21300.0,512.0,274.0,238.0,42.4,1031.0,157.0,181.0,35.0
SK032,18100.0,529.0,304.0,225.0,44.3,1056.0,147.0,199.0,39.0
SK041,14500.0,533.0,254.0,280.0,39.7,1021.0,183.0,165.0,32.0
SK042,19800.0,531.0,268.0,264.0,41.1,1046.0,172.0,175.0,35.0
