"geo","n_transactions","median_price","detached_share_pct","semi_share_pct","terraced_share_pct","flat_share_pct","newbuild_share_pct"
"CORNWALL","9853","285000","33.76636557393687","20.186745153760278","26.327007002943265","9.905612503805948","6.272201359991881"
"SUFFOLK","13178","282500","33.98846562452572","27.811504021854606","24.0248899681287","8.233419335255729","12.604340567612688"
"TORFAEN","1231","190000","22.826969943135662","23.88302193338749","42.1608448415922","4.8740861088545895","6.823720552396425"
"BUCKINGHAMSHIRE","8398","444250","30.423910454870207","27.268397237437487","18.14717789949988","18.040009526077636","8.75208382948321"
"CITY OF PLYMOUTH","4294","215000","9.92081974848626","25.966464834653003","41.5929203539823","18.770377270610155","1.3507219375873312"
"CONWY","2080","210000","34.375","28.990384615384617","15.817307692307692","14.375","1.5384615384615385"
"HAMPSHIRE","22372","365000","30.52476309672805","24.01662792776685","23.77525478276417","16.779903450741998","8.103879849812266"
"SWANSEA","3609","188000","21.640343585480743","31.532280410085896","32.05874203380438","8.534220005541702","4.183984483236354"
"SURREY","19090","487000","26.83080146673651","25.264536406495548","16.49554740701938","25.678365636458878","7.087480356207439"
"NORTHUMBERLAND","6571","195000","29.812813879166033","26.875665804291586","28.74752701263126","7.852686044742049","14.472683001065286"
"WARRINGTON","3206","235000","22.208359326263256","36.52526512788521","25.45227698066126","10.074859638178415","5.676855895196507"
"RHONDDA CYNON TAFF","3828","140000","13.244514106583072","21.577847439916404","57.47126436781609","1.8025078369905956","5.982236154649947"
"ISLES OF SCILLY","26","351000","19.23076923076923","3.8461538461538463","19.23076923076923","30.76923076923077","0"
"WILTSHIRE","8490","310000","31.48409893992933","26.489988221436985","24.80565371024735","10.965842167255595","9.187279151943462"
"EAST SUSSEX","9931","340000","28.687946833148725","22.71674554425536","19.35353942201188","22.68653710603162","6.404188903433693"
"WESTMORLAND AND FURNESS","4361","230000","24.604448520981425","26.14079339601009","32.882366429717955","8.484292593441872","8.277917908736528"
"DORSET","6901","340000","35.38617591653384","19.83770468048109","22.547456890305753","15.229676858426314","8.984205187653963"
"CARDIFF","5345","260000","13.751169317118803","24.059869036482695","35.397567820392894","22.15154349859682","6.304957904583723"
"BEDFORD","2822","330000","28.70304748405386","31.467044649184974","22.749822820694543","12.331679659815734","13.359319631467045"
"TORBAY","2396","245000","20.325542570951587","22.245409015025043","27.54590984974958","24.040066777963272","3.4641068447412353"
"BOURNEMOUTH, CHRISTCHURCH AND POOLE","6847","321500","32.72966262596758","14.108368628596466","11.08514677961151","36.77523002774938","3.344530451292537"
"BLACKPOOL","2814","125000","7.782515991471215","36.7093105899076","40.36958066808813","8.173418621179815","0.7107320540156361"
"WINDSOR AND MAIDENHEAD","2432","520000","22.98519736842105","21.34046052631579","20.929276315789473","26.151315789473685","9.662828947368421"
"EAST RIDING OF YORKSHIRE","7256","218414","33.71003307607497","35.005512679162074","21.168687982359426","5.443770672546858","18.426130099228224"
