geo,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
CZ01,511.0,278.0,233.0,41.9,1058.0,154.0,184.0,47.0
CZ02,561.0,293.0,268.0,43.1,1034.0,172.0,188.0,41.0
CZ03,573.0,335.0,239.0,44.7,1030.0,152.0,213.0,48.0
CZ04,559.0,327.0,232.0,45.1,1035.0,149.0,210.0,43.0
CZ05,588.0,344.0,244.0,44.9,1030.0,154.0,217.0,49.0
CZ06,580.0,331.0,249.0,44.2,1032.0,157.0,209.0,50.0
CZ07,593.0,353.0,240.0,45.6,1041.0,150.0,222.0,52.0
CZ08,570.0,339.0,231.0,45.4,1040.0,147.0,216.0,50.0
