variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
car_driver_to_work_per1000 vs work_from_home_per1000,county(n=31),corr=-0.527,electoral_division(n=3420),corr=-0.064,magnitude_change,yes,yes
car_driver_to_work_per1000 vs public_transport_to_work_per1000,county(n=31),corr=-0.815,electoral_division(n=3420),corr=-0.363,magnitude_change,yes,yes
car_driver_to_work_per1000 vs walk_or_bike_to_work_per1000,county(n=31),corr=-0.92,electoral_division(n=3420),corr=-0.776,similar,yes,yes
car_driver_to_work_per1000 vs commute_over_1hr_per1000,county(n=31),corr=0.12,electoral_division(n=3420),corr=0.249,magnitude_change,no,yes
car_driver_to_work_per1000 vs commute_under_15min_per1000,county(n=31),corr=0.792,electoral_division(n=3420),corr=0.204,magnitude_change,yes,yes
car_driver_to_work_per1000 vs disability_per1000,county(n=31),corr=0.033,electoral_division(n=3420),corr=-0.182,magnitude_change,no,yes
car_driver_to_work_per1000 vs carer_per1000,county(n=31),corr=0.726,electoral_division(n=3420),corr=0.346,magnitude_change,yes,yes
car_driver_to_work_per1000 vs very_good_health_per1000,county(n=31),corr=0.149,electoral_division(n=3420),corr=0.452,magnitude_change,no,yes
car_driver_to_work_per1000 vs bad_or_very_bad_health_per1000,county(n=31),corr=-0.002,electoral_division(n=3420),corr=-0.22,magnitude_change,no,yes
car_driver_to_work_per1000 vs smoker_per1000,county(n=31),corr=-0.311,electoral_division(n=3420),corr=-0.395,similar,no,yes
car_driver_to_work_per1000 vs agriculture_forestry_fishing_per1000,county(n=31),corr=0.789,electoral_division(n=3420),corr=0.402,magnitude_change,yes,yes
car_driver_to_work_per1000 vs building_construction_per1000,county(n=31),corr=0.689,electoral_division(n=3420),corr=0.326,magnitude_change,yes,yes
car_driver_to_work_per1000 vs manufacturing_per1000,county(n=31),corr=0.597,electoral_division(n=3420),corr=0.367,magnitude_change,yes,yes
car_driver_to_work_per1000 vs commerce_trade_per1000,county(n=31),corr=-0.575,electoral_division(n=3420),corr=-0.225,magnitude_change,yes,yes
car_driver_to_work_per1000 vs public_administration_per1000,county(n=31),corr=0.338,electoral_division(n=3420),corr=0.24,similar,no,yes
car_driver_to_work_per1000 vs professional_services_per1000,county(n=31),corr=-0.021,electoral_division(n=3420),corr=0.134,magnitude_change,no,yes
car_driver_to_work_per1000 vs no_car_household_per1000,county(n=31),corr=-0.821,electoral_division(n=3420),corr=-0.78,similar,yes,yes
car_driver_to_work_per1000 vs multiple_car_household_per1000,county(n=31),corr=0.839,electoral_division(n=3420),corr=0.754,similar,yes,yes
car_driver_to_work_per1000 vs no_internet_per1000,county(n=31),corr=0.697,electoral_division(n=3420),corr=0.257,magnitude_change,yes,yes
car_driver_to_work_per1000 vs broadband_per1000,county(n=31),corr=-0.554,electoral_division(n=3420),corr=-0.084,magnitude_change,yes,yes
work_from_home_per1000 vs public_transport_to_work_per1000,county(n=31),corr=0.571,electoral_division(n=3420),corr=0.133,magnitude_change,yes,yes
work_from_home_per1000 vs walk_or_bike_to_work_per1000,county(n=31),corr=0.534,electoral_division(n=3420),corr=-0.058,reversed,yes,yes
work_from_home_per1000 vs commute_over_1hr_per1000,county(n=31),corr=-0.154,electoral_division(n=3420),corr=0.068,reversed,no,yes
work_from_home_per1000 vs commute_under_15min_per1000,county(n=31),corr=-0.582,electoral_division(n=3420),corr=-0.196,magnitude_change,yes,yes
work_from_home_per1000 vs disability_per1000,county(n=31),corr=0.107,electoral_division(n=3420),corr=-0.122,reversed,no,yes
work_from_home_per1000 vs carer_per1000,county(n=31),corr=-0.159,electoral_division(n=3420),corr=0.132,reversed,no,yes
work_from_home_per1000 vs very_good_health_per1000,county(n=31),corr=0.464,electoral_division(n=3420),corr=0.283,magnitude_change,yes,yes
work_from_home_per1000 vs bad_or_very_bad_health_per1000,county(n=31),corr=-0.42,electoral_division(n=3420),corr=-0.222,magnitude_change,yes,yes
work_from_home_per1000 vs smoker_per1000,county(n=31),corr=-0.315,electoral_division(n=3420),corr=-0.306,similar,no,yes
work_from_home_per1000 vs agriculture_forestry_fishing_per1000,county(n=31),corr=-0.607,electoral_division(n=3420),corr=0.303,reversed,yes,yes
work_from_home_per1000 vs building_construction_per1000,county(n=31),corr=-0.611,electoral_division(n=3420),corr=-0.148,magnitude_change,yes,yes
work_from_home_per1000 vs manufacturing_per1000,county(n=31),corr=-0.517,electoral_division(n=3420),corr=-0.256,magnitude_change,yes,yes
work_from_home_per1000 vs commerce_trade_per1000,county(n=31),corr=0.657,electoral_division(n=3420),corr=0.107,magnitude_change,yes,yes
work_from_home_per1000 vs public_administration_per1000,county(n=31),corr=-0.288,electoral_division(n=3420),corr=-0.042,magnitude_change,no,yes
work_from_home_per1000 vs professional_services_per1000,county(n=31),corr=0.3,electoral_division(n=3420),corr=-0.092,reversed,no,yes
work_from_home_per1000 vs no_car_household_per1000,county(n=31),corr=0.278,electoral_division(n=3420),corr=-0.165,reversed,no,yes
work_from_home_per1000 vs multiple_car_household_per1000,county(n=31),corr=-0.256,electoral_division(n=3420),corr=0.164,reversed,no,yes
work_from_home_per1000 vs no_internet_per1000,county(n=31),corr=-0.631,electoral_division(n=3420),corr=-0.091,magnitude_change,yes,yes
work_from_home_per1000 vs broadband_per1000,county(n=31),corr=0.599,electoral_division(n=3420),corr=-0.023,magnitude_change,yes,no
public_transport_to_work_per1000 vs walk_or_bike_to_work_per1000,county(n=31),corr=0.679,electoral_division(n=3420),corr=0.126,magnitude_change,yes,yes
public_transport_to_work_per1000 vs commute_over_1hr_per1000,county(n=31),corr=0.231,electoral_division(n=3420),corr=0.05,magnitude_change,no,yes
public_transport_to_work_per1000 vs commute_under_15min_per1000,county(n=31),corr=-0.809,electoral_division(n=3420),corr=-0.552,magnitude_change,yes,yes
public_transport_to_work_per1000 vs disability_per1000,county(n=31),corr=-0.355,electoral_division(n=3420),corr=-0.03,magnitude_change,yes,no
