variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
0_4_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=-0.051,sveitarfelag(n=62),corr=-0.452,magnitude_change,no,yes
0_4_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=0.057,sveitarfelag(n=62),corr=0.062,similar,no,no
0_4_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=-0.23,sveitarfelag(n=61),corr=-0.778,magnitude_change,no,yes
5_9_per1000 vs 10_14_per1000,landshluti(n=8),corr=0.472,sveitarfelag(n=62),corr=0.644,magnitude_change,no,yes
5_9_per1000 vs 15_19_per1000,landshluti(n=8),corr=-0.103,sveitarfelag(n=62),corr=0.409,reversed,no,yes
5_9_per1000 vs 20_29_per1000,landshluti(n=8),corr=-0.475,sveitarfelag(n=62),corr=-0.306,magnitude_change,no,yes
5_9_per1000 vs 30_44_per1000,landshluti(n=8),corr=-0.328,sveitarfelag(n=62),corr=0.275,reversed,no,yes
5_9_per1000 vs 45_64_per1000,landshluti(n=8),corr=0.061,sveitarfelag(n=62),corr=-0.547,reversed,no,yes
5_9_per1000 vs 65_74_per1000,landshluti(n=8),corr=0.387,sveitarfelag(n=62),corr=-0.51,reversed,no,yes
5_9_per1000 vs 75_84_per1000,landshluti(n=8),corr=0.139,sveitarfelag(n=62),corr=-0.174,reversed,no,no
5_9_per1000 vs 85plus_per1000,landshluti(n=8),corr=0.242,sveitarfelag(n=62),corr=-0.175,reversed,no,no
5_9_per1000 vs male_per1000,landshluti(n=8),corr=0.019,sveitarfelag(n=62),corr=-0.377,magnitude_change,no,yes
5_9_per1000 vs female_per1000,landshluti(n=8),corr=-0.015,sveitarfelag(n=62),corr=0.374,magnitude_change,no,yes
5_9_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=0.021,sveitarfelag(n=62),corr=-0.425,magnitude_change,no,yes
5_9_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=0.612,sveitarfelag(n=62),corr=0.903,magnitude_change,no,yes
5_9_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=0.342,sveitarfelag(n=62),corr=-0.336,reversed,no,yes
5_9_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=0.428,sveitarfelag(n=62),corr=0.201,magnitude_change,no,no
5_9_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=0.15,sveitarfelag(n=61),corr=-0.687,reversed,no,yes
10_14_per1000 vs 15_19_per1000,landshluti(n=8),corr=0.388,sveitarfelag(n=62),corr=0.362,similar,no,yes
10_14_per1000 vs 20_29_per1000,landshluti(n=8),corr=-0.659,sveitarfelag(n=62),corr=-0.369,magnitude_change,no,yes
10_14_per1000 vs 30_44_per1000,landshluti(n=8),corr=-0.223,sveitarfelag(n=62),corr=0.034,magnitude_change,no,no
10_14_per1000 vs 45_64_per1000,landshluti(n=8),corr=-0.415,sveitarfelag(n=62),corr=-0.307,similar,no,yes
10_14_per1000 vs 65_74_per1000,landshluti(n=8),corr=0.207,sveitarfelag(n=62),corr=-0.39,reversed,no,yes
10_14_per1000 vs 75_84_per1000,landshluti(n=8),corr=0.335,sveitarfelag(n=62),corr=-0.172,reversed,no,no
10_14_per1000 vs 85plus_per1000,landshluti(n=8),corr=0.089,sveitarfelag(n=62),corr=0.087,similar,no,no
10_14_per1000 vs male_per1000,landshluti(n=8),corr=-0.1,sveitarfelag(n=62),corr=-0.685,magnitude_change,no,yes
10_14_per1000 vs female_per1000,landshluti(n=8),corr=0.104,sveitarfelag(n=62),corr=0.682,magnitude_change,no,yes
10_14_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=-0.111,sveitarfelag(n=62),corr=-0.695,magnitude_change,no,yes
10_14_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=0.7,sveitarfelag(n=62),corr=0.836,similar,no,yes
10_14_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=0.283,sveitarfelag(n=62),corr=-0.208,reversed,no,no
10_14_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=0.405,sveitarfelag(n=62),corr=0.284,similar,no,yes
10_14_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=0.065,sveitarfelag(n=61),corr=-0.644,reversed,no,yes
15_19_per1000 vs 20_29_per1000,landshluti(n=8),corr=-0.259,sveitarfelag(n=62),corr=-0.146,magnitude_change,no,no
15_19_per1000 vs 30_44_per1000,landshluti(n=8),corr=0.195,sveitarfelag(n=62),corr=-0.106,reversed,no,no
15_19_per1000 vs 45_64_per1000,landshluti(n=8),corr=0.256,sveitarfelag(n=62),corr=-0.146,reversed,no,no
15_19_per1000 vs 65_74_per1000,landshluti(n=8),corr=-0.506,sveitarfelag(n=62),corr=-0.333,magnitude_change,no,yes
15_19_per1000 vs 75_84_per1000,landshluti(n=8),corr=-0.115,sveitarfelag(n=62),corr=-0.185,magnitude_change,no,no
15_19_per1000 vs 85plus_per1000,landshluti(n=8),corr=-0.207,sveitarfelag(n=62),corr=-0.23,similar,no,no
15_19_per1000 vs male_per1000,landshluti(n=8),corr=-0.236,sveitarfelag(n=62),corr=-0.128,magnitude_change,no,no
15_19_per1000 vs female_per1000,landshluti(n=8),corr=0.239,sveitarfelag(n=62),corr=0.125,magnitude_change,no,no
15_19_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=-0.23,sveitarfelag(n=62),corr=-0.158,magnitude_change,no,no
15_19_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=-0.029,sveitarfelag(n=62),corr=0.382,magnitude_change,no,yes
15_19_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=-0.315,sveitarfelag(n=62),corr=-0.329,similar,no,yes
15_19_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=-0.253,sveitarfelag(n=62),corr=-0.092,magnitude_change,no,no
15_19_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=-0.406,sveitarfelag(n=61),corr=-0.213,magnitude_change,no,no
20_29_per1000 vs 30_44_per1000,landshluti(n=8),corr=0.704,sveitarfelag(n=62),corr=0.519,similar,no,yes
20_29_per1000 vs 45_64_per1000,landshluti(n=8),corr=-0.246,sveitarfelag(n=62),corr=-0.322,magnitude_change,no,yes
20_29_per1000 vs 65_74_per1000,landshluti(n=8),corr=-0.573,sveitarfelag(n=62),corr=-0.452,similar,no,yes
20_29_per1000 vs 75_84_per1000,landshluti(n=8),corr=-0.771,sveitarfelag(n=62),corr=-0.478,magnitude_change,yes,yes
20_29_per1000 vs 85plus_per1000,landshluti(n=8),corr=-0.686,sveitarfelag(n=62),corr=-0.433,magnitude_change,no,yes
20_29_per1000 vs male_per1000,landshluti(n=8),corr=0.669,sveitarfelag(n=62),corr=0.337,magnitude_change,no,yes
20_29_per1000 vs female_per1000,landshluti(n=8),corr=-0.667,sveitarfelag(n=62),corr=-0.337,magnitude_change,no,yes
20_29_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=0.674,sveitarfelag(n=62),corr=0.347,magnitude_change,no,yes
20_29_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=-0.788,sveitarfelag(n=62),corr=-0.426,magnitude_change,yes,yes
20_29_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=-0.715,sveitarfelag(n=62),corr=-0.592,similar,yes,yes
20_29_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=-0.764,sveitarfelag(n=62),corr=-0.803,similar,yes,yes
20_29_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=-0.586,sveitarfelag(n=61),corr=-0.193,magnitude_change,no,no
30_44_per1000 vs 45_64_per1000,landshluti(n=8),corr=-0.323,sveitarfelag(n=62),corr=-0.705,magnitude_change,no,yes
30_44_per1000 vs 65_74_per1000,landshluti(n=8),corr=-0.917,sveitarfelag(n=62),corr=-0.688,similar,yes,yes
30_44_per1000 vs 75_84_per1000,landshluti(n=8),corr=-0.918,sveitarfelag(n=62),corr=-0.558,magnitude_change,yes,yes
30_44_per1000 vs 85plus_per1000,landshluti(n=8),corr=-0.946,sveitarfelag(n=62),corr=-0.343,magnitude_change,yes,yes
30_44_per1000 vs male_per1000,landshluti(n=8),corr=0.702,sveitarfelag(n=62),corr=0.233,magnitude_change,no,no
30_44_per1000 vs female_per1000,landshluti(n=8),corr=-0.703,sveitarfelag(n=62),corr=-0.235,magnitude_change,no,no
30_44_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=0.707,sveitarfelag(n=62),corr=0.206,magnitude_change,yes,no
30_44_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=-0.769,sveitarfelag(n=62),corr=0.049,magnitude_change,yes,no
30_44_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=-0.977,sveitarfelag(n=62),corr=-0.682,magnitude_change,yes,yes
30_44_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=-0.963,sveitarfelag(n=62),corr=-0.615,magnitude_change,yes,yes
30_44_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=-0.931,sveitarfelag(n=61),corr=-0.355,magnitude_change,yes,yes
45_64_per1000 vs 65_74_per1000,landshluti(n=8),corr=0.074,sveitarfelag(n=62),corr=0.525,magnitude_change,no,yes
45_64_per1000 vs 75_84_per1000,landshluti(n=8),corr=0.186,sveitarfelag(n=62),corr=0.135,similar,no,no
45_64_per1000 vs 85plus_per1000,landshluti(n=8),corr=0.446,sveitarfelag(n=62),corr=0.17,magnitude_change,no,no
45_64_per1000 vs male_per1000,landshluti(n=8),corr=-0.478,sveitarfelag(n=62),corr=0.178,reversed,no,no
45_64_per1000 vs female_per1000,landshluti(n=8),corr=0.475,sveitarfelag(n=62),corr=-0.176,reversed,no,no
45_64_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=-0.463,sveitarfelag(n=62),corr=0.225,reversed,no,no
45_64_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=-0.124,sveitarfelag(n=62),corr=-0.416,magnitude_change,no,yes
45_64_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=0.178,sveitarfelag(n=62),corr=0.381,magnitude_change,no,yes
45_64_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=0.105,sveitarfelag(n=62),corr=0.121,similar,no,no
45_64_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=0.263,sveitarfelag(n=61),corr=0.433,magnitude_change,no,yes
65_74_per1000 vs 75_84_per1000,landshluti(n=8),corr=0.822,sveitarfelag(n=62),corr=0.684,similar,yes,yes
65_74_per1000 vs 85plus_per1000,landshluti(n=8),corr=0.883,sveitarfelag(n=62),corr=0.318,magnitude_change,yes,yes
65_74_per1000 vs male_per1000,landshluti(n=8),corr=-0.43,sveitarfelag(n=62),corr=0.006,magnitude_change,no,no
65_74_per1000 vs female_per1000,landshluti(n=8),corr=0.428,sveitarfelag(n=62),corr=-0.002,magnitude_change,no,no
65_74_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=-0.439,sveitarfelag(n=62),corr=0.022,magnitude_change,no,no
65_74_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=0.728,sveitarfelag(n=62),corr=-0.405,reversed,yes,yes
65_74_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=0.965,sveitarfelag(n=62),corr=0.909,similar,yes,yes
65_74_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=0.943,sveitarfelag(n=62),corr=0.625,magnitude_change,yes,yes
65_74_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=0.942,sveitarfelag(n=61),corr=0.678,similar,yes,yes
75_84_per1000 vs 85plus_per1000,landshluti(n=8),corr=0.844,sveitarfelag(n=62),corr=0.628,similar,yes,yes
75_84_per1000 vs male_per1000,landshluti(n=8),corr=-0.74,sveitarfelag(n=62),corr=-0.14,magnitude_change,yes,no
75_84_per1000 vs female_per1000,landshluti(n=8),corr=0.74,sveitarfelag(n=62),corr=0.143,magnitude_change,yes,no
75_84_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=-0.748,sveitarfelag(n=62),corr=-0.137,magnitude_change,yes,no
75_84_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=0.741,sveitarfelag(n=62),corr=-0.106,reversed,yes,no
75_84_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=0.935,sveitarfelag(n=62),corr=0.888,similar,yes,yes
75_84_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=0.924,sveitarfelag(n=62),corr=0.778,similar,yes,yes
75_84_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=0.898,sveitarfelag(n=61),corr=0.561,magnitude_change,yes,yes
85plus_per1000 vs male_per1000,landshluti(n=8),corr=-0.697,sveitarfelag(n=62),corr=-0.213,magnitude_change,no,no
85plus_per1000 vs female_per1000,landshluti(n=8),corr=0.693,sveitarfelag(n=62),corr=0.215,magnitude_change,no,no
85plus_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=-0.701,sveitarfelag(n=62),corr=-0.192,magnitude_change,no,no
85plus_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=0.617,sveitarfelag(n=62),corr=-0.029,magnitude_change,no,no
85plus_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=0.924,sveitarfelag(n=62),corr=0.614,magnitude_change,yes,yes
85plus_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=0.882,sveitarfelag(n=62),corr=0.563,magnitude_change,yes,yes
85plus_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=0.939,sveitarfelag(n=61),corr=0.323,magnitude_change,yes,yes
male_per1000 vs female_per1000,landshluti(n=8),corr=-1.0,sveitarfelag(n=62),corr=-1.0,similar,yes,yes
male_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=1.0,sveitarfelag(n=62),corr=0.995,similar,yes,yes
male_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=-0.538,sveitarfelag(n=62),corr=-0.599,similar,no,yes
male_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=-0.616,sveitarfelag(n=62),corr=-0.15,magnitude_change,no,no
male_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=-0.622,sveitarfelag(n=62),corr=-0.486,similar,no,yes
male_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=-0.567,sveitarfelag(n=61),corr=0.373,reversed,no,yes
female_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=-1.0,sveitarfelag(n=62),corr=-0.995,similar,yes,yes
female_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=0.543,sveitarfelag(n=62),corr=0.596,similar,no,yes
female_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=0.616,sveitarfelag(n=62),corr=0.154,magnitude_change,no,no
female_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=0.623,sveitarfelag(n=62),corr=0.488,similar,no,yes
female_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=0.563,sveitarfelag(n=61),corr=-0.369,reversed,no,yes
sex_ratio_males_per1000_females vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=-0.547,sveitarfelag(n=62),corr=-0.631,similar,no,yes
sex_ratio_males_per1000_females vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=-0.624,sveitarfelag(n=62),corr=-0.137,magnitude_change,no,no
sex_ratio_males_per1000_females vs total_dependency_ratio_per_1000,landshluti(n=8),corr=-0.63,sveitarfelag(n=62),corr=-0.492,similar,no,yes
sex_ratio_males_per1000_females vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=-0.574,sveitarfelag(n=61),corr=0.405,reversed,no,yes
youth_dependency_ratio_per_1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=0.79,sveitarfelag(n=62),corr=-0.204,reversed,yes,no
youth_dependency_ratio_per_1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=0.879,sveitarfelag(n=62),corr=0.381,magnitude_change,yes,yes
youth_dependency_ratio_per_1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=0.585,sveitarfelag(n=61),corr=-0.748,reversed,no,yes
old_age_dependency_ratio_per_1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=0.987,sveitarfelag(n=62),corr=0.827,similar,yes,yes
old_age_dependency_ratio_per_1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=0.958,sveitarfelag(n=61),corr=0.632,magnitude_change,yes,yes
total_dependency_ratio_per_1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=0.9,sveitarfelag(n=61),corr=0.223,magnitude_change,yes,no
