variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
no_religion_per1000 vs asian_or_asian_irish_per1000,county(n=31),corr=0.759,electoral_division(n=3420),corr=0.492,magnitude_change,yes,yes
no_religion_per1000 vs black_or_black_irish_per1000,county(n=31),corr=0.279,electoral_division(n=3420),corr=0.242,similar,no,yes
no_religion_per1000 vs other_white_per1000,county(n=31),corr=0.489,electoral_division(n=3420),corr=0.605,similar,yes,yes
no_religion_per1000 vs irish_speaker_per1000,county(n=31),corr=-0.06,electoral_division(n=3420),corr=-0.133,magnitude_change,no,yes
white_irish_traveller_per1000 vs asian_or_asian_irish_per1000,county(n=31),corr=-0.13,electoral_division(n=3420),corr=0.119,reversed,no,yes
white_irish_traveller_per1000 vs black_or_black_irish_per1000,county(n=31),corr=0.16,electoral_division(n=3420),corr=0.175,similar,no,yes
white_irish_traveller_per1000 vs other_white_per1000,county(n=31),corr=0.074,electoral_division(n=3420),corr=0.085,similar,no,yes
white_irish_traveller_per1000 vs irish_speaker_per1000,county(n=31),corr=0.005,electoral_division(n=3420),corr=-0.175,magnitude_change,no,yes
asian_or_asian_irish_per1000 vs black_or_black_irish_per1000,county(n=31),corr=0.617,electoral_division(n=3420),corr=0.547,similar,yes,yes
asian_or_asian_irish_per1000 vs other_white_per1000,county(n=31),corr=0.534,electoral_division(n=3420),corr=0.55,similar,yes,yes
asian_or_asian_irish_per1000 vs irish_speaker_per1000,county(n=31),corr=-0.291,electoral_division(n=3420),corr=-0.346,similar,no,yes
black_or_black_irish_per1000 vs other_white_per1000,county(n=31),corr=0.555,electoral_division(n=3420),corr=0.449,similar,yes,yes
black_or_black_irish_per1000 vs irish_speaker_per1000,county(n=31),corr=-0.414,electoral_division(n=3420),corr=-0.357,similar,yes,yes
other_white_per1000 vs irish_speaker_per1000,county(n=31),corr=-0.291,electoral_division(n=3420),corr=-0.337,similar,no,yes
