level,n,variable_pop_mean,variable_pop_sd,ratio_pct_mean,ratio_pct_sd,ratio_pct_min,ratio_pct_max,corr_pop_vs_ratio
Departement,100,686205.65,520220.55,2.1247,0.7067,0.393,4.448,-0.6678
Commune,34964,1962.61,8846.95,2.1028,1.6805,0.000,45.714,-0.0443
