level,n,pop_mean,pop_sd,pci_mean,pci_sd,corr_pop_vs_pci
state_plus_dc,51,6668842.9,7527206.1,71458.6,11076.2,0.1396
county,3115,109184.9,340262.8,60093.6,19481.1,0.2160
