level,n,pop2025_mean,pop2025_sd,growth_2021_2025_mean_pct,growth_2021_2025_sd_pct,corr_pop_vs_growth
province_territory,13,3203973.3,4614918.0,8.52,3.20,0.0976
census_subdivision,4884,8527.9,73414.3,3.88,6.28,0.0983
