level,n,mean,sd,min,max,range,ratio_to_state_range,ratio_to_state_sd
state,8,4.3928,0.3481,3.9994,5.0516,1.0522,1.00,1.00
SA4,87,4.3414,0.9419,2.6748,6.9698,4.2951,4.08,2.71
