level,n,mean_pct,sd_pct,min_pct,max_pct,range_pct,pop_weighted_mean_pct
state_plus_dc,51,33.876,6.652,22.711,62.636,39.925,34.312
county,3144,23.491,10.058,0.000,78.871,78.871,34.312
