level,n,poverty_percent_mean,poverty_percent_sd,poverty_percent_min,poverty_percent_max,median_household_income_mean,median_household_income_sd,corr_poverty_vs_income
state,51,12.196,2.517,7.3,18.9,77593.18,12744.75,-0.6917
county,3143,14.492,5.553,3.3,49.6,65561.64,16543.50,-0.7632
