variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
at_work_per1000 vs retired_per1000,county(n=31),corr=-0.786,electoral_division(n=3420),corr=-0.64,similar,yes,yes
at_work_per1000 vs looking_after_home_family_per1000,county(n=31),corr=-0.218,electoral_division(n=3420),corr=-0.264,similar,no,yes
at_work_per1000 vs unable_to_work_disability_per1000,county(n=31),corr=-0.678,electoral_division(n=3420),corr=-0.486,similar,yes,yes
at_work_per1000 vs professional_workers_per1000,county(n=31),corr=0.386,electoral_division(n=3420),corr=0.324,similar,yes,yes
at_work_per1000 vs unskilled_workers_per1000,county(n=31),corr=-0.455,electoral_division(n=3420),corr=-0.349,similar,yes,yes
at_work_per1000 vs no_formal_education_per1000,county(n=31),corr=-0.463,electoral_division(n=3420),corr=-0.356,similar,yes,yes
at_work_per1000 vs upper_secondary_per1000,county(n=31),corr=-0.29,electoral_division(n=3420),corr=-0.136,magnitude_change,no,yes
at_work_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=0.486,electoral_division(n=3420),corr=0.399,similar,yes,yes
unemployed_per1000 vs retired_per1000,county(n=31),corr=-0.037,electoral_division(n=3420),corr=-0.038,similar,no,yes
unemployed_per1000 vs looking_after_home_family_per1000,county(n=31),corr=0.056,electoral_division(n=3420),corr=-0.007,magnitude_change,no,no
unemployed_per1000 vs unable_to_work_disability_per1000,county(n=31),corr=0.519,electoral_division(n=3420),corr=0.48,similar,yes,yes
unemployed_per1000 vs professional_workers_per1000,county(n=31),corr=-0.609,electoral_division(n=3420),corr=-0.413,magnitude_change,yes,yes
unemployed_per1000 vs unskilled_workers_per1000,county(n=31),corr=0.658,electoral_division(n=3420),corr=0.426,magnitude_change,yes,yes
unemployed_per1000 vs no_formal_education_per1000,county(n=31),corr=0.512,electoral_division(n=3420),corr=0.298,magnitude_change,yes,yes
unemployed_per1000 vs upper_secondary_per1000,county(n=31),corr=0.027,electoral_division(n=3420),corr=0.046,magnitude_change,no,yes
unemployed_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=-0.484,electoral_division(n=3420),corr=-0.347,similar,yes,yes
retired_per1000 vs looking_after_home_family_per1000,county(n=31),corr=0.013,electoral_division(n=3420),corr=0.034,magnitude_change,no,yes
retired_per1000 vs unable_to_work_disability_per1000,county(n=31),corr=0.294,electoral_division(n=3420),corr=0.055,magnitude_change,no,yes
retired_per1000 vs professional_workers_per1000,county(n=31),corr=-0.144,electoral_division(n=3420),corr=-0.056,magnitude_change,no,yes
retired_per1000 vs unskilled_workers_per1000,county(n=31),corr=0.229,electoral_division(n=3420),corr=0.098,magnitude_change,no,yes
retired_per1000 vs no_formal_education_per1000,county(n=31),corr=0.326,electoral_division(n=3420),corr=0.162,magnitude_change,no,yes
retired_per1000 vs upper_secondary_per1000,county(n=31),corr=0.254,electoral_division(n=3420),corr=0.06,magnitude_change,no,yes
retired_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=-0.266,electoral_division(n=3420),corr=-0.141,magnitude_change,no,yes
looking_after_home_family_per1000 vs unable_to_work_disability_per1000,county(n=31),corr=0.347,electoral_division(n=3420),corr=0.127,magnitude_change,no,yes
looking_after_home_family_per1000 vs professional_workers_per1000,county(n=31),corr=-0.535,electoral_division(n=3420),corr=-0.21,magnitude_change,yes,yes
looking_after_home_family_per1000 vs unskilled_workers_per1000,county(n=31),corr=0.347,electoral_division(n=3420),corr=0.173,magnitude_change,no,yes
looking_after_home_family_per1000 vs no_formal_education_per1000,county(n=31),corr=0.475,electoral_division(n=3420),corr=0.262,magnitude_change,yes,yes
looking_after_home_family_per1000 vs upper_secondary_per1000,county(n=31),corr=0.595,electoral_division(n=3420),corr=0.219,magnitude_change,yes,yes
looking_after_home_family_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=-0.604,electoral_division(n=3420),corr=-0.388,magnitude_change,yes,yes
