level,n,excluded_zero_2008,births2024_mean,births2024_sd,growth08to24_mean,growth08to24_sd,corr_births2024_vs_growth,corr_p_value
Departement,100,0,6508.2,6001.6,-0.2469,0.0893,0.5385,2.51e-10
Commune,31078,3770,20.8,172.6,-0.1749,0.7604,0.0117,0.0391
