level,n,excluded_zero_2015,births2024_mean,births2024_sd,growth15to24_mean,growth15to24_sd,corr_births2024_vs_growth,corr_p_value
prefecture,47,0,14599.0,16549.5,-0.3437,0.0443,0.5992,8.60e-06
municipality,1874,27,363.5,594.3,-0.3748,0.1994,0.2236,1.15e-22
