variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
nights_spent_per1000pop vs total_dependency_ratio_per1000,nuts2(n=4),corr=0.252,nuts3(n=25),corr=0.363,magnitude_change,no,no
nights_spent_per1000pop vs old_age_dependency_ratio_per1000,nuts2(n=4),corr=0.175,nuts3(n=25),corr=0.288,magnitude_change,no,no
nights_spent_per1000pop vs youth_dependency_ratio_per1000,nuts2(n=4),corr=0.09,nuts3(n=25),corr=-0.027,magnitude_change,no,no
nights_spent_per1000pop vs median_age_years,nuts2(n=4),corr=0.088,nuts3(n=25),corr=0.218,magnitude_change,no,no
nights_spent_per1000pop vs females_per1000_males,nuts2(n=4),corr=0.013,nuts3(n=25),corr=-0.062,magnitude_change,no,no
nights_spent_per1000pop vs young_0_14_per1000,nuts2(n=4),corr=0.012,nuts3(n=25),corr=-0.111,magnitude_change,no,no
nights_spent_per1000pop vs elderly_65plus_per1000,nuts2(n=4),corr=0.16,nuts3(n=25),corr=0.255,magnitude_change,no,no
nights_spent_per1000pop vs oldest_80plus_per1000,nuts2(n=4),corr=0.164,nuts3(n=25),corr=0.402,magnitude_change,no,yes
