level,n,pop2025_mean,pop2025_sd,growth_2024_25_mean_pct,growth_2024_25_sd_pct,corr_pop_vs_growth
state_territory,8,3474499.1,3065956.6,1.46,0.53,0.1577
lga,546,49682.3,98437.2,0.93,1.12,0.2835
