level,n,variable,mean,sd,min,max,other_variable_mean,corr_with_population,t_stat
NUTS2,288,employed_persons_thousand,824.98,745.66,13.8,6195.1,1922065.06,0.9796,82.35
NUTS3,1198,employed_persons_thousand,182.87,255.00,3.9,3716.2,379493.98,0.9582,115.85
