level,n,nights_spent_2023_mean,nights_spent_2023_sd,nights_spent_2023_min,nights_spent_2023_max,population_2023_mean,population_2023_sd,population_2023_min,population_2023_max,corr_population_nights
NUTS2,297,11105599.5,15608947.5,132824,95574956,1901514.1,1775530.4,0,15907951,0.5238
NUTS3,1267,2482211.2,4798734.9,0,51193029,381982.9,464890.8,0,6871903,0.5973
