variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
avg_wage_income vs avg_cash_benefits,province(n=11),corr=-0.17,kommune(n=98),corr=-0.375,magnitude_change,no,yes
avg_wage_income vs avg_educational_grants,province(n=11),corr=0.409,kommune(n=98),corr=0.252,magnitude_change,no,yes
avg_wage_income vs avg_child_benefits,province(n=11),corr=0.583,kommune(n=98),corr=0.618,similar,no,yes
avg_wage_income vs avg_public_pension,province(n=11),corr=-0.882,kommune(n=98),corr=-0.82,similar,yes,yes
avg_wage_income vs avg_disability_oldage_pension,province(n=11),corr=-0.877,kommune(n=98),corr=-0.815,similar,yes,yes
avg_wage_income vs avg_private_pension,province(n=11),corr=0.079,kommune(n=98),corr=0.381,magnitude_change,no,yes
avg_wage_income vs avg_capital_income,province(n=11),corr=0.755,kommune(n=98),corr=0.579,similar,yes,yes
avg_wage_income vs avg_interest_received,province(n=11),corr=0.817,kommune(n=98),corr=0.734,similar,yes,yes
avg_wage_income vs avg_income_tax,province(n=11),corr=0.89,kommune(n=98),corr=0.845,similar,yes,yes
avg_wage_income vs avg_taxable_income,province(n=11),corr=0.94,kommune(n=98),corr=0.907,similar,yes,yes
avg_wage_income vs entrepreneurial_income_recipients_per1000,province(n=11),corr=-0.732,kommune(n=98),corr=-0.346,magnitude_change,yes,yes
avg_wage_income vs unemployment_benefit_recipients_per1000,province(n=11),corr=0.183,kommune(n=98),corr=-0.209,reversed,no,yes
avg_wage_income vs cash_benefit_recipients_per1000,province(n=11),corr=-0.149,kommune(n=98),corr=-0.35,magnitude_change,no,yes
avg_wage_income vs educational_grant_recipients_per1000,province(n=11),corr=0.515,kommune(n=98),corr=0.4,similar,no,yes
avg_wage_income vs child_benefit_recipients_per1000,province(n=11),corr=0.759,kommune(n=98),corr=0.733,similar,yes,yes
avg_wage_income vs disability_oldage_pension_recipients_per1000,province(n=11),corr=-0.817,kommune(n=98),corr=-0.722,similar,yes,yes
avg_wage_income vs public_servants_pension_recipients_per1000,province(n=11),corr=-0.285,kommune(n=98),corr=-0.032,magnitude_change,no,no
avg_wage_income vs private_pension_recipients_per1000,province(n=11),corr=-0.654,kommune(n=98),corr=-0.416,magnitude_change,yes,yes
avg_wage_income vs capital_income_recipients_per1000,province(n=11),corr=0.432,kommune(n=98),corr=0.582,magnitude_change,no,yes
avg_wage_income vs land_tax_homeowner_recipients_per1000,province(n=11),corr=-0.532,kommune(n=98),corr=-0.097,magnitude_change,no,no
avg_entrepreneurial_income vs avg_public_transfer_income,province(n=11),corr=-0.195,kommune(n=98),corr=-0.14,similar,no,no
avg_entrepreneurial_income vs avg_unemployment_benefits,province(n=11),corr=-0.384,kommune(n=98),corr=-0.35,similar,no,yes
avg_entrepreneurial_income vs avg_cash_benefits,province(n=11),corr=-0.545,kommune(n=98),corr=-0.433,similar,no,yes
avg_entrepreneurial_income vs avg_educational_grants,province(n=11),corr=-0.408,kommune(n=98),corr=-0.16,magnitude_change,no,no
avg_entrepreneurial_income vs avg_child_benefits,province(n=11),corr=0.375,kommune(n=98),corr=-0.155,reversed,no,no
avg_entrepreneurial_income vs avg_public_pension,province(n=11),corr=-0.015,kommune(n=98),corr=0.032,magnitude_change,no,no
avg_entrepreneurial_income vs avg_disability_oldage_pension,province(n=11),corr=-0.012,kommune(n=98),corr=0.03,magnitude_change,no,no
avg_entrepreneurial_income vs avg_private_pension,province(n=11),corr=0.57,kommune(n=98),corr=0.657,similar,no,yes
avg_entrepreneurial_income vs avg_capital_income,province(n=11),corr=0.719,kommune(n=98),corr=0.687,similar,yes,yes
avg_entrepreneurial_income vs avg_interest_received,province(n=11),corr=0.65,kommune(n=98),corr=0.764,similar,yes,yes
avg_entrepreneurial_income vs avg_income_tax,province(n=11),corr=0.597,kommune(n=98),corr=0.701,similar,no,yes
avg_entrepreneurial_income vs avg_taxable_income,province(n=11),corr=0.53,kommune(n=98),corr=0.648,similar,no,yes
avg_entrepreneurial_income vs entrepreneurial_income_recipients_per1000,province(n=11),corr=0.214,kommune(n=98),corr=0.539,magnitude_change,no,yes
avg_entrepreneurial_income vs unemployment_benefit_recipients_per1000,province(n=11),corr=-0.469,kommune(n=98),corr=-0.346,similar,no,yes
avg_entrepreneurial_income vs cash_benefit_recipients_per1000,province(n=11),corr=-0.557,kommune(n=98),corr=-0.508,similar,no,yes
