variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
75_84_per1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=0.836,commune(n=2131),corr=0.712,similar,yes,yes
75_84_per1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=0.946,commune(n=2130),corr=0.503,magnitude_change,yes,yes
85plus_per1000 vs male_per1000,canton(n=26),corr=-0.499,commune(n=2131),corr=-0.177,magnitude_change,yes,yes
85plus_per1000 vs female_per1000,canton(n=26),corr=0.499,commune(n=2131),corr=0.177,magnitude_change,yes,yes
85plus_per1000 vs sex_ratio_males_per1000_females,canton(n=26),corr=-0.495,commune(n=2131),corr=-0.141,magnitude_change,yes,yes
85plus_per1000 vs single_per1000,canton(n=26),corr=-0.126,commune(n=2131),corr=-0.365,magnitude_change,no,yes
85plus_per1000 vs married_per1000,canton(n=26),corr=-0.144,commune(n=2131),corr=0.061,reversed,no,yes
85plus_per1000 vs widowed_per1000,canton(n=26),corr=0.746,commune(n=2131),corr=0.679,similar,yes,yes
85plus_per1000 vs divorced_per1000,canton(n=26),corr=0.267,commune(n=2131),corr=0.097,magnitude_change,no,yes
85plus_per1000 vs youth_dependency_ratio_per_1000,canton(n=26),corr=-0.489,commune(n=2131),corr=-0.353,similar,yes,yes
85plus_per1000 vs old_age_dependency_ratio_per_1000,canton(n=26),corr=0.651,commune(n=2131),corr=0.634,similar,yes,yes
85plus_per1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=0.509,commune(n=2131),corr=0.49,similar,yes,yes
85plus_per1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=0.729,commune(n=2130),corr=0.435,magnitude_change,yes,yes
male_per1000 vs female_per1000,canton(n=26),corr=-1.0,commune(n=2131),corr=-1.0,similar,yes,yes
male_per1000 vs sex_ratio_males_per1000_females,canton(n=26),corr=1.0,commune(n=2131),corr=0.977,similar,yes,yes
male_per1000 vs single_per1000,canton(n=26),corr=-0.532,commune(n=2131),corr=-0.075,magnitude_change,yes,yes
male_per1000 vs married_per1000,canton(n=26),corr=0.745,commune(n=2131),corr=0.106,magnitude_change,yes,yes
male_per1000 vs widowed_per1000,canton(n=26),corr=-0.067,commune(n=2131),corr=-0.044,magnitude_change,no,yes
male_per1000 vs divorced_per1000,canton(n=26),corr=-0.679,commune(n=2131),corr=-0.027,magnitude_change,yes,no
male_per1000 vs youth_dependency_ratio_per_1000,canton(n=26),corr=0.219,commune(n=2131),corr=-0.139,reversed,no,yes
male_per1000 vs old_age_dependency_ratio_per_1000,canton(n=26),corr=0.157,commune(n=2131),corr=-0.057,reversed,no,yes
male_per1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=0.234,commune(n=2131),corr=-0.129,reversed,no,yes
male_per1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=0.034,commune(n=2130),corr=0.094,magnitude_change,no,yes
female_per1000 vs sex_ratio_males_per1000_females,canton(n=26),corr=-1.0,commune(n=2131),corr=-0.977,similar,yes,yes
female_per1000 vs single_per1000,canton(n=26),corr=0.532,commune(n=2131),corr=0.075,magnitude_change,yes,yes
female_per1000 vs married_per1000,canton(n=26),corr=-0.745,commune(n=2131),corr=-0.106,magnitude_change,yes,yes
female_per1000 vs widowed_per1000,canton(n=26),corr=0.067,commune(n=2131),corr=0.044,magnitude_change,no,yes
female_per1000 vs divorced_per1000,canton(n=26),corr=0.679,commune(n=2131),corr=0.027,magnitude_change,yes,no
female_per1000 vs youth_dependency_ratio_per_1000,canton(n=26),corr=-0.219,commune(n=2131),corr=0.139,reversed,no,yes
female_per1000 vs old_age_dependency_ratio_per_1000,canton(n=26),corr=-0.157,commune(n=2131),corr=0.057,reversed,no,yes
female_per1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=-0.234,commune(n=2131),corr=0.129,reversed,no,yes
female_per1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=-0.034,commune(n=2130),corr=-0.094,magnitude_change,no,yes
sex_ratio_males_per1000_females vs single_per1000,canton(n=26),corr=-0.529,commune(n=2131),corr=-0.086,magnitude_change,yes,yes
sex_ratio_males_per1000_females vs married_per1000,canton(n=26),corr=0.743,commune(n=2131),corr=0.079,magnitude_change,yes,yes
sex_ratio_males_per1000_females vs widowed_per1000,canton(n=26),corr=-0.068,commune(n=2131),corr=-0.003,magnitude_change,no,no
sex_ratio_males_per1000_females vs divorced_per1000,canton(n=26),corr=-0.681,commune(n=2131),corr=0.017,magnitude_change,yes,no
sex_ratio_males_per1000_females vs youth_dependency_ratio_per_1000,canton(n=26),corr=0.215,commune(n=2131),corr=-0.166,reversed,no,yes
sex_ratio_males_per1000_females vs old_age_dependency_ratio_per_1000,canton(n=26),corr=0.157,commune(n=2131),corr=-0.034,magnitude_change,no,no
sex_ratio_males_per1000_females vs total_dependency_ratio_per_1000,canton(n=26),corr=0.232,commune(n=2131),corr=-0.119,reversed,no,yes
sex_ratio_males_per1000_females vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=0.036,commune(n=2130),corr=0.124,magnitude_change,no,yes
single_per1000 vs married_per1000,canton(n=26),corr=-0.896,commune(n=2131),corr=-0.768,similar,yes,yes
single_per1000 vs widowed_per1000,canton(n=26),corr=-0.533,commune(n=2131),corr=-0.465,similar,yes,yes
single_per1000 vs divorced_per1000,canton(n=26),corr=0.289,commune(n=2131),corr=-0.12,reversed,no,yes
single_per1000 vs youth_dependency_ratio_per_1000,canton(n=26),corr=-0.032,commune(n=2131),corr=0.321,magnitude_change,no,yes
single_per1000 vs old_age_dependency_ratio_per_1000,canton(n=26),corr=-0.73,commune(n=2131),corr=-0.679,similar,yes,yes
single_per1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=-0.762,commune(n=2131),corr=-0.553,similar,yes,yes
