level,n,mean_usd,sd_usd,min_usd,max_usd,range_usd,cv,pop_weighted_mean_usd
state_plus_dc,51,299519.6,134855.3,145800,764800,619000,0.450,
county,3141,195752.1,124295.5,40500,1441300,1400800,0.635,350420.3
