geo_name,avg_net_income_per_person,avg_household_net_income,avg_income_per_consumption_unit,median_income_per_consumption_unit,avg_gross_income_per_person,avg_household_income
Pozo Cañada,11572.0,30181.0,17440.0,15750.0,13460.0,35105.0
Adsubia,13664.0,30891.0,19182.0,18550.0,16256.0,36750.0
Agost,11888.0,30407.0,17725.0,16450.0,13918.0,35599.0
Agres,14252.0,31440.0,20358.0,18550.0,16764.0,36981.0
Aigües,13957.0,32937.0,20000.0,18550.0,16961.0,40027.0
Albatera,10399.0,29376.0,15904.0,14350.0,12054.0,34051.0
Alcalalí,12670.0,27781.0,17777.0,15750.0,14772.0,32389.0
Alcocer de Planes,15842.0,36765.0,22316.0,19250.0,19478.0,45205.0
Alcoleja,13474.0,30274.0,19862.0,19600.0,15256.0,34280.0
Alcoy/Alcoi,13256.0,31566.0,19276.0,17150.0,15864.0,37777.0
Alfafara,13737.0,32244.0,19939.0,17850.0,16171.0,37959.0
"Alfàs del Pi, l'",12274.0,32799.0,18160.0,16450.0,14761.0,39443.0
Algorfa,10933.0,25840.0,15794.0,14350.0,12631.0,29855.0
Algueña,11462.0,27429.0,16517.0,15750.0,13112.0,31378.0
Alicante/Alacant,13681.0,34936.0,20118.0,17150.0,16858.0,43048.0
Almoradí,10104.0,28217.0,15366.0,13650.0,11823.0,33018.0
Almudaina,15738.0,32049.0,21807.0,18550.0,17816.0,36280.0
"Alqueria d'Asnar, l'",13618.0,34870.0,20254.0,19250.0,16087.0,41192.0
Altea,12822.0,33220.0,18886.0,16450.0,15547.0,40279.0
Aspe,11274.0,29736.0,16962.0,15050.0,13181.0,34766.0
Balones,14789.0,30790.0,20071.0,16450.0,17594.0,36631.0
Banyeres de Mariola,13057.0,33238.0,19828.0,17850.0,16141.0,41089.0
Benasau,25396.0,56139.0,36668.0,20300.0,32316.0,71436.0
Beneixama,14173.0,34579.0,20935.0,18550.0,16903.0,41240.0
Benejúzar,10607.0,29657.0,16325.0,15050.0,12336.0,34492.0
Benferri,11445.0,30649.0,17357.0,16450.0,13496.0,36141.0
Beniarbeig,12333.0,31242.0,18249.0,16450.0,14765.0,37403.0
Beniardá,13676.0,31910.0,19583.0,19250.0,16160.0,37708.0
Beniarrés,12886.0,28556.0,18271.0,16450.0,14700.0,32577.0
Benigembla,12331.0,28380.0,17565.0,15050.0,14622.0,33652.0
Benidoleig,12793.0,29822.0,18159.0,16450.0,15176.0,35378.0
Benidorm,12263.0,29146.0,17600.0,15750.0,14560.0,34607.0
Benifallim,19435.0,38870.0,26951.0,27300.0,24212.0,48424.0
Benifato,13984.0,29044.0,19224.0,17150.0,16096.0,33430.0
Benijófar,11895.0,29285.0,17378.0,15750.0,14066.0,34630.0
Benilloba,13778.0,30895.0,19395.0,17850.0,16101.0,36104.0
Benillup,15643.0,41206.0,23372.0,20650.0,18648.0,49121.0
Benimantell,11975.0,27466.0,16979.0,16100.0,13912.0,31908.0
Benimarfull,17848.0,39672.0,24262.0,19950.0,22312.0,49595.0
Benimassot,,,,,,
Benimeli,12356.0,29213.0,18051.0,15750.0,14578.0,34465.0
Benissa,12496.0,32509.0,18666.0,16450.0,15107.0,39303.0
"Benitachell/Poble Nou de Benitatxell, el",12063.0,29337.0,17376.0,15050.0,14429.0,35092.0
Biar,14117.0,33599.0,20813.0,18550.0,17257.0,41072.0
Bigastro,11059.0,30686.0,16786.0,15750.0,12922.0,35853.0
Bolulla,9753.0,24253.0,14237.0,13650.0,11293.0,28083.0
Busot,12775.0,32922.0,18787.0,17150.0,15360.0,39584.0
Calp,11768.0,30717.0,17312.0,15050.0,14089.0,36777.0
Callosa d'en Sarrià,11148.0,29912.0,16656.0,15050.0,13015.0,34921.0
Callosa de Segura,10347.0,29943.0,15870.0,13650.0,12066.0,34916.0
"Campello, el",14584.0,35003.0,21025.0,17850.0,18066.0,43358.0
"Campo de Mirra/Camp de Mirra, el",11982.0,28129.0,17491.0,16450.0,13818.0,32440.0
Cañada,12941.0,33045.0,19356.0,17850.0,15331.0,39148.0
Castalla,12747.0,30756.0,18656.0,17150.0,15237.0,36764.0
Castell de Castells,12995.0,27247.0,18016.0,17150.0,15125.0,31714.0
Catral,10579.0,28957.0,15947.0,15050.0,12192.0,33371.0
Cocentaina,13101.0,31946.0,19220.0,16450.0,15722.0,38337.0
Confrides,11497.0,24776.0,15428.0,14000.0,13108.0,28248.0
Cox,11448.0,32330.0,17515.0,15050.0,13636.0,38509.0
Crevillent,10608.0,28857.0,15976.0,14350.0,12271.0,33381.0
Quatretondeta,11670.0,21796.0,16053.0,14350.0,12987.0,24255.0
Daya Nueva,11535.0,27977.0,16842.0,15750.0,13467.0,32662.0
Daya Vieja,13110.0,28386.0,18355.0,15750.0,15453.0,33460.0
