geo,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
ITC11,609.0,428.0,180.0,50.3,1054.0,112.0,266.0,89.0
ITC12,639.0,463.0,176.0,51.7,1041.0,107.0,283.0,93.0
ITC13,667.0,506.0,161.0,53.4,1062.0,97.0,303.0,104.0
ITC14,630.0,469.0,162.0,52.7,1050.0,99.0,287.0,95.0
ITC15,588.0,401.0,187.0,49.6,1041.0,118.0,253.0,81.0
ITC16,606.0,408.0,198.0,49.0,1008.0,123.0,254.0,82.0
ITC17,633.0,452.0,180.0,51.2,1031.0,110.0,277.0,90.0
ITC18,641.0,472.0,169.0,52.3,1041.0,103.0,288.0,97.0
ITC20,592.0,411.0,181.0,50.5,1037.0,114.0,258.0,82.0
ITC31,648.0,474.0,175.0,52.2,1051.0,106.0,287.0,98.0
ITC32,668.0,505.0,164.0,53.6,1064.0,98.0,302.0,109.0
ITC33,656.0,485.0,171.0,52.4,1074.0,103.0,293.0,104.0
ITC34,628.0,456.0,172.0,51.9,1044.0,106.0,280.0,98.0
ITC41,590.0,398.0,192.0,49.3,1045.0,121.0,251.0,82.0
ITC42,572.0,385.0,187.0,49.1,1028.0,119.0,245.0,78.0
ITC43,600.0,411.0,189.0,49.8,1018.0,118.0,257.0,82.0
ITC44,606.0,414.0,191.0,50.0,1023.0,119.0,258.0,80.0
ITC46,552.0,355.0,197.0,47.7,1006.0,127.0,229.0,69.0
ITC47,556.0,361.0,196.0,47.9,1012.0,126.0,232.0,73.0
ITC48,583.0,402.0,181.0,49.9,1028.0,114.0,254.0,82.0
ITC49,556.0,358.0,197.0,48.0,1006.0,127.0,230.0,69.0
ITC4A,596.0,408.0,188.0,49.5,1012.0,118.0,256.0,82.0
ITC4B,582.0,391.0,191.0,49.1,1014.0,121.0,247.0,80.0
ITC4C,546.0,358.0,187.0,47.6,1046.0,121.0,232.0,80.0
ITC4D,570.0,375.0,196.0,48.6,1036.0,125.0,239.0,77.0
ITF11,614.0,435.0,179.0,50.4,1006.0,111.0,269.0,80.0
ITF12,582.0,400.0,182.0,49.6,1033.0,115.0,253.0,79.0
ITF13,590.0,402.0,188.0,49.6,1064.0,118.0,253.0,81.0
ITF14,613.0,432.0,180.0,50.3,1041.0,112.0,268.0,83.0
ITF21,626.0,456.0,170.0,51.1,1002.0,104.0,281.0,86.0
ITF22,598.0,432.0,166.0,50.6,1019.0,104.0,270.0,84.0
ITF31,504.0,297.0,207.0,44.9,1036.0,138.0,198.0,50.0
ITF32,575.0,396.0,179.0,49.2,1034.0,114.0,251.0,78.0
ITF33,522.0,312.0,210.0,45.1,1057.0,138.0,205.0,51.0
ITF34,554.0,380.0,175.0,48.9,1028.0,112.0,244.0,72.0
ITF35,556.0,362.0,194.0,47.5,1034.0,125.0,233.0,65.0
ITF43,593.0,408.0,185.0,49.2,1052.0,116.0,256.0,75.0
ITF44,587.0,407.0,179.0,49.4,1062.0,113.0,257.0,76.0
ITF45,605.0,426.0,179.0,50.0,1073.0,112.0,265.0,82.0
ITF46,565.0,372.0,193.0,47.5,1019.0,123.0,238.0,70.0
ITF47,569.0,380.0,189.0,48.4,1049.0,120.0,242.0,70.0
ITF48,531.0,340.0,191.0,47.1,1023.0,125.0,222.0,61.0
ITF51,585.0,417.0,168.0,50.5,1022.0,106.0,263.0,79.0
ITF52,578.0,400.0,178.0,48.8,1014.0,113.0,254.0,75.0
ITF61,581.0,393.0,188.0,48.6,1034.0,119.0,248.0,70.0
ITF62,575.0,361.0,214.0,46.3,1017.0,136.0,229.0,62.0
ITF63,595.0,401.0,194.0,48.6,1040.0,122.0,251.0,71.0
ITF64,579.0,386.0,193.0,47.7,1015.0,122.0,244.0,71.0
ITF65,589.0,382.0,207.0,47.4,1051.0,130.0,240.0,70.0
ITG11,590.0,398.0,192.0,48.6,1025.0,121.0,250.0,76.0
ITG12,580.0,368.0,212.0,47.1,1066.0,134.0,233.0,65.0
ITG13,590.0,408.0,182.0,49.5,1064.0,115.0,256.0,74.0
ITG14,583.0,388.0,195.0,48.1,1048.0,123.0,245.0,72.0
ITG15,569.0,375.0,194.0,47.8,1062.0,124.0,239.0,68.0
ITG16,592.0,411.0,181.0,49.3,1060.0,114.0,258.0,75.0
ITG17,566.0,351.0,215.0,46.3,1055.0,137.0,224.0,61.0
ITG18,547.0,337.0,210.0,45.5,992.0,135.0,218.0,63.0
ITG19,567.0,371.0,196.0,47.8,1023.0,125.0,237.0,64.0
ITG2D,567.0,409.0,159.0,50.9,1028.0,101.0,261.0,78.0
ITG2E,622.0,456.0,166.0,51.7,1024.0,103.0,281.0,89.0
ITG2F,557.0,406.0,151.0,51.2,1068.0,97.0,261.0,77.0
ITG2G,644.0,495.0,148.0,53.2,1029.0,90.0,301.0,97.0
ITG2H,634.0,484.0,150.0,52.9,1012.0,92.0,296.0,87.0
ITH10,561.0,328.0,233.0,45.4,1013.0,149.0,210.0,70.0
ITH20,586.0,382.0,204.0,48.0,1022.0,129.0,241.0,76.0
ITH31,564.0,369.0,196.0,48.1,1026.0,125.0,236.0,77.0
ITH32,563.0,374.0,189.0,48.9,1015.0,121.0,239.0,78.0
ITH33,637.0,467.0,169.0,52.1,1038.0,104.0,285.0,91.0
ITH34,575.0,383.0,192.0,49.1,1020.0,122.0,243.0,78.0
ITH35,601.0,424.0,177.0,51.0,1046.0,110.0,265.0,87.0
ITH36,569.0,387.0,182.0,49.5,1033.0,116.0,246.0,79.0
ITH37,631.0,467.0,164.0,52.4,1029.0,100.0,286.0,86.0
ITH41,597.0,407.0,190.0,49.6,1024.0,119.0,255.0,84.0
ITH42,631.0,460.0,171.0,52.0,1051.0,105.0,282.0,94.0
ITH43,619.0,440.0,180.0,51.4,1014.0,111.0,272.0,96.0
ITH44,645.0,476.0,169.0,52.0,1069.0,103.0,289.0,105.0
