geo,nights_spent_per1000pop,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
ITF52,9965.9,578.0,400.0,178.0,48.8,1014.0,113.0,254.0,75.0
ITF61,4797.62,581.0,393.0,188.0,48.6,1034.0,119.0,248.0,70.0
ITF62,4174.86,575.0,361.0,214.0,46.3,1017.0,136.0,229.0,62.0
ITF63,3417.87,595.0,401.0,194.0,48.6,1040.0,122.0,251.0,71.0
ITF64,16713.77,579.0,386.0,193.0,47.7,1015.0,122.0,244.0,71.0
ITF65,977.77,589.0,382.0,207.0,47.4,1051.0,130.0,240.0,70.0
ITG11,5484.44,590.0,398.0,192.0,48.6,1025.0,121.0,250.0,76.0
ITG12,3210.27,580.0,368.0,212.0,47.1,1066.0,134.0,233.0,65.0
ITG13,6202.09,590.0,408.0,182.0,49.5,1064.0,115.0,256.0,74.0
ITG14,3812.47,583.0,388.0,195.0,48.1,1048.0,123.0,245.0,72.0
ITG15,852.14,569.0,375.0,194.0,47.8,1062.0,124.0,239.0,68.0
ITG16,894.45,592.0,411.0,181.0,49.3,1060.0,114.0,258.0,75.0
ITG17,2095.44,566.0,351.0,215.0,46.3,1055.0,137.0,224.0,61.0
ITG18,3348.02,547.0,337.0,210.0,45.5,992.0,135.0,218.0,63.0
ITG19,3487.75,567.0,371.0,196.0,47.8,1023.0,125.0,237.0,64.0
ITG2D,15665.18,567.0,409.0,159.0,50.9,1028.0,101.0,261.0,78.0
ITG2E,12290.8,622.0,456.0,166.0,51.7,1024.0,103.0,281.0,89.0
ITG2F,3383.71,557.0,406.0,151.0,51.2,1068.0,97.0,261.0,77.0
ITG2G,5206.17,644.0,495.0,148.0,53.2,1029.0,90.0,301.0,97.0
ITG2H,6339.61,634.0,484.0,150.0,52.9,1012.0,92.0,296.0,87.0
ITH10,67556.66,561.0,328.0,233.0,45.4,1013.0,149.0,210.0,70.0
ITH20,35252.46,586.0,382.0,204.0,48.0,1022.0,129.0,241.0,76.0
ITH31,20319.85,564.0,369.0,196.0,48.1,1026.0,125.0,236.0,77.0
ITH32,2655.66,563.0,374.0,189.0,48.9,1015.0,121.0,239.0,78.0
ITH33,19576.82,637.0,467.0,169.0,52.1,1038.0,104.0,285.0,91.0
ITH34,2314.66,575.0,383.0,192.0,49.1,1020.0,122.0,243.0,78.0
ITH35,45651.65,601.0,424.0,177.0,51.0,1046.0,110.0,265.0,87.0
ITH36,5567.35,569.0,387.0,182.0,49.5,1033.0,116.0,246.0,79.0
ITH37,6892.02,631.0,467.0,164.0,52.4,1029.0,100.0,286.0,86.0
ITH41,2001.15,597.0,407.0,190.0,49.6,1024.0,119.0,255.0,84.0
ITH42,11284.5,631.0,460.0,171.0,52.0,1051.0,105.0,282.0,94.0
ITH43,13984.58,619.0,440.0,180.0,51.4,1014.0,111.0,272.0,96.0
ITH44,6810.42,645.0,476.0,169.0,52.0,1069.0,103.0,289.0,105.0
ITH51,2123.29,598.0,407.0,191.0,49.5,1021.0,119.0,255.0,87.0
ITH52,3225.67,561.0,369.0,193.0,48.0,1024.0,124.0,236.0,80.0
ITH53,1454.52,551.0,355.0,195.0,47.7,1015.0,126.0,229.0,73.0
ITH54,2524.84,570.0,376.0,194.0,48.2,1019.0,124.0,239.0,78.0
ITH55,5191.05,575.0,393.0,182.0,48.9,1055.0,116.0,250.0,86.0
ITH56,7922.27,646.0,480.0,166.0,52.5,1054.0,101.0,291.0,96.0
ITH57,16503.91,603.0,422.0,181.0,50.6,1034.0,113.0,263.0,91.0
ITH58,14066.58,595.0,407.0,188.0,49.6,1036.0,118.0,255.0,86.0
ITH59,43468.66,571.0,390.0,181.0,49.6,1057.0,115.0,248.0,80.0
ITI11,5907.42,640.0,478.0,162.0,52.5,1049.0,98.0,292.0,97.0
ITI12,9243.55,608.0,438.0,171.0,51.4,1056.0,106.0,272.0,89.0
ITI13,7870.37,611.0,430.0,181.0,50.6,1055.0,112.0,267.0,89.0
ITI14,12891.15,602.0,422.0,180.0,50.2,1068.0,112.0,263.0,92.0
ITI15,1882.65,537.0,356.0,181.0,48.0,1028.0,118.0,232.0,76.0
ITI16,28471.18,634.0,464.0,171.0,52.1,1061.0,105.0,284.0,95.0
ITI17,8424.61,593.0,408.0,185.0,49.6,1040.0,116.0,256.0,84.0
ITI18,5257.93,612.0,433.0,179.0,50.5,1034.0,111.0,269.0,87.0
ITI19,20750.02,624.0,442.0,182.0,50.5,1053.0,112.0,272.0,93.0
ITI1A,27210.06,649.0,483.0,165.0,52.5,1050.0,100.0,293.0,95.0
ITI21,8617.18,617.0,434.0,184.0,50.2,1056.0,114.0,268.0,91.0
ITI22,4239.0,649.0,480.0,169.0,52.2,1066.0,103.0,291.0,100.0
ITI31,8807.65,591.0,409.0,182.0,49.9,1030.0,114.0,257.0,85.0
ITI32,5607.89,607.0,426.0,181.0,50.0,1040.0,113.0,265.0,90.0
ITI33,5673.33,625.0,437.0,188.0,50.0,1042.0,116.0,269.0,90.0
ITI34,8413.87,621.0,445.0,176.0,50.9,1050.0,109.0,274.0,91.0
ITI35,9381.54,622.0,442.0,180.0,50.5,1035.0,111.0,273.0,89.0
ITI41,4715.24,590.0,418.0,172.0,50.4,1026.0,108.0,263.0,78.0
ITI42,971.91,607.0,442.0,165.0,51.2,1000.0,102.0,275.0,85.0
ITI43,9731.53,548.0,361.0,187.0,48.7,1075.0,121.0,233.0,75.0
ITI44,3239.14,553.0,361.0,191.0,48.0,1014.0,123.0,233.0,67.0
ITI45,2469.89,601.0,416.0,185.0,49.5,1031.0,116.0,260.0,74.0
