geo,gdp_per_capita_eur,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
ITC11,35609.15,609.0,428.0,180.0,50.3,1054.0,112.0,266.0,89.0
ITC12,32465.51,639.0,463.0,176.0,51.7,1041.0,107.0,283.0,93.0
ITC13,30613.02,667.0,506.0,161.0,53.4,1062.0,97.0,303.0,104.0
ITC14,27617.94,630.0,469.0,162.0,52.7,1050.0,99.0,287.0,95.0
ITC15,34692.75,588.0,401.0,187.0,49.6,1041.0,118.0,253.0,81.0
ITC16,37249.41,606.0,408.0,198.0,49.0,1008.0,123.0,254.0,82.0
ITC17,28549.78,633.0,452.0,180.0,51.2,1031.0,110.0,277.0,90.0
ITC18,32241.2,641.0,472.0,169.0,52.3,1041.0,103.0,288.0,97.0
ITC20,43799.53,592.0,411.0,181.0,50.5,1037.0,114.0,258.0,82.0
ITC31,27050.46,648.0,474.0,175.0,52.2,1051.0,106.0,287.0,98.0
ITC32,33050.28,668.0,505.0,164.0,53.6,1064.0,98.0,302.0,109.0
ITC33,37986.74,656.0,485.0,171.0,52.4,1074.0,103.0,293.0,104.0
ITC34,36250.46,628.0,456.0,172.0,51.9,1044.0,106.0,280.0,98.0
ITC41,34214.43,590.0,398.0,192.0,49.3,1045.0,121.0,251.0,82.0
ITC42,32724.81,572.0,385.0,187.0,49.1,1028.0,119.0,245.0,78.0
ITC43,36470.1,600.0,411.0,189.0,49.8,1018.0,118.0,257.0,82.0
ITC44,33489.57,606.0,414.0,191.0,50.0,1023.0,119.0,258.0,80.0
ITC46,38658.74,552.0,355.0,197.0,47.7,1006.0,127.0,229.0,69.0
ITC47,40499.79,556.0,361.0,196.0,47.9,1012.0,126.0,232.0,73.0
ITC48,29478.4,583.0,402.0,181.0,49.9,1028.0,114.0,254.0,82.0
ITC49,30630.06,556.0,358.0,197.0,48.0,1006.0,127.0,230.0,69.0
ITC4A,37428.5,596.0,408.0,188.0,49.5,1012.0,118.0,256.0,82.0
ITC4B,36575.42,582.0,391.0,191.0,49.1,1014.0,121.0,247.0,80.0
ITC4C,66693.66,546.0,358.0,187.0,47.6,1046.0,121.0,232.0,80.0
ITC4D,35934.57,570.0,375.0,196.0,48.6,1036.0,125.0,239.0,77.0
ITF11,29042.35,614.0,435.0,179.0,50.4,1006.0,111.0,269.0,80.0
ITF12,28172.08,582.0,400.0,182.0,49.6,1033.0,115.0,253.0,79.0
ITF13,27335.34,590.0,402.0,188.0,49.6,1064.0,118.0,253.0,81.0
ITF14,29470.24,613.0,432.0,180.0,50.3,1041.0,112.0,268.0,83.0
ITF21,23768.06,626.0,456.0,170.0,51.1,1002.0,104.0,281.0,86.0
ITF22,25408.82,598.0,432.0,166.0,50.6,1019.0,104.0,270.0,84.0
ITF31,19982.02,504.0,297.0,207.0,44.9,1036.0,138.0,198.0,50.0
ITF32,19933.49,575.0,396.0,179.0,49.2,1034.0,114.0,251.0,78.0
ITF33,22443.4,522.0,312.0,210.0,45.1,1057.0,138.0,205.0,51.0
ITF34,21253.15,554.0,380.0,175.0,48.9,1028.0,112.0,244.0,72.0
ITF35,22235.09,556.0,362.0,194.0,47.5,1034.0,125.0,233.0,65.0
ITF43,21854.46,593.0,408.0,185.0,49.2,1052.0,116.0,256.0,75.0
ITF44,20352.84,587.0,407.0,179.0,49.4,1062.0,113.0,257.0,76.0
ITF45,20103.3,605.0,426.0,179.0,50.0,1073.0,112.0,265.0,82.0
ITF46,20512.21,565.0,372.0,193.0,47.5,1019.0,123.0,238.0,70.0
ITF47,25726.33,569.0,380.0,189.0,48.4,1049.0,120.0,242.0,70.0
ITF48,18316.39,531.0,340.0,191.0,47.1,1023.0,125.0,222.0,61.0
ITF51,27262.37,585.0,417.0,168.0,50.5,1022.0,106.0,263.0,79.0
ITF52,23155.54,578.0,400.0,178.0,48.8,1014.0,113.0,254.0,75.0
ITF61,18184.49,581.0,393.0,188.0,48.6,1034.0,119.0,248.0,70.0
ITF62,19912.63,575.0,361.0,214.0,46.3,1017.0,136.0,229.0,62.0
ITF63,22344.26,595.0,401.0,194.0,48.6,1040.0,122.0,251.0,71.0
ITF64,18454.39,579.0,386.0,193.0,47.7,1015.0,122.0,244.0,71.0
ITF65,20231.19,589.0,382.0,207.0,47.4,1051.0,130.0,240.0,70.0
ITG11,18759.22,590.0,398.0,192.0,48.6,1025.0,121.0,250.0,76.0
ITG12,21837.82,580.0,368.0,212.0,47.1,1066.0,134.0,233.0,65.0
ITG13,20875.36,590.0,408.0,182.0,49.5,1064.0,115.0,256.0,74.0
ITG14,17984.69,583.0,388.0,195.0,48.1,1048.0,123.0,245.0,72.0
ITG15,18757.6,569.0,375.0,194.0,47.8,1062.0,124.0,239.0,68.0
ITG16,18132.58,592.0,411.0,181.0,49.3,1060.0,114.0,258.0,75.0
ITG17,21200.29,566.0,351.0,215.0,46.3,1055.0,137.0,224.0,61.0
ITG18,20751.21,547.0,337.0,210.0,45.5,992.0,135.0,218.0,63.0
ITG19,29115.78,567.0,371.0,196.0,47.8,1023.0,125.0,237.0,64.0
ITG2D,24818.03,567.0,409.0,159.0,50.9,1028.0,101.0,261.0,78.0
ITG2E,22139.18,622.0,456.0,166.0,51.7,1024.0,103.0,281.0,89.0
ITG2F,32107.91,557.0,406.0,151.0,51.2,1068.0,97.0,261.0,77.0
ITG2G,20162.21,644.0,495.0,148.0,53.2,1029.0,90.0,301.0,97.0
ITG2H,17819.82,634.0,484.0,150.0,52.9,1012.0,92.0,296.0,87.0
ITH10,55953.35,561.0,328.0,233.0,45.4,1013.0,149.0,210.0,70.0
ITH20,43867.31,586.0,382.0,204.0,48.0,1022.0,129.0,241.0,76.0
ITH31,38893.64,564.0,369.0,196.0,48.1,1026.0,125.0,236.0,77.0
