"geo","population","age0_rate","age14_rate","age30_rate","age50_rate","age65_rate","age85_rate","age100_plus_rate"
"ITC1","4251868","5.799333375354079","9.066603196524445","10.235971577668922","15.906890806581954","13.762656789909753","7.885710468904491","0.4031169358973515"
"ITC2","122532","5.214964254235628","9.56484836614109","9.344497763849443","15.922371298925995","14.632912218848954","7.132830607514772","0.33460647014657396"
"ITC3","1510143","5.559076193446581","8.374041398728465","9.639484472662522","15.360796957639112","14.731717459869694","8.842208982857915","0.5416705570267186"
"ITC4","10033918","6.459889347311788","9.860255983754302","10.752031260371073","16.357418906552756","12.86018083863153","6.841495017200659","0.34572736193379294"
"ITD1","539679","8.43464355663274","10.426568386022062","11.369721630821285","14.779155757403938","12.496317255257292","5.855332521739775","0.31685501937262706"
"ITD2","546573","6.860931659631925","10.399342814226095","11.010423127377313","15.434351861507977","13.54439388700137","6.277295073119236","0.47203209818267644"
"ITD3","4853472","6.1922681329983975","9.627128785331408","10.229996175933435","16.409283910569588","13.865743945777373","6.890119073520976","0.35623982171937946"
"ITD4","1193284","5.77481974115131","8.971041260923636","9.59620677055923","16.378330724286926","14.212040050817743","7.966251118761334","0.5128703644731681"
"ITD5","4461998","6.297851321313905","9.560515266927506","10.595477631321215","16.64299266830689","13.320265943642287","7.165848124539724","0.4432991677719264"
"ITE1","3657716","5.67676659423531","9.22406222899755","9.685825799487986","16.427737965440727","13.725505205981","7.758393489270353","0.4746131192252214"
"ITE2","851473","5.532764984914378","9.275690479909521","9.409576111045212","16.054531382674494","14.01453716089647","7.936834168552614","0.47799519186163275"
"ITE3","1480545","5.59050890043869","9.38505752949083","9.757893208244262","15.944128682343326","13.890155314428133","7.833601815547653","0.47414972189295157"
"ITE4","5709178","5.941660953643414","9.788624562064802","10.215831420915585","16.84270485173172","13.379334117801196","6.427194948204453","0.4018091571150873"
"ITF1","1269118","5.810334421227971","9.255246557057736","10.007737657176087","15.660482319216968","14.27448038716652","7.1222691664604865","0.4680415847856543"
"ITF2","287814","5.444488454348989","8.561084589352847","10.593647286094491","15.475272224422717","15.034015023591625","7.741110578359635","0.6184549743931845"
"ITF3","5582337","7.402455279930251","10.443833828018624","11.276997429571164","15.595977097047347","13.274010508502084","4.916937117913161","0.26404711861716695"
"ITF4","3877395","6.2694154193730585","9.665767867343925","10.30382511970021","16.000175375477607","13.752532305839358","6.274315616541518","0.32779740005854446"
"ITF5","530004","5.769767775337544","8.665972332284285","10.464071969268156","15.165923276050746","14.73385106527498","6.849004913170466","0.39433664651587536"
"ITF6","1834646","6.902148970428082","9.542985404268725","10.675083912645817","14.65132783109112","14.323199134873976","5.922123396012092","0.43768661638267004"
"ITG1","4787390","7.017184729048605","9.870513996144037","10.730063771700237","15.300612651152298","13.551434079947528","5.806086406162857","0.31791853180960816"
"ITG2","1562381","4.495702392694228","8.643858316249366","9.208381310320593","17.211550831711342","15.101310115778418","6.94516894406678","0.43011275738760263"
