geo,gdp_per_capita_eur,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
BE10,85300.0,443.0,187.0,256.0,36.1,1030.0,177.0,130.0,37.0
BE21,60700.0,587.0,326.0,260.0,42.0,1010.0,164.0,206.0,59.0
BE22,42200.0,597.0,363.0,234.0,45.1,1004.0,147.0,227.0,61.0
BE23,49500.0,575.0,329.0,246.0,42.8,1019.0,156.0,209.0,60.0
BE24,57100.0,589.0,325.0,264.0,42.5,1036.0,166.0,204.0,60.0
BE25,52400.0,649.0,409.0,240.0,46.0,1012.0,145.0,248.0,75.0
BE31,69500.0,584.0,334.0,250.0,43.3,1062.0,158.0,211.0,57.0
BE32,32300.0,571.0,315.0,256.0,42.1,1045.0,163.0,201.0,49.0
BE33,38400.0,573.0,317.0,256.0,41.8,1033.0,163.0,201.0,51.0
BE34,32500.0,540.0,282.0,258.0,40.6,998.0,167.0,183.0,46.0
BE35,35800.0,562.0,317.0,244.0,42.3,1028.0,156.0,203.0,49.0
