"geo","elderly_rate","young_rate","employed_rate","salaried_rate","vacant_housing_rate","secondary_housing_rate","house_share","median_living_standard","poverty_rate"
"78","80.7227595349288","199.800247203004","449.617101210988","400.246217985442","60.8305714032419","26.462508242512","407.524827524491","32268.2672367958","10.5380587009052"
"2A","117.994468026195","160.534376130483","424.328335721876","344.145530338442","33.7250907526855","383.945285364218","512.802713750957","25269.7754825499","11.9019422445723"
"10","106.156734794873","176.276211246486","388.413664669323","335.368777468399","91.990634909444","50.5966914408637","656.631771716362","23343.2711620311","13.0259065308799"
"04","132.103685491071","152.10332025879","387.686505626449","305.940622312676","81.0283244616846","305.125462533664","603.229628976215","23632.1013404794","9.62311354895053"
"63","106.054525415673","158.878877450857","419.059468378815","360.986487330204","104.517823745563","101.612845641286","624.753125204093","25738.0316533335","10.4203662033309"
"01","86.0554702048023","193.617239311394","451.765522833407","395.0128674122","78.6190476566371","54.6994464756255","623.859823832056","29370.7925498556","7.53559778277314"
"974","52.9909066371326","218.338307635881","326.785778499935","275.3926406106","83.1660757965478","34.5931051215029","655.48055092605","19326.4783944594","36.4514848845178"
"30","112.43982456601","165.924912146277","374.651596063809","307.164030910126","84.5362824931763","127.156514472021","620.641243157128","23695.9862567244","16.0892640148689"
"87","125.452686238755","148.532096311433","393.031906665853","335.524178574077","95.3007508585933","77.1430093891161","661.623214252858","24463.7444621655","11.8665791353192"
"83","133.746958023497","151.526393640071","385.552489338486","311.013403130757","56.2368520612573","244.277840450268","464.205688590068","25889.590901545","14.9507586857747"
"49","100.702274524419","181.686185370754","428.213266422998","374.104858801795","62.819700101589","32.3082833221673","695.136270462742","25460.9228389509","9.59424138834585"
"22","128.581099839482","159.274710511444","392.516546269234","328.663638979673","80.0192141039984","161.586288565304","819.654759858422","25604.6281975991","5.21974776820134"
"13","100.921219839157","172.532856238603","392.544575467048","334.033992114022","73.938134033307","44.3190888013296","299.753559899523","24790.7015648997","22.5159808227006"
"47","135.778924373723","154.6041848634","387.430279785768","319.898504119558","114.889679412855","63.588488378913","793.226164356463","23518.3156044379","9.67253375714122"
"05","123.883158970325","151.501341939878","420.39163312944","326.891700376992","56.6887015936598","453.307292382765","432.188191273265","24754.9561326115","6.89862010065148"
"77","67.4264573417604","204.328888166407","450.463636964997","405.604551030944","66.1852559398226","32.0668454324648","557.296416892875","27432.5207811352","11.1464784814641"
"73","102.458756360755","166.839807410455","453.249449432097","376.965275765556","55.7044620728742","370.753004541659","372.599658220738","27784.3169813694","6.29579485636262"
"91","73.923851914784","203.159848373394","445.879019626589","404.308207192607","66.4191809115823","19.305420536292","447.835565178561","28073.9636071529","14.595784517865"
"2B","118.504417814712","144.048076560079","396.504602580671","311.103740445632","31.865645275838","353.083249601714","492.935117275075","22991.4362066825","13.9012427725381"
"68","96.2330011289564","168.786862906745","426.70041070864","381.690810721515","90.4754784362361","35.5962184760386","514.700417504956","27843.1655248763","11.1195715029956"
"12","140.571903636675","146.023163305752","409.247159118421","317.26153988563","109.844610675844","171.707883821121","733.273586202002","24523.8749392284","6.13162481768525"
"86","111.797314914426","160.016630850264","404.901626981239","352.367066285576","93.4791211102111","60.0544107165319","739.569521289824","24665.2780791816","9.43684987964111"
"65","138.144366372403","140.556726424876","385.685846616262","316.459065526275","88.4513919497372","233.928665103978","600.118526777541","22879.8381960916","9.78243531084065"
"40","122.085249313768","151.883092828513","404.20231866263","335.335292429236","62.0603644050317","203.712999283324","720.833038891666","25575.6656326515","6.32696725463148"
"972","104.508401570095","153.477594055555","371.526703756968","311.686808527572","155.773728450456","69.2793355629109","608.054028609772","0","0"
"14","105.210475166325","162.229160939119","415.062879995808","357.440003200324","64.3563670317612","178.664102606245","597.322115042477","25374.2226495696","9.39866818997878"
"26","109.012577689335","176.455652949879","408.849963247475","340.179997047661","82.9064433241035","79.0684123711277","636.831384608585","24904.0205626045","10.6679277451326"
"17","137.052250689857","141.021252518609","386.273853108244","315.828912484292","66.8444088240387","222.387408270106","764.959664657159","25695.6444863506","6.59158869133142"
"28","99.6632656129044","186.169017792709","418.553132908976","369.336941651418","84.4488130348078","58.1338426435833","735.740349851102","25720.8616699388","8.73172537244485"
"76","96.5831272902561","175.994423395814","398.868596493653","357.194011037275","77.1839269948453","42.4947576327781","555.7192557359","24878.0575382577","13.8778334477327"
"36","144.582275299467","143.539297132223","382.038109786373","324.896820122483","132.237015772457","105.962562525415","828.246380489516","23707.4696161137","7.62999921589971"
"75","84.4996413595835","129.762933573136","507.111335363318","416.304361934166","97.8875599086653","97.6990497211312","7.65105380302848","34275.2527552331","16.7964471390284"
"50","124.755479862529","158.020949529533","409.894971649947","352.00776657941","76.8169295021098","148.963976680095","798.619309877008","25335.9089198192","5.92251683222125"
"45","98.8436753907097","183.52905171437","416.670619016144","371.633683635618","86.5682488535353","49.3402493563304","679.352568497944","25572.7634729275","11.4431873059676"
"60","78.0918894123914","195.903235986337","420.093119361451","376.802186865917","70.3304059461015","24.1969682648472","663.572928830303","25857.6587077553","10.1833872821933"
"38","90.7821604021878","182.615502960869","438.406923551785","381.089657513216","76.7183168139456","81.8698445685761","485.815330064347","27214.6385107404","9.83374266288776"
"03","140.722083298732","146.755183918587","376.126827726145","318.361821723476","145.165664397601","72.6845246780307","714.836724180094","24252.9348550259","9.18869695113753"
"85","117.68332011292","164.464043595566","413.441127353598","355.473808359605","50.0841237974174","233.8121689449","834.21451221928","25779.3474133672","4.0482980648212"
"82","110.030987000728","178.684404172654","400.017974447824","333.942064563309","94.6517269052887","55.8834490493148","785.356099954301","24114.815607495","10.0489597016503"
"23","152.414234376676","129.798707665903","373.537849021404","291.582414777524","154.602144733948","198.949993948405","864.421186163902","22647.8758580097","5.06738567805486"
"51","93.9090416488036","170.37946609291","417.85073620042","361.422060624885","90.1399155420586","35.0642571791589","549.852007505623","25072.3296821348","12.8357843458776"
"92","75.5762630000436","183.664619676899","484.196514871239","423.167853638364","66.2677832593496","39.8039342272917","107.836864194341","34576.291301326","13.6085251921927"
"27","89.822333282907","188.12083476101","416.920844585866","367.941503831879","76.3680600915035","62.4336531352549","771.570445380917","25223.8229683771","8.48752712849552"
"71","130.611817949956","156.208560983818","397.913884241759","338.160447136025","99.3488274794454","74.1826260885108","693.554035189449","24663.0723900819","8.53017777016987"
"59","79.2460714825609","187.531195056642","393.275363344247","353.268072415135","71.7263410065388","17.8186327592243","646.968372212328","23856.8383539512","18.5356547361792"
"08","101.019652384323","170.524090389649","384.484047707928","337.299050355427","115.128106843129","39.0632078045133","712.511784456665","22493.7250939357","11.7667003487972"
"69","85.0312487029","175.231217626104","447.44353116977","386.735730064226","79.6994172633873","40.8351555899875","215.370353253996","27909.937218889","15.6606101230424"
"54","94.5753328337369","163.611259222028","414.08225030588","370.947031779138","90.8747369956861","23.2752647079421","528.200567189003","25498.0780408734","12.6516651703238"
"66","130.651694869003","156.59757242445","344.200877536195","278.057279328286","77.6724554804164","274.204842822102","559.070095724897","22651.3777882361","18.1239060053067"
"57","92.9100174426334","164.80352501703","421.097524199661","381.044163775808","90.5083564366572","22.8059584330321","541.771190546225","26004.5798837179","12.8309029704365"
"06","130.000066138819","154.06502092991","411.216403709261","336.469299898929","80.1002643664627","248.678726771354","233.278626550918","26343.6264455009","16.3163402504443"
"43","119.863465248911","159.868695121854","416.09497006314","343.147881897264","121.41704350377","156.177050783124","772.228924868653","24719.5195936203","4.54180162253847"
"95","61.9727502336326","214.700237778658","432.287326934902","389.652062476817","60.4672189340123","15.5135405961637","423.994563787251","26137.9741746633","18.4521638752169"
