"geo","elderly_rate","young_rate","employed_rate","salaried_rate","vacant_housing_rate","secondary_housing_rate","house_share","median_living_standard","poverty_rate"
"01001","88.4749708963912","188.591385331781","474.970896391153","388.824214202561","36.9393139841689","29.023746701847","973.614775725594","28270","NaN"
"01002","84.2490842490842","208.791208791209","490.842490842491","351.648351648352","74.2857142857143","234.285714285714","988.571428571429","28140","NaN"
"01004","88.4003688650703","192.384485534477","421.20521133635","381.654309508397","92.9613252645294","15.6951343044033","448.831757451598","24210","18"
"01005","73.0773457009566","189.17289512115","494.755947770904","429.338498709152","106.992488398221","8.41513953693876","731.654620530749","28120","NaN"
"01006","70.1754385964912","87.719298245614","412.280701754386","368.421052631579","84.5070422535211","112.676056338028","957.746478873239","NaN","NaN"
"01007","71.46929118085","215.676047936689","460.930634577574","412.539880798617","40.4444588676158","32.5141728151421","846.213598208964","28030","NaN"
"01008","61.4579002789959","191.327133131855","487.461807899054","434.665187082321","58.9403961185384","32.1493069737482","908.89900887312","28240","NaN"
"01009","125.321492078811","151.511577302207","473.3379079136","373.681735467152","99.4140135248782","122.805546118967","908.472097095526","28750","NaN"
"01010","78.6049459695841","206.815400019842","448.707775442409","402.712853154076","84.1653154974802","111.098216456674","882.935374192715","27670","NaN"
"01011","72.2446652524474","217.980260107348","457.959524741581","388.343401359374","76.0851778085364","81.5198333662892","845.175843385852","28020","NaN"
"01012","110.314116052343","171.286045558637","438.644148444252","378.235431410173","71.4959210412923","219.254157859962","929.828920680395","27230","NaN"
"01013","108.695652173913","101.449275362319","442.028985507247","297.101449275363","97.06093619059","291.182808571771","974.415833179153","25070","NaN"
"01014","99.0214839188795","180.208588625722","410.300328637809","366.083189468719","67.1397681047236","9.68362039971977","660.103295044949","25250","14"
"01015","139.166694034748","164.267405336276","467.129585784874","380.800752190939","107.07122413921","159.23412820703","970.487592578583","26670","NaN"
"01016","85.8746967478216","216.955177789862","437.758150464047","368.250457564881","74.0864644160139","78.716868442015","986.060276177115","26320","NaN"
"01017","100","169.047619047619","383.333333333333","335.714285714286","219.135802469136","163.58024691358","811.728395061728","23400","NaN"
"01019","76.9230769230768","115.384615384616","346.153846153846","269.230769230769","36.3636363636364","509.090909090909","965.034965034964","NaN","NaN"
"01021","72.6868963907792","197.264846478725","474.676057923724","390.51990707834","43.3166549294101","27.5651440459882","797.599270212184","29430","NaN"
"01022","146.362839614373","133.216476774759","396.143733567046","347.063978965819","156.756756756757","55.4054054054054","709.459459459459","25330","NaN"
"01023","39.4736842105263","171.052631578947","473.684210526316","368.421052631579","107.648725212465","150.708215297451","956.657223796033","NaN","NaN"
"01024","90.0770080055593","198.163852768525","478.586247876862","421.714764865086","53.4141079633228","11.4458802778549","790.018801889269","27540","NaN"
"01025","63.3915564999986","207.276382706475","470.324840665097","412.098891138743","61.8810503142554","14.4581893257605","952.202519038591","27890","NaN"
"01026","143.008587167187","176.997018481012","438.607081734237","393.114413133746","54.1234207019735","17.3194946246315","685.134433341948","25750","NaN"
"01027","45.6294558886571","176.960827643831","521.849767775466","385.54433547753","50.1550101889245","12.8303514436783","806.530709568203","28680","NaN"
"01028","59.3455866706222","242.718525432916","461.418134810717","390.927258390796","62.7696999008831","25.8463470180107","951.270231553288","27990","NaN"
"01029","72.0022247320595","170.093313819404","463.359394431576","402.259397797919","116.296458814386","62.4029779004024","935.3845860033","23900","NaN"
"01030","62.9713969430025","183.431979686007","483.842509275942","409.043339986968","151.271563224763","18.0622762059419","590.133132597818","26710","NaN"
"01031","92.7562538895498","174.156369260642","374.91055455174","338.342608857791","95.8502569068707","15.7366093429191","337.098820525131","23370","21"
"01032","73.5891020021056","241.901001337686","464.211446485121","399.724290311217","43.7695085664867","14.0687706106564","720.941974565993","26630","NaN"
"01033","81.5570968595382","189.152705176374","425.571719707669","385.506721978136","123.215311292756","28.9570570829187","362.183102778095","27090","18"
"01034","139.266450916936","164.940668824164","379.180151024811","334.412081984897","139.242914209625","30.2453871029104","433.707437702111","24270","18"
"01035","76.1247829713983","170.507201132649","494.377793264974","403.258134848748","76.8796920136227","298.976580052977","853.678567697365","28760","NaN"
"01036","118.518518518519","156.296296296296","408.888888888889","327.407407407407","27.4669379450661","317.395727365209","956.256358087487","27580","NaN"
"01037","96.4630225080386","176.848874598071","466.237942122186","363.344051446945","101.063829787234","196.808510638298","952.127659574468","25760","NaN"
"01038","83.2249674902471","175.55266579974","468.14044213264","390.117035110533","48.780487804878","48.780487804878","894.308943089431","27750","NaN"
"01040","75.7245251422816","205.228920691939","494.492611663853","432.52557152882","95.8377508465146","45.6370242126261","888.082782903347","26710","NaN"
"01041","85.3321627589264","175.545738435512","477.073034957026","411.067600600136","114.083394952277","31.689831931188","881.330414015707","28150","NaN"
"01042","65.5172413793103","182.758620689655","506.896551724138","444.827586206897","63.8297872340426","28.3687943262411","971.631205673759","29040","NaN"
"01043","90.7278949076404","191.754178552629","461.12257005782","383.782005935948","59.5956563135822","11.7237356682457","793.612788586348","32010","NaN"
"01044","98.6274340039239","210.912497602043","455.60368809448","397.54632534974","109.863109341527","77.8197024502482","718.168698178956","32290","NaN"
"01045","63.3101674190164","210.629507670573","533.782100778743","466.535139525561","60.3601322053664","77.6058842640425","907.263309780383","31400","NaN"
