region_name,num_persons_fiscal_households,num_households,median_living_standard_eur,d1_living_standard_eur,d9_living_standard_eur,interdecile_ratio_d9_d1,poverty_rate_pct_60med,share_taxed_households_pct,share_activity_income_pct,share_wages_pct,share_pensions_pct,share_social_benefits_pct,share_direct_taxes_pct
Vosges,349680,166405,21550,12110,35170,2.9,15.3,46.3,66.2,58.4,34,5.9,-13.9
Yonne,323788,151342,21940,12220,35880,2.9,14.9,50.2,66,57.6,34.6,6,-14.5
Territoire de Belfort,131939,60507,22920,11820,40070,3.4,16.3,53.3,75.4,68.2,28.5,5.7,-15.9
Essonne,1298022,520852,25040,12290,43330,3.5,13.9,64.7,83.9,77.8,23,4.9,-18.6
Hauts-de-Seine,1567721,695869,29720,12700,62620,4.9,12.4,70.4,92.4,84.2,18,2.9,-25.8
Seine-Saint-Denis,1563586,603965,19020,9240,36000,3.9,28.4,49.2,82.5,74.7,18,9.7,-15.4
Val-de-Marne,1353197,570874,24270,11200,46890,4.2,17.2,62.4,86.1,78.1,20.6,5.2,-20.2
Val-d'Oise,1247400,472649,23290,11170,40900,3.7,17.7,60.6,84.4,77.2,21.2,5.9,-17.6
Martinique,306764,147620,19770,9360,39070,4.2,26.8,36,70.9,62.4,25.4,11.2,-13.7
La Réunion,884176,334396,17070,8820,37890,4.3,36.1,31.1,75,62.5,15.7,16.1,-13.1
