region_name,num_persons_fiscal_households,num_households,median_living_standard_eur,d1_living_standard_eur,d9_living_standard_eur,interdecile_ratio_d9_d1,poverty_rate_pct_60med,share_taxed_households_pct,share_activity_income_pct,share_wages_pct,share_pensions_pct,share_social_benefits_pct,share_direct_taxes_pct
Conzieu,149,59,22900,,,,,,,,,,
Corbonod,1037,454,27120,,,,,,,,,,
Corlier,106,45,24470,,,,,,,,,,
Cormoranche-sur-Saône,1208,462,25480,,,,,,,,,,
Cormoz,732,314,23440,,,,,,,,,,
Corveissiat,633,278,24010,,,,,,,,,,
Courmangoux,510,228,24080,,,,,,,,,,
Courtes,297,134,22520,,,,,,,,,,
Crans,323,123,26820,,,,,,,,,,
Bresse Vallons,2433,938,24120,16070,36490,2.3,,57,81.1,73.7,23.3,3.8,-14.6
Cressin-Rochefort,400,169,23660,,,,,,,,,,
Crottet,1856,754,24310,,,,,,,,,,
Crozet,2072,796,44040,13140,89530,6.8,10,56,90.6,86.5,17,0.7,-17.3
Cruzilles-lès-Mépillat,991,376,25850,,,,,,,,,,
Culoz-Béon,3163,1474,21730,13080,35380,2.7,13,49,68.2,62.3,32.4,4.9,-12.9
Curciat-Dongalon,461,195,19790,,,,,,,,,,
Curtafond,769,306,26220,,,,,,,,,,
Cuzieu,410,180,25670,,,,,,,,,,
Dagneux,4720,1856,25320,14190,40290,2.8,9,64,81.7,75.7,22.5,4.1,-16.4
Divonne-les-Bains,9475,4130,46650,15530,109260,7,8,64,97.2,90.9,16.1,0.9,-22.5
Dompierre-sur-Veyle,1246,514,24100,,,,,,,,,,
Dompierre-sur-Chalaronne,424,165,24550,,,,,,,,,,
Domsure,520,220,21490,,,,,,,,,,
Dortan,1903,802,23960,,,,,,,,,,
Douvres,1100,454,27910,,,,,,,,,,
Drom,231,92,23580,,,,,,,,,,
Druillat,1200,517,24570,,,,,,,,,,
Échallon,739,299,28070,,,,,,,,,,
Échenevex,2061,758,49930,19580,98550,5,,63,93.1,86.7,19,0.5,-19.2
Évosges,137,63,23720,,,,,,,,,,
Faramans,875,321,26730,,,,,,,,,,
