"geo","n_transactions","median_price_per_sqm","median_valeur_fonciere","median_surface_bati","median_pieces","appartement_share_pct"
"05017","13","2924.10714285714","275500","85","4","23.076923076923077"
"63213","10","2581.4121648659466","245550","99","4","0"
"84037","8","3276.5151515151515","200000","63","3","12.5"
"24364","3","1735.5625","275000","160","5","0"
"17193","23","3129.77099236641","250000","86","4","0"
"62560","45","1818.18181818182","163000","90","4","0"
"59071","15","2126.58227848101","203500","96","4","0"
"21401","4","2219.1176470588234","225000","102.5","3","0"
"77251","72","3347.212543554007","250424.5","82","4","51.388888888888886"
"14436","5","3314.49438202247","314000","116","5","0"
"62193","635","1621.62162162162","120000","79","4","29.133858267716537"
"27378","14","1824.8342657342657","126250","81.5","4","0"
"24115","14","1438.2390336935791","173657.5","117.5","4","0"
"15192","4","2143.430169811321","187750","83","4","25"
"63212","14","2066.7181467181467","150850","87.5","4","14.285714285714286"
"50550","24","1144.4556451612902","119250","89","4","4.166666666666667"
"14475","15","1904.69798657718","213800","91","4","0"
"14644","7","2377.77777777778","238000","91","5","0"
"79216","12","1733.5589941972921","155750","91.5","4","0"
"91654","5","2077.5696969697","229000","85","3","0"
"23193","14","1576.3388662699654","182000","101.5","4","7.142857142857143"
"81093","3","2669.49152542373","315000","109","5","0"
"27547","3","1250","150000","120","5","0"
"34116","63","3628.01724137931","209000","64","3","50.79365079365079"
"62046","6","1422.5833333333335","101287.5","67","3","0"
"50121","3","880.34188034188","103000","117","6","0"
"07216","6","1561.7374625748503","107050","65.5","3.5","0"
"11066","7","1578.94736842105","115000","57","2","28.571428571428573"
"61278","23","1292.85714285714","103000","80","4","0"
"76106","4","2277.326620107195","220525","100.5","4","0"
"88379","3","1292.89940828402","192000","169","5","0"
"62169","4","2011.6233766233768","194800","96.5","4.5","0"
"42071","66","1580.241935483871","111485","67.5","3","68.18181818181819"
"14214","3","2435.89743589744","226800","78","4","33.333333333333336"
"60380","13","2029.41176470588","209000","90","4","0"
"79302","8","1573.170731707317","182500","125.5","4","0"
"77231","3","2875","255000","92","4","0"
"22140","6","2231.9868421052633","196200","78.5","4","0"
"14527","5","2472.22222222222","185000","108","4","0"
"09312","19","1954.02298850575","178300","91","4","0"
"60154","19","2656","245000","99","4","5.2631578947368425"
