geo,nights_spent_per1000pop,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
DE111,6570.57,460.0,269.0,191.0,40.6,1011.0,131.0,184.0,66.0
DE112,2683.11,573.0,329.0,243.0,44.0,1013.0,155.0,209.0,71.0
DE113,2534.81,557.0,334.0,224.0,44.7,1006.0,144.0,214.0,73.0
DE114,1821.4,599.0,363.0,236.0,45.5,1016.0,147.0,227.0,74.0
DE115,1914.49,565.0,328.0,236.0,44.3,1025.0,151.0,210.0,70.0
DE116,1479.78,580.0,350.0,231.0,45.6,1019.0,146.0,221.0,75.0
DE117,3663.71,512.0,287.0,224.0,40.7,975.0,148.0,190.0,65.0
DE118,2408.72,567.0,327.0,240.0,44.4,998.0,153.0,209.0,62.0
DE119,3336.01,563.0,332.0,232.0,44.6,983.0,148.0,212.0,61.0
DE11A,2975.86,568.0,329.0,238.0,44.0,993.0,152.0,210.0,59.0
DE11B,4825.33,623.0,399.0,224.0,47.7,1001.0,138.0,246.0,73.0
DE11C,1748.48,593.0,364.0,230.0,45.5,1006.0,144.0,228.0,75.0
DE11D,2326.69,581.0,351.0,230.0,45.2,1010.0,146.0,222.0,68.0
DE121,12277.64,657.0,451.0,206.0,49.8,1098.0,124.0,272.0,97.0
DE122,3645.78,463.0,287.0,176.0,41.1,969.0,120.0,196.0,67.0
DE123,1551.84,585.0,360.0,225.0,46.3,1004.0,142.0,227.0,71.0
DE124,2562.19,601.0,376.0,225.0,47.0,1010.0,140.0,235.0,72.0
DE125,9986.32,407.0,235.0,172.0,35.8,1088.0,122.0,167.0,54.0
DE126,5141.13,464.0,274.0,190.0,40.9,997.0,130.0,187.0,60.0
DE127,2391.18,608.0,383.0,225.0,47.3,995.0,140.0,238.0,70.0
DE128,2265.07,594.0,366.0,228.0,46.4,1035.0,143.0,230.0,73.0
DE129,1834.15,548.0,311.0,237.0,41.7,1031.0,153.0,201.0,67.0
DE12A,5774.99,596.0,358.0,238.0,45.7,1006.0,149.0,224.0,68.0
DE12B,1077.96,608.0,366.0,242.0,46.2,1016.0,150.0,228.0,72.0
DE12C,11184.83,575.0,350.0,225.0,45.7,1000.0,143.0,222.0,68.0
DE131,8818.43,452.0,259.0,194.0,37.9,1101.0,133.0,178.0,57.0
DE132,14502.79,619.0,380.0,239.0,46.2,1031.0,148.0,235.0,74.0
DE133,4060.75,601.0,364.0,237.0,45.8,1022.0,148.0,227.0,69.0
DE134,9419.67,591.0,358.0,233.0,45.5,1003.0,147.0,225.0,68.0
DE135,2087.03,604.0,359.0,245.0,45.6,999.0,153.0,224.0,71.0
DE136,4469.8,616.0,377.0,238.0,45.3,1019.0,148.0,234.0,76.0
DE137,2222.9,582.0,329.0,253.0,43.4,993.0,160.0,208.0,64.0
DE138,8697.98,567.0,349.0,218.0,44.4,1054.0,139.0,223.0,73.0
DE139,5429.94,583.0,346.0,238.0,45.1,1035.0,150.0,218.0,68.0
DE13A,5281.08,614.0,370.0,244.0,45.5,1025.0,151.0,229.0,68.0
DE141,2941.1,580.0,347.0,233.0,45.0,1019.0,147.0,220.0,71.0
DE142,1877.66,509.0,294.0,215.0,40.6,1065.0,142.0,195.0,58.0
DE143,1393.54,604.0,374.0,230.0,46.5,1021.0,143.0,233.0,72.0
DE144,6541.23,491.0,289.0,202.0,40.3,1027.0,136.0,194.0,66.0
DE145,2930.51,572.0,326.0,246.0,44.1,990.0,156.0,207.0,63.0
DE146,2434.95,571.0,322.0,248.0,43.7,984.0,158.0,205.0,61.0
DE147,13812.35,626.0,397.0,228.0,47.1,1034.0,141.0,244.0,82.0
