geo,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
DED44,773.0,562.0,211.0,53.7,1048.0,119.0,317.0,107.0
DED45,748.0,532.0,216.0,52.4,1039.0,124.0,304.0,104.0
DED51,494.0,293.0,201.0,39.8,1029.0,135.0,196.0,75.0
DED52,712.0,480.0,232.0,51.1,1033.0,135.0,280.0,93.0
DED53,695.0,469.0,226.0,50.8,1019.0,133.0,277.0,89.0
DEE01,800.0,589.0,211.0,54.3,1091.0,117.0,327.0,121.0
DEE02,602.0,393.0,210.0,43.7,1069.0,131.0,245.0,90.0
DEE03,584.0,386.0,198.0,44.0,1016.0,125.0,244.0,88.0
DEE04,681.0,467.0,214.0,52.3,1014.0,127.0,278.0,82.0
DEE05,714.0,513.0,201.0,53.0,1041.0,117.0,299.0,95.0
DEE06,705.0,489.0,216.0,52.5,1020.0,127.0,287.0,89.0
DEE07,663.0,446.0,217.0,50.9,1009.0,130.0,268.0,76.0
DEE08,732.0,521.0,211.0,52.9,1041.0,122.0,301.0,99.0
DEE09,722.0,528.0,194.0,53.7,1052.0,113.0,307.0,98.0
DEE0A,766.0,569.0,197.0,55.1,1027.0,112.0,322.0,102.0
DEE0B,681.0,465.0,216.0,51.1,1022.0,129.0,277.0,82.0
DEE0C,714.0,512.0,202.0,53.2,1047.0,118.0,299.0,97.0
DEE0D,699.0,487.0,212.0,52.8,1032.0,125.0,287.0,85.0
DEE0E,750.0,542.0,208.0,54.2,1034.0,119.0,309.0,100.0
DEF01,493.0,301.0,191.0,41.1,1021.0,128.0,202.0,66.0
DEF02,465.0,285.0,180.0,40.1,1045.0,123.0,195.0,65.0
DEF03,559.0,368.0,192.0,45.8,1079.0,123.0,236.0,83.0
DEF04,564.0,361.0,203.0,45.8,1008.0,130.0,231.0,78.0
DEF05,644.0,432.0,212.0,50.2,1027.0,129.0,263.0,81.0
DEF06,613.0,376.0,237.0,47.2,1046.0,147.0,233.0,79.0
DEF07,628.0,417.0,210.0,49.7,1050.0,129.0,256.0,79.0
DEF08,682.0,487.0,195.0,53.0,1081.0,116.0,290.0,94.0
DEF09,584.0,361.0,223.0,46.9,1037.0,141.0,228.0,78.0
DEF0A,691.0,466.0,224.0,51.6,1077.0,133.0,276.0,93.0
DEF0B,628.0,404.0,224.0,49.1,1036.0,138.0,248.0,79.0
DEF0C,652.0,417.0,234.0,49.2,1030.0,142.0,253.0,79.0
DEF0D,582.0,358.0,224.0,46.7,1029.0,142.0,226.0,75.0
DEF0E,597.0,383.0,215.0,48.8,1018.0,134.0,240.0,77.0
DEF0F,626.0,390.0,236.0,48.1,1051.0,145.0,240.0,86.0
DEG01,570.0,368.0,202.0,44.4,1048.0,129.0,235.0,78.0
DEG02,731.0,511.0,220.0,50.4,1039.0,127.0,295.0,100.0
DEG03,551.0,354.0,197.0,41.5,1040.0,127.0,228.0,88.0
DEG05,606.0,397.0,209.0,45.3,1089.0,130.0,247.0,87.0
DEG06,698.0,456.0,242.0,49.4,996.0,142.0,269.0,80.0
DEG07,707.0,494.0,212.0,51.5,1027.0,124.0,290.0,96.0
DEG09,705.0,478.0,228.0,50.8,1016.0,134.0,280.0,85.0
DEG0A,733.0,525.0,207.0,53.3,1012.0,120.0,303.0,90.0
DEG0C,663.0,453.0,211.0,50.4,1019.0,127.0,272.0,85.0
DEG0D,684.0,466.0,219.0,50.9,1004.0,130.0,276.0,75.0
DEG0E,680.0,473.0,207.0,51.8,996.0,123.0,281.0,79.0
DEG0G,690.0,452.0,239.0,49.9,1020.0,141.0,267.0,73.0
DEG0J,706.0,489.0,217.0,51.5,1016.0,127.0,287.0,88.0
DEG0K,723.0,510.0,213.0,52.9,1016.0,123.0,296.0,87.0
DEG0L,792.0,580.0,212.0,55.1,1023.0,118.0,324.0,104.0
DEG0M,783.0,576.0,207.0,54.6,1062.0,116.0,323.0,108.0
DEG0Q,702.0,498.0,204.0,52.2,1005.0,120.0,293.0,89.0
DEG0R,697.0,482.0,215.0,51.4,1014.0,126.0,284.0,87.0
DEG0S,815.0,627.0,188.0,56.1,1057.0,104.0,346.0,111.0
DEG0T,662.0,458.0,204.0,49.8,980.0,123.0,276.0,88.0
DEG0U,758.0,551.0,207.0,54.1,1035.0,118.0,313.0,103.0
DEG0V,706.0,516.0,190.0,53.3,1028.0,111.0,303.0,94.0
