geo,employment_rate_per1000,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
DE111,868.45,460.0,269.0,191.0,40.6,1011.0,131.0,184.0,66.0
DE112,576.53,573.0,329.0,243.0,44.0,1013.0,155.0,209.0,71.0
DE113,530.63,557.0,334.0,224.0,44.7,1006.0,144.0,214.0,73.0
DE114,458.03,599.0,363.0,236.0,45.5,1016.0,147.0,227.0,74.0
DE115,493.19,565.0,328.0,236.0,44.3,1025.0,151.0,210.0,70.0
DE116,480.49,580.0,350.0,231.0,45.6,1019.0,146.0,221.0,75.0
DE117,787.58,512.0,287.0,224.0,40.7,975.0,148.0,190.0,65.0
DE118,527.26,567.0,327.0,240.0,44.4,998.0,153.0,209.0,62.0
DE119,660.09,563.0,332.0,232.0,44.6,983.0,148.0,212.0,61.0
DE11A,573.48,568.0,329.0,238.0,44.0,993.0,152.0,210.0,59.0
DE11B,570.11,623.0,399.0,224.0,47.7,1001.0,138.0,246.0,73.0
DE11C,515.58,593.0,364.0,230.0,45.5,1006.0,144.0,228.0,75.0
DE11D,549.13,581.0,351.0,230.0,45.2,1010.0,146.0,222.0,68.0
DE121,759.99,657.0,451.0,206.0,49.8,1098.0,124.0,272.0,97.0
DE122,778.43,463.0,287.0,176.0,41.1,969.0,120.0,196.0,67.0
DE123,485.81,585.0,360.0,225.0,46.3,1004.0,142.0,227.0,71.0
DE124,503.67,601.0,376.0,225.0,47.0,1010.0,140.0,235.0,72.0
DE125,797.64,407.0,235.0,172.0,35.8,1088.0,122.0,167.0,54.0
DE126,785.3,464.0,274.0,190.0,40.9,997.0,130.0,187.0,60.0
DE127,464.6,608.0,383.0,225.0,47.3,995.0,140.0,238.0,70.0
DE128,446.06,594.0,366.0,228.0,46.4,1035.0,143.0,230.0,73.0
DE129,615.0,548.0,311.0,237.0,41.7,1031.0,153.0,201.0,67.0
DE12A,425.36,596.0,358.0,238.0,45.7,1006.0,149.0,224.0,68.0
DE12B,427.89,608.0,366.0,242.0,46.2,1016.0,150.0,228.0,72.0
DE12C,542.61,575.0,350.0,225.0,45.7,1000.0,143.0,222.0,68.0
DE131,794.96,452.0,259.0,194.0,37.9,1101.0,133.0,178.0,57.0
DE132,454.6,619.0,380.0,239.0,46.2,1031.0,148.0,235.0,74.0
DE133,466.76,601.0,364.0,237.0,45.8,1022.0,148.0,227.0,69.0
DE134,578.16,591.0,358.0,233.0,45.5,1003.0,147.0,225.0,68.0
DE135,551.46,604.0,359.0,245.0,45.6,999.0,153.0,224.0,71.0
DE136,557.91,616.0,377.0,238.0,45.3,1019.0,148.0,234.0,76.0
DE137,616.51,582.0,329.0,253.0,43.4,993.0,160.0,208.0,64.0
DE138,517.4,567.0,349.0,218.0,44.4,1054.0,139.0,223.0,73.0
DE139,463.25,583.0,346.0,238.0,45.1,1035.0,150.0,218.0,68.0
DE13A,445.37,614.0,370.0,244.0,45.5,1025.0,151.0,229.0,68.0
DE141,542.13,580.0,347.0,233.0,45.0,1019.0,147.0,220.0,71.0
DE142,531.8,509.0,294.0,215.0,40.6,1065.0,142.0,195.0,58.0
DE143,509.28,604.0,374.0,230.0,46.5,1021.0,143.0,233.0,72.0
DE144,1025.61,491.0,289.0,202.0,40.3,1027.0,136.0,194.0,66.0
DE145,410.0,572.0,326.0,246.0,44.1,990.0,156.0,207.0,63.0
DE146,576.3,571.0,322.0,248.0,43.7,984.0,158.0,205.0,61.0
DE147,577.7,626.0,397.0,228.0,47.1,1034.0,141.0,244.0,82.0
DE148,592.8,573.0,339.0,234.0,44.3,1009.0,149.0,215.0,66.0
DE149,532.02,585.0,355.0,230.0,45.8,998.0,145.0,224.0,67.0
DE211,905.26,503.0,278.0,225.0,40.9,967.0,150.0,185.0,58.0
DE212,794.89,437.0,245.0,192.0,39.7,1041.0,134.0,170.0,59.0
DE213,794.23,513.0,303.0,210.0,42.2,1018.0,139.0,200.0,68.0
DE214,584.22,606.0,367.0,239.0,45.7,1015.0,149.0,229.0,71.0
DE215,523.93,617.0,394.0,223.0,46.6,1044.0,138.0,244.0,84.0
DE216,447.55,592.0,359.0,233.0,46.2,1026.0,146.0,225.0,76.0
DE217,417.76,537.0,305.0,232.0,44.3,1001.0,151.0,199.0,62.0
DE218,419.54,549.0,307.0,242.0,44.6,1004.0,156.0,198.0,69.0
DE219,432.08,567.0,310.0,257.0,43.4,977.0,164.0,198.0,57.0
DE21A,432.38,509.0,281.0,227.0,44.2,992.0,151.0,187.0,54.0
DE21B,606.2,465.0,251.0,214.0,42.1,957.0,146.0,171.0,52.0
DE21C,368.47,589.0,352.0,237.0,45.6,1041.0,149.0,222.0,80.0
DE21D,531.67,627.0,417.0,210.0,49.0,1083.0,129.0,256.0,93.0
DE21E,475.44,582.0,346.0,235.0,46.5,1012.0,149.0,219.0,67.0
DE21F,542.12,599.0,377.0,222.0,47.9,1036.0,139.0,236.0,83.0
DE21G,518.68,564.0,333.0,231.0,44.9,976.0,148.0,213.0,63.0
DE21H,899.5,557.0,327.0,230.0,44.7,1021.0,147.0,210.0,80.0
DE21I,472.88,569.0,326.0,244.0,44.4,993.0,155.0,208.0,61.0
DE21J,477.84,545.0,304.0,241.0,43.7,971.0,156.0,197.0,56.0
DE21K,477.28,607.0,370.0,237.0,46.7,1032.0,147.0,230.0,74.0
DE21L,566.01,621.0,389.0,233.0,48.2,1067.0,143.0,240.0,90.0
DE21M,551.65,620.0,392.0,228.0,47.4,1034.0,141.0,242.0,77.0
DE21N,545.0,616.0,372.0,244.0,46.3,1025.0,151.0,230.0,75.0
DE221,774.3,520.0,312.0,208.0,43.1,1039.0,137.0,205.0,68.0
DE222,1051.55,517.0,339.0,177.0,42.4,1045.0,117.0,224.0,73.0
DE223,863.46,521.0,335.0,186.0,44.5,976.0,122.0,220.0,67.0
DE224,584.71,553.0,345.0,208.0,45.5,994.0,134.0,222.0,61.0
DE225,504.76,609.0,401.0,208.0,49.3,1013.0,129.0,249.0,64.0
DE226,459.57,549.0,317.0,232.0,44.5,975.0,150.0,205.0,58.0
DE227,443.78,560.0,322.0,238.0,45.1,989.0,153.0,206.0,57.0
DE228,454.89,617.0,400.0,217.0,48.3,1016.0,134.0,247.0,69.0
DE229,546.8,621.0,405.0,216.0,48.6,1009.0,133.0,250.0,65.0
DE22A,484.25,599.0,374.0,225.0,46.7,1008.0,141.0,234.0,67.0
DE22B,402.35,575.0,341.0,234.0,46.1,996.0,149.0,216.0,58.0
DE22C,679.89,533.0,315.0,219.0,44.5,943.0,143.0,205.0,56.0
DE231,878.46,589.0,387.0,202.0,46.4,1037.0,127.0,243.0,77.0
DE232,1062.18,417.0,246.0,171.0,38.8,1029.0,120.0,174.0,56.0
DE233,919.9,565.0,369.0,196.0,46.1,1057.0,125.0,236.0,75.0
DE234,403.87,595.0,372.0,223.0,47.6,1001.0,140.0,233.0,67.0
DE235,594.81,593.0,377.0,216.0,47.3,989.0,135.0,237.0,64.0
DE236,514.47,560.0,331.0,230.0,45.2,975.0,147.0,212.0,59.0
DE237,455.2,600.0,372.0,228.0,47.3,1003.0,142.0,232.0,64.0
DE238,369.47,579.0,342.0,237.0,45.9,998.0,150.0,217.0,60.0
DE239,536.66,567.0,347.0,220.0,46.2,994.0,140.0,221.0,63.0
DE23A,523.53,606.0,396.0,211.0,49.0,1012.0,131.0,246.0,72.0
DE241,989.21,488.0,301.0,187.0,41.2,1040.0,126.0,202.0,68.0
DE242,895.97,508.0,340.0,168.0,42.4,1034.0,111.0,226.0,75.0
DE243,1015.75,568.0,380.0,188.0,45.6,1051.0,120.0,242.0,78.0
DE244,759.22,600.0,381.0,220.0,45.1,1026.0,137.0,238.0,76.0
DE245,372.52,575.0,343.0,232.0,46.5,1002.0,147.0,218.0,57.0
DE246,342.31,616.0,396.0,220.0,49.2,1015.0,136.0,245.0,71.0
DE247,420.25,627.0,408.0,220.0,49.4,1016.0,135.0,251.0,73.0
DE248,404.61,592.0,361.0,231.0,47.0,1013.0,145.0,227.0,63.0
DE249,510.51,654.0,446.0,209.0,51.3,1041.0,126.0,269.0,84.0
DE24A,511.26,617.0,428.0,189.0,51.4,1015.0,117.0,265.0,77.0
DE24B,531.77,616.0,418.0,198.0,50.3,1024.0,122.0,259.0,76.0
DE24C,553.33,610.0,395.0,214.0,48.7,1028.0,133.0,246.0,73.0
DE24D,550.49,670.0,458.0,212.0,51.1,1053.0,127.0,274.0,85.0
DE251,888.58,583.0,360.0,222.0,44.9,1062.0,140.0,228.0,70.0
DE252,1008.01,467.0,273.0,194.0,39.2,1010.0,132.0,186.0,65.0
DE253,508.2,500.0,295.0,204.0,43.6,1030.0,136.0,197.0,59.0
DE254,789.9,506.0,305.0,201.0,42.5,1034.0,134.0,202.0,68.0
DE255,557.28,602.0,372.0,230.0,46.7,1049.0,144.0,232.0,76.0
DE256,460.22,580.0,346.0,235.0,45.6,995.0,149.0,219.0,62.0
DE257,482.4,611.0,363.0,248.0,46.1,1017.0,154.0,225.0,65.0
DE258,308.88,631.0,395.0,236.0,47.7,1058.0,145.0,242.0,77.0
DE259,456.24,615.0,384.0,231.0,47.7,1037.0,143.0,238.0,75.0
DE25A,467.74,599.0,367.0,232.0,46.8,996.0,145.0,229.0,64.0
DE25B,449.65,602.0,368.0,234.0,47.0,1015.0,146.0,230.0,70.0
DE25C,469.31,614.0,380.0,234.0,46.7,1006.0,145.0,235.0,69.0
DE261,862.97,548.0,341.0,207.0,44.5,1043.0,134.0,221.0,68.0
DE262,1222.36,614.0,392.0,221.0,44.2,1020.0,137.0,243.0,83.0
DE263,1026.6,461.0,301.0,161.0,39.2,1090.0,110.0,206.0,74.0
DE264,436.89,602.0,379.0,224.0,48.0,1020.0,140.0,236.0,71.0
DE265,518.3,670.0,444.0,226.0,49.9,1033.0,135.0,266.0,82.0
DE266,552.06,629.0,401.0,228.0,48.1,1006.0,140.0,246.0,69.0
DE267,477.55,607.0,378.0,230.0,47.4,992.0,143.0,235.0,63.0
DE268,540.44,584.0,353.0,231.0,46.2,996.0,146.0,223.0,63.0
DE269,480.97,597.0,371.0,225.0,47.5,1013.0,141.0,233.0,69.0
DE26A,505.29,633.0,414.0,219.0,49.3,1007.0,134.0,253.0,74.0
DE26B,323.76,629.0,393.0,236.0,47.4,996.0,145.0,241.0,70.0
DE26C,361.58,626.0,387.0,239.0,46.9,1022.0,147.0,238.0,67.0
DE271,666.66,489.0,292.0,197.0,41.3,1024.0,132.0,196.0,66.0
DE272,589.79,605.0,371.0,234.0,44.7,1025.0,146.0,231.0,76.0
DE273,737.4,563.0,350.0,213.0,43.2,1035.0,136.0,224.0,76.0
DE274,870.28,589.0,356.0,233.0,44.4,1024.0,147.0,224.0,75.0
DE275,410.59,588.0,341.0,247.0,45.4,1008.0,156.0,215.0,66.0
DE276,443.38,596.0,349.0,247.0,45.4,1014.0,155.0,218.0,68.0
DE277,485.48,588.0,350.0,238.0,45.6,995.0,150.0,221.0,64.0
DE278,566.97,558.0,326.0,232.0,44.7,979.0,149.0,209.0,61.0
DE279,496.98,560.0,330.0,230.0,43.8,1002.0,148.0,211.0,66.0
DE27A,537.71,606.0,379.0,228.0,47.4,1036.0,142.0,236.0,81.0
DE27B,508.18,605.0,363.0,242.0,45.8,1011.0,151.0,226.0,69.0
DE27C,505.09,594.0,350.0,244.0,45.2,979.0,153.0,220.0,69.0
DE27D,621.47,573.0,341.0,232.0,45.4,974.0,147.0,217.0,64.0
DE27E,508.14,628.0,391.0,236.0,47.5,1035.0,145.0,241.0,78.0
DE300,585.26,494.0,287.0,207.0,41.3,1036.0,139.0,192.0,66.0
DE401,544.43,686.0,477.0,209.0,49.1,1050.0,124.0,283.0,106.0
DE402,626.58,667.0,458.0,209.0,48.1,1062.0,125.0,275.0,98.0
DE403,660.56,668.0,474.0,194.0,49.6,1047.0,116.0,284.0,96.0
DE404,646.61,539.0,316.0,223.0,42.8,1071.0,145.0,206.0,74.0
DE405,370.8,653.0,426.0,227.0,49.2,1031.0,137.0,258.0,82.0
DE406,466.63,644.0,414.0,230.0,48.7,1018.0,140.0,252.0,84.0
DE407,433.43,750.0,540.0,210.0,54.4,1020.0,120.0,309.0,99.0
DE408,359.6,612.0,386.0,226.0,48.7,1027.0,140.0,239.0,77.0
DE409,360.32,668.0,440.0,228.0,50.5,1028.0,137.0,264.0,81.0
DE40A,372.25,622.0,404.0,218.0,49.6,1031.0,135.0,249.0,82.0
DE40B,454.08,748.0,537.0,212.0,53.6,1045.0,121.0,307.0,106.0
DE40C,440.9,705.0,487.0,219.0,51.7,1029.0,128.0,285.0,94.0
DE40D,462.92,697.0,489.0,208.0,52.3,1021.0,123.0,288.0,88.0
DE40E,408.53,636.0,410.0,226.0,49.9,1022.0,138.0,251.0,79.0
DE40F,464.18,725.0,520.0,204.0,53.8,1016.0,118.0,302.0,98.0
DE40G,393.28,765.0,554.0,211.0,55.2,1040.0,120.0,314.0,98.0
DE40H,489.44,606.0,378.0,228.0,47.5,1001.0,142.0,235.0,76.0
DE40I,434.39,742.0,536.0,206.0,54.4,1032.0,118.0,308.0,98.0
DE501,672.42,537.0,317.0,220.0,42.1,1025.0,143.0,206.0,68.0
DE502,541.3,585.0,345.0,240.0,43.0,1008.0,151.0,218.0,65.0
DE600,712.83,477.0,267.0,211.0,41.0,1043.0,143.0,180.0,62.0
DE711,888.99,440.0,250.0,190.0,38.0,957.0,132.0,174.0,56.0
DE712,982.6,429.0,228.0,201.0,39.7,1037.0,141.0,159.0,49.0
DE713,518.91,452.0,233.0,219.0,39.9,990.0,151.0,161.0,49.0
DE714,709.02,519.0,302.0,217.0,42.9,1065.0,143.0,199.0,67.0
DE715,414.32,608.0,381.0,227.0,47.5,1023.0,141.0,237.0,72.0
DE716,382.92,583.0,354.0,229.0,46.4,1020.0,145.0,224.0,67.0
DE717,452.61,544.0,306.0,238.0,43.6,998.0,154.0,198.0,62.0
DE718,549.36,613.0,378.0,235.0,47.6,1062.0,146.0,235.0,84.0
DE719,449.15,589.0,359.0,230.0,46.0,1023.0,145.0,226.0,69.0
DE71A,571.31,577.0,343.0,234.0,46.1,1036.0,148.0,217.0,75.0
DE71B,412.47,644.0,423.0,221.0,49.3,1026.0,134.0,257.0,76.0
DE71C,495.49,579.0,346.0,234.0,45.0,1031.0,148.0,219.0,71.0
DE71D,361.75,615.0,398.0,217.0,49.0,1043.0,134.0,246.0,78.0
DE71E,408.71,582.0,357.0,225.0,46.5,1024.0,142.0,226.0,70.0
DE721,534.31,527.0,318.0,208.0,41.9,1033.0,137.0,209.0,62.0
DE722,506.86,601.0,373.0,228.0,46.7,1025.0,142.0,233.0,70.0
DE723,467.41,590.0,369.0,221.0,46.9,1018.0,139.0,232.0,68.0
DE724,534.06,530.0,325.0,205.0,43.5,1040.0,134.0,213.0,63.0
DE725,437.11,663.0,446.0,217.0,50.5,1013.0,131.0,268.0,76.0
DE731,776.42,518.0,310.0,208.0,41.4,1056.0,137.0,204.0,65.0
DE732,584.96,585.0,359.0,226.0,45.4,1010.0,142.0,226.0,72.0
DE733,531.2,652.0,425.0,227.0,49.0,1012.0,138.0,257.0,80.0
DE734,419.44,658.0,432.0,226.0,49.5,1040.0,136.0,261.0,83.0
DE735,453.98,617.0,400.0,218.0,48.5,1000.0,134.0,247.0,74.0
DE736,557.01,616.0,398.0,219.0,48.4,1013.0,135.0,246.0,74.0
DE737,429.53,656.0,445.0,211.0,50.6,1019.0,127.0,269.0,82.0
DE803,580.18,594.0,410.0,184.0,44.9,1051.0,115.0,257.0,96.0
DE804,689.16,672.0,459.0,213.0,47.8,1082.0,127.0,275.0,97.0
DE80J,471.22,729.0,516.0,212.0,53.1,1053.0,123.0,299.0,88.0
DE80K,432.74,698.0,466.0,232.0,51.2,1025.0,137.0,274.0,80.0
DE80L,444.62,702.0,503.0,199.0,53.2,1061.0,117.0,295.0,90.0
DE80M,388.2,662.0,446.0,216.0,50.5,1021.0,130.0,268.0,78.0
