geo,gdp_per_capita_eur,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
DEA27,41704.74,583.0,351.0,232.0,45.6,1036.0,147.0,222.0,69.0
DEA28,33218.99,597.0,372.0,225.0,47.2,1012.0,141.0,233.0,66.0
DEA29,30763.55,588.0,362.0,226.0,46.6,1018.0,142.0,228.0,65.0
DEA2A,41374.6,605.0,366.0,240.0,46.3,1029.0,149.0,228.0,70.0
DEA2B,31398.13,620.0,393.0,227.0,48.6,1057.0,140.0,243.0,82.0
DEA2C,32793.64,599.0,370.0,229.0,46.8,1034.0,143.0,231.0,73.0
DEA2D,43905.85,518.0,322.0,195.0,42.5,977.0,129.0,212.0,66.0
DEA31,27637.31,617.0,393.0,223.0,47.4,1057.0,138.0,243.0,72.0
DEA32,38828.18,575.0,321.0,253.0,42.8,1021.0,161.0,204.0,61.0
DEA33,64947.64,454.0,272.0,183.0,39.1,1090.0,126.0,187.0,62.0
DEA34,43714.85,562.0,322.0,240.0,44.6,997.0,154.0,206.0,59.0
DEA35,34811.57,611.0,375.0,236.0,47.1,1024.0,147.0,233.0,67.0
DEA36,30911.5,617.0,389.0,229.0,47.3,1048.0,141.0,240.0,71.0
DEA37,38683.36,570.0,337.0,233.0,45.4,1006.0,149.0,215.0,64.0
DEA38,36578.25,598.0,364.0,234.0,46.5,1020.0,147.0,228.0,69.0
DEA41,51545.14,529.0,311.0,218.0,42.2,1060.0,143.0,203.0,69.0
DEA42,53373.82,563.0,331.0,232.0,45.2,1005.0,149.0,212.0,67.0
DEA43,39061.7,602.0,373.0,228.0,46.8,1031.0,143.0,233.0,76.0
DEA44,32567.82,628.0,405.0,223.0,48.4,1001.0,137.0,249.0,75.0
DEA45,35765.98,634.0,390.0,244.0,46.5,1034.0,149.0,239.0,77.0
DEA46,47011.16,610.0,373.0,237.0,46.2,1016.0,147.0,232.0,74.0
DEA47,42262.07,544.0,317.0,227.0,43.0,997.0,147.0,205.0,60.0
DEA51,43955.17,546.0,346.0,199.0,44.0,1032.0,129.0,224.0,71.0
DEA52,47265.19,535.0,315.0,220.0,42.8,1026.0,143.0,205.0,65.0
DEA53,40126.17,580.0,341.0,240.0,44.1,1031.0,152.0,215.0,70.0
DEA54,35156.55,565.0,341.0,225.0,44.4,1019.0,144.0,218.0,67.0
DEA55,31144.99,576.0,348.0,228.0,44.9,1040.0,144.0,221.0,70.0
DEA56,34293.12,624.0,406.0,218.0,48.6,1066.0,134.0,250.0,80.0
DEA57,43726.81,596.0,381.0,215.0,48.0,1003.0,135.0,239.0,74.0
DEA58,39952.63,596.0,373.0,223.0,47.4,1027.0,140.0,234.0,75.0
DEA59,48232.27,565.0,343.0,222.0,46.4,992.0,142.0,219.0,64.0
DEA5A,44526.5,587.0,362.0,225.0,45.4,1007.0,142.0,228.0,69.0
DEA5B,41814.47,588.0,367.0,220.0,47.1,1011.0,139.0,231.0,70.0
DEA5C,35299.25,614.0,393.0,221.0,47.8,1048.0,137.0,243.0,74.0
DEB11,82061.46,530.0,338.0,193.0,42.4,1019.0,126.0,221.0,76.0
DEB12,32108.61,648.0,428.0,221.0,49.1,1026.0,134.0,259.0,84.0
