region_name,ERP_2024,ERP_2025,ERP_change_no,ERP_change_pct,natural_increase,net_internal_migration,net_overseas_migration,area_km2,population_density_2025
New South Wales,8492050,8592524,100474,1.2,34576,-24328,90226,800797.7,10.7
Victoria,6950961,7073859,122898,1.8,36516,-777,87159,227496.2,31.1
Queensland,5571890,5669764,97874,1.8,20606,21595,55673,1730171.2,3.3
South Australia,1882164,1902665,20501,1.1,2727,-1295,19069,984231.4,1.9
Western Australia,2978147,3044382,66235,2.2,14890,10288,41057,2526632.5,1.2
Tasmania,574765,576261,1496,0.3,350,-1877,3023,68017.5,8.5
Northern Territory,260884,264556,3672,1.4,2024,-2105,3753,1348134.5,0.2
Australian Capital Territory,478430,484630,6200,1.3,2882,-1501,4819,2358.1,205.5
Other Territories,4995,5013,18,0.4,-15,0,33,255.7,19.6
