region_name,ERP_2024,ERP_2025,ERP_change_no,ERP_change_pct,natural_increase,net_internal_migration,net_overseas_migration,area_km2,population_density_2025
East Arnhem,8108,8130,22,0.3,82,-73,13,30703,0.3
Groote Archipelago,2050,2095,45,2.2,-1,42,4,2606.9,0.8
Katherine,11188,11282,94,0.8,85,-66,75,7416.6,1.5
Litchfield,24305,24849,544,2.2,121,288,135,2903.3,8.6
MacDonnell,6841,6978,137,2,33,61,43,268339,0
Palmerston,42611,43193,582,1.4,517,-388,453,68.2,633.5
Roper Gulf,7534,7597,63,0.8,71,-36,28,185213.5,0
Tiwi Islands,2756,2767,11,0.4,6,0,5,7483.2,0.4
Victoria Daly,3323,3356,33,1,32,-6,7,153287.4,0
Wagait,494,504,10,2,4,2,4,5.7,89
West Arnhem,7534,7608,74,1,54,1,19,49675,0.2
West Daly,3474,3495,21,0.6,30,-13,4,14069.7,0.2
Unincorporated NT,7986,8207,221,2.8,68,86,67,19777.4,0.4
