geo_code,geo_name,population,0_14_per1000,15_64_per1000,65plus_per1000,0_4_per1000,5_9_per1000,10_14_per1000,15_19_per1000,20_29_per1000,30_44_per1000,45_64_per1000,65_74_per1000,75_84_per1000,85plus_per1000,male_per1000,female_per1000,sex_ratio_males_per1000_females,youth_dependency_ratio_per_1000,old_age_dependency_ratio_per_1000,total_dependency_ratio_per_1000,aging_index_65plus_per_1000_of_0to14
Capital region,Höfuðborgarsvæði,251912,174.60462383689543,668.5787100257232,156.8166661373813,57.55581314109689,57.10724379942202,59.94156689637651,65.92778430563054,137.82590745974784,228.70288037092317,236.1221378894217,88.02677125345357,51.72838133951539,17.061513544412335,507.9472196640097,491.41763790530024,1033.6365251950822,261.15791786157473,234.55228798917014,495.7102058507449,898.1243605774696
Southwest,Suðurnes,29644,174.70651733909054,701.3223586560518,123.97112400485764,55.18823370665228,58.865200377816755,60.65308325462151,65.98299824585075,150.41829712589393,253.81190122790449,231.10916205640265,77.72230468222911,35.993793010389965,10.255026312238563,538.1864795574146,461.5436513291054,1166.0575939190176,249.1101491101491,176.76767676767676,425.87782587782584,709.5964471905774
West,Vesturland,17997,186.0865699838862,628.1602489303773,185.75318108573651,57.842973828971495,61.62138134133466,66.62221481358003,64.8997055064733,131.52192032005334,205.1453019947769,226.59332110907374,109.01816969494915,57.12063121631383,19.614380174473524,519.0865144190699,480.4689670500639,1080.3746964265065,296.2406015037594,295.70986289252545,591.9504643962848,998.2084204240072
Westfjords,Vestfirðir,7341,167.96076828769924,642.5555101484811,189.48372156381964,51.21917994823594,58.43890478136494,58.30268355809835,58.03024111156518,143.44094809971395,207.8735867048086,233.2107342323934,112.92739408799892,55.71448031603324,20.841847159787495,527.1761340416838,472.1427598419834,1116.5608770917484,261.39495442018233,294.8908204367183,556.2857748569006,1128.1427412814273
Northwest,Norðurland vestra,7353,180.33455732354142,612.6750985992112,206.99034407724739,56.57554739562083,61.33550931592547,62.42350061199511,63.51149190806474,130.42295661634705,180.7425540595675,237.99809601523188,115.05507955936352,69.49544403644771,22.439820481436147,504.6919624643003,495.0360397116823,1019.5054945054944,294.33962264150944,337.84683684794675,632.1864594894562,1147.812971342383
Northeast,Norðurland eystra,32296,172.5910329452564,642.8659895962348,184.54297745850877,55.177111716621255,55.858310626702995,61.55561060193212,67.96507307406489,137.54025266286845,200.64404260589546,236.716621253406,101.68441912311123,61.86524647015111,20.99331186524647,509.75352984889764,489.75105276195194,1040.8421318834166,268.4712455447452,287.06290338117714,555.5341489259223,1069.250089702189
East,Austurland,11211,176.6122558201766,645.972705378646,177.41503880117742,52.805280528052805,58.424761395058425,65.38221389706538,65.64980822406565,131.56721077513157,219.60574435821962,229.14994202122915,99.00990099009901,61.457497101061456,16.947640710016948,522.968513067523,476.4962982784765,1097.5290153500562,273.4051367025683,274.6478873239437,548.053024026512,1004.5454545454546
South,Suðurland,36570,177.98742138364778,648.5097074104457,173.5028712059065,59.96718621821165,56.16625649439432,61.85397867104184,61.471151216844405,145.14629477713973,219.9343724364233,221.9578889800383,100.38282745419743,57.779600765654905,15.340442986054143,520.0984413453651,479.6007656549084,1084.4403899880267,274.45606341710237,267.5409006577838,541.9969640748861,974.804117375941
