geo_code,geo_name,population,0_14_per1000,15_64_per1000,65plus_per1000,0_4_per1000,5_9_per1000,10_14_per1000,15_19_per1000,20_29_per1000,30_44_per1000,45_64_per1000,65_74_per1000,75_84_per1000,85plus_per1000,male_per1000,female_per1000,sex_ratio_males_per1000_females,youth_dependency_ratio_per_1000,old_age_dependency_ratio_per_1000,total_dependency_ratio_per_1000,aging_index_65plus_per_1000_of_0to14
0000,Reykjavíkurborg,139804,163.06400389116192,684.1292094646791,152.806786644159,53.66799233212211,52.752424823324084,56.643586735715715,61.67920803410489,144.25910560498983,244.62104088581157,233.56985493977282,86.3280020600269,49.311893794168974,17.16689078996309,508.54052816800663,490.59397442133275,1036.5812763351655,238.35264104387102,223.3595416335578,461.7121826774288,937.0969864455849
1000,Kópavogsbær,40286,180.60864816561585,644.5911731122475,174.8001787221367,57.38966390309289,60.12014099190786,63.0988432706151,69.00660279005113,125.94946135133794,210.2219133197637,239.41319565109467,96.7085339820285,59.84709328302636,18.24455145708186,505.2127289877377,494.5390458223701,1021.5830949154243,280.1910043130006,271.1799137399877,551.3709180529884,967.8394722374932
1100,Seltjarnarnesbær,4609,196.3549576914732,598.8283792579736,204.81666305055327,58.364070297244524,67.25970926448254,70.73117812974616,70.73117812974616,109.78520286396181,192.01562160989369,226.2963766543719,113.69060533738339,68.12757648079844,22.998481232371446,496.6370145367759,502.7120850509872,987.9154078549849,327.8985507246377,342.0289855072464,669.927536231884,1043.0939226519338
1300,Garðabær,20724,199.430611850994,627.4850414977803,173.08434665122562,72.6693688477128,66.0586759312874,60.702567071993826,70.40146689828218,129.46342404941132,196.0046323103648,231.61551823972206,95.83092067168499,58.3864118895966,18.867014089944025,495.319436402239,504.5358038988612,981.7329762815608,317.8252845278376,275.8382036296524,593.6634881574901,867.8925719816114
1400,Hafnarfjarðarkaupstaður,32398,187.63503919995063,671.8624606457189,140.50250015433053,61.05315142910056,61.45441076609667,65.12747700475339,73.52305697882586,139.545650966109,218.77893697141798,240.014815729366,77.65911476017038,46.20655596024446,16.636829433915672,512.5625038582629,486.82017408482005,1052.878518894243,279.2759682087564,209.1239031561538,488.3998713649102,748.8073696331633
1604,Mosfellsbær,13772,200.6244554167877,658.6552425210572,140.7203020621551,66.72959628231195,65.8582631426082,68.03659599186756,73.99070577984317,126.27069416206795,207.74034272436828,250.6534998547778,81.9779262271275,49.8838222480395,8.858553586988092,520.9119953528899,478.8701713621841,1087.7937831690674,304.5970675779958,213.64788887663985,518.2449564546356,701.4115092290988
1606,Kjósarhreppur,319,100.31347962382445,655.1724137931034,244.5141065830721,37.61755485893417,37.61755485893417,25.078369905956112,59.56112852664577,90.9090909090909,153.6050156739812,351.0971786833856,172.41379310344828,56.426332288401255,15.67398119122257,548.58934169279,451.41065830721004,1215.2777777777776,153.11004784688996,373.20574162679424,526.3157894736842,2437.5
2000,Reykjanesbær,22697,177.51244657884303,703.5291007622153,118.95845265894171,55.64612063268273,59.875754505000664,61.990571441159624,65.25091421773803,150.01982640877648,262.32541745605147,225.93294267964927,72.82900823897431,35.55535973917258,10.574084680794819,537.7803233907565,461.95532449222367,1164.13924654268,252.31713426853707,169.0881763527054,421.4053106212425,670.1414743112435
2300,Grindavíkurbær,819,21.978021978021978,816.8498168498169,161.1721611721612,6.105006105006105,3.663003663003663,12.21001221001221,56.166056166056165,210.01221001221,180.7081807081807,369.96336996337,102.56410256410255,39.072039072039075,19.536019536019538,606.8376068376068,393.16239316239313,1543.4782608695652,26.90582959641256,197.30941704035874,224.2152466367713,7333.333333333333
2506,Sveitarfélagið Vogar,1896,170.8860759493671,715.717299578059,113.39662447257385,59.59915611814346,55.379746835443036,55.90717299578059,71.20253164556962,158.75527426160338,229.43037974683546,256.3291139240506,83.33333333333333,21.62447257383966,8.438818565400844,520.5696202531645,479.43037974683546,1085.8085808580856,238.76197494473104,158.4377302873987,397.1997052321297,663.5802469135801
2510,Suðurnesjabær,4232,190.92627599243855,660.6805293005671,148.39319470699434,60.25519848771266,65.68998109640832,64.98109640831758,69.47069943289225,137.28733459357278,233.22306238185257,220.69943289224952,96.64461247637051,44.18714555765595,7.561436672967864,534.9716446124763,464.55576559546313,1151.5768056968463,288.9842632331903,224.60658082975678,513.5908440629471,777.2277227722773
3000,Akraneskaupstaður,8440,203.90995260663507,620.7345971563981,175.35545023696682,68.24644549763033,65.04739336492892,70.61611374407582,71.2085308056872,133.8862559241706,205.09478672985782,210.54502369668245,99.40758293838863,55.80568720379147,20.14218009478673,509.8341232227488,489.45497630331755,1041.6364076494795,328.49780492460394,282.4966596678756,610.9944645924795,859.9651365485182
3506,Skorradalshreppur,72,27.777777777777775,625.0,347.22222222222223,0.0,13.888888888888888,13.888888888888888,97.22222222222223,138.88888888888889,111.1111111111111,277.77777777777777,236.11111111111111,97.22222222222223,13.888888888888888,541.6666666666666,458.3333333333333,1181.818181818182,44.44444444444444,555.5555555555555,600.0,12500.0
3511,Hvalfjarðarsveit,805,149.06832298136646,657.1428571428571,193.7888198757764,48.4472049689441,44.72049689440994,55.900621118012424,64.59627329192547,137.88819875776397,165.2173913043478,289.44099378881987,137.88819875776397,47.204968944099384,8.695652173913043,536.6459627329192,462.11180124223597,1161.2903225806454,226.8431001890359,294.89603024574666,521.7391304347826,1300.0
3609,Borgarbyggð,4082,165.60509554140125,628.1234688878001,206.27143557079864,46.79078882900539,60.26457618814307,58.549730524252816,61.97942185203332,128.61342479176875,201.86183243508086,235.6687898089172,122.97893189612935,63.93924546790789,19.353258206761392,529.1523762861342,470.84762371386574,1123.8293444328824,263.65054602184085,328.393135725429,592.0436817472698,1245.5621301775147
