geo_code,geo_name,immigrants_per1000,all_dwellings_per1000,freetime_residences_per1000,pct_aged_64plus,pct_aged_under15,pct_foreign_citizens,avg_age,dependency_ratio,births_per1000,deaths_per1000,urbanisation_pct,pct_one_person_households,pct_owner_occupied,pct_rental,pct_upper_secondary_plus,pct_tertiary,pct_no_post_basic_qual,pct_employed_of_pop,pct_unemployed_of_pop,unemployment_rate,employment_rate_20_64,pct_jobs_services,pct_jobs_secondary,pct_jobs_primary,pct_self_employed,workplace_self_sufficiency,pct_dwellings_not_permanent_use,floor_area_per_person
KU616,Pukkila,5.053340819764178,568.2201010668164,131.38686131386862,24.4,14,3,46.9,62.4,5,12.8,39.9,41,81.7,16.3,72.7,20.3,27.3,45.8,5,9.8,78.7,66.4,23.6,8.8,21.6,59.9,15.3,50
KU619,Punkalaidun,4.150943396226415,675.4716981132075,185.66037735849056,37.7,11.3,2.2,52.3,96.2,4.1,19.5,41.2,48.6,79,18.3,68.7,21.5,31.3,35.2,3.2,8.3,73.4,54,22.9,21.3,27.7,77,22.3,53.7
KU620,Puolanka,6.35862653666808,738.448495125053,629.9279355659178,43,8.9,2.3,55.7,107.8,4.2,25.7,56.9,48.2,72.8,24.1,66.9,19.6,33.1,28.2,7.3,20.6,60,68.5,14.1,16.1,17.1,88.9,25.6,48.5
KU623,Puumala,10.436432637571158,738.1404174573055,1896.110056925996,46.9,6.3,2.4,57.6,113.6,5.7,18.5,50.3,48.2,79.1,17.6,70.3,25.9,29.7,34.2,3.8,10.1,72.9,65.1,16.4,17.5,24.2,76.8,26.7,54.9
KU624,Pyhtää,3.3563672260612045,545.3109575518263,381.4412635735439,27.6,15.6,2.8,47.1,76.1,8.6,13.4,75,36.7,86.7,11.6,74.1,29.5,25.9,41.1,5.1,11.1,76.7,67.9,27.8,2.8,12.5,47.2,14.5,50.3
KU625,Pyhäjoki,5.704697986577181,585.9060402684564,238.9261744966443,30.4,16.2,3.6,47.1,87.3,7,15.4,69.8,37.9,78.6,19.1,72.8,21.8,27.2,35.9,5.3,12.9,71.5,55.6,36.9,6.5,11,65.7,21.7,47.7
KU626,Pyhäjärvi,8.620689655172413,659.1673675357443,221.6148023549201,37.6,13.7,1.9,51.3,105.3,4.6,20,53.8,47.5,74.5,23.2,68.1,19.8,31.9,32.4,5,13.5,67.8,66.9,20,11.7,15.3,93.2,21.2,46.7
KU630,Pyhäntä,14.580801944106925,503.03766707168893,213.2442284325638,25.2,21.5,6.8,41.9,87.7,10.4,9.8,57.4,35.2,71,25.6,66,18.3,34,34.3,6,14.9,69.5,40.2,41.2,17.3,11,134.9,18,38.9
KU631,Pyhäranta,1.0362694300518134,569.4300518134716,486.0103626943005,30.6,14.7,2,48.4,82.9,6.2,16.4,42.1,38.5,89.8,8.7,71.7,23.7,28.3,42.1,3.4,7.5,80.6,51.5,43.5,4.1,14.2,47,14.9,51.6
KU635,Pälkäne,8.67918573457472,579.2961969386145,687.2337068013255,30.8,13.6,3.3,48.8,79.7,6,14.8,56.7,39.9,80.1,18,72.4,26.3,27.6,40.7,3.4,7.7,77.9,67.4,23.3,7.7,17.8,67.4,16.8,48.6
KU636,Pöytyä,8.979089790897909,550.0615006150061,119.55719557195573,26.8,16.9,4.6,45.7,77.5,7.6,10.1,53.7,40.2,81.5,16.6,67.8,21.4,32.2,40.4,4.4,9.8,76.5,61,27.4,10.5,18.7,72.5,15.4,48.4
KU678,Raahe,7.479934445518342,570.1979241080809,38.61831323276043,27.7,16.5,2.7,45.2,79.5,6.9,11.5,87.1,44,71.7,27.2,73.4,23.2,26.6,36.2,5.7,13.6,71,59.5,37.2,2.3,8,113.2,14.8,45.2
KU710,Raseborg,9.041126097982286,618.0675511779191,250.5788525855415,28.7,13.9,4.5,47.4,74.1,6.6,13.8,77.9,45.4,70.2,28.3,70.7,31,29.3,42.1,4.2,9,77.5,73,22.4,3.2,14,84.6,17.9,46.5
KU680,Raisio,16.225178634874265,547.31356835498,2.0133433342544707,23.7,15.3,7.6,44.6,64,8.2,9.9,99.4,42.3,70.4,24.2,74.4,31.6,25.6,45.4,4,8.1,78.4,72.6,25.7,0.4,8.7,99.9,9.9,43
