geo_code,geo_name,population,0_14_per1000,15_64_per1000,65plus_per1000,0_4_per1000,5_9_per1000,10_14_per1000,15_19_per1000,20_29_per1000,30_44_per1000,45_64_per1000,65_74_per1000,75_84_per1000,85plus_per1000,male_per1000,female_per1000,sex_ratio_males_per1000_females,single_per1000,married_per1000,widowed_per1000,divorced_per1000,youth_dependency_ratio_per_1000,old_age_dependency_ratio_per_1000,total_dependency_ratio_per_1000,aging_index_65plus_per_1000_of_0to14
ZH,- Zürich,1620020,149.33148973469463,676.1521462697991,174.51636399550625,47.556820286169305,51.525907087566814,50.24876236095851,47.71854668460883,117.32139109393711,241.98590140862458,269.1263070826286,85.02981444673523,63.32761323934273,26.158936309428277,499.27470031234185,500.7252996876582,997.1030036304912,486.84584140936533,387.4081801459241,38.19150380859496,87.39089640868632,220.8548631525133,258.10221110482206,478.95707425733536,1168.6507936507937
BE,- Bern / Berne,1071216,143.22601604158262,633.279375961524,223.49460799689325,44.415878777016026,49.40646891009843,49.403668354468195,47.86429627638123,105.84419948917865,206.19277531328885,273.3781048826754,110.54819942943347,81.47189735776912,31.47451120969067,491.47324162447165,508.5267583755284,966.4648585936094,452.93852967095336,404.442241340682,50.30638078594793,92.12987856790787,226.16560948968055,352.9162901563875,579.081899646068,1560.4330426394483
LU,- Luzern,437944,152.0788045960214,658.0065031145534,189.91469228942512,48.59753758471403,52.205304787826755,51.275962223480626,50.10914637487898,119.38284346857132,217.3679739875418,271.14653928356137,98.09930036717023,64.86902435014522,26.946367572109676,499.7008749977166,500.29912500228335,998.8042153690274,468.5758909814953,411.1005060007672,43.38682571287653,76.85685841112105,231.12051913800883,288.62129992712636,519.7418190651351,1248.7913275877602
UR,- Uri,38275,144.4546048334422,630.3069888961463,225.2384062704115,48.0731548007838,47.96864794252123,48.41280209013717,51.70476812540823,112.1097322011757,189.6276943174396,276.8647942521228,117.88373612018287,78.56303069888962,28.791639451338995,510.3069888961463,489.69301110385373,1042.095715733874,432.1358589157414,453.92553886348793,51.6263879817113,62.23383409536251,229.18134715025906,357.3471502590674,586.5284974093264,1559.2331343823475
SZ,- Schwyz,168931,142.54932487228513,658.8074420917416,198.64323303597325,46.521952749939324,48.25638870307995,47.77098341926585,47.978168601381626,103.45644079535433,206.74713344501603,300.6256992499897,106.77140370920672,67.05104450929669,24.820784817469853,513.1976961007749,486.80230389922514,1054.2219952332312,439.51672576377337,429.6014349053756,43.7279125796923,87.05921352504869,216.37479446146656,301.5194127213751,517.8942071828417,1393.505253104107
OW,- Obwalden,39662,146.61388734809137,638.8986939639958,214.48741868791285,45.08093389138218,51.006000705965405,50.52695275074379,49.39236548837678,102.28934496495386,199.51086682466845,287.7061166859967,113.83692199082245,72.66401089203772,27.986485805052695,505.4712319096364,494.52876809036354,1022.1270521056389,444.35479804346727,432.1012556099037,47.930008572437096,75.38702032171852,229.47908445146015,335.71428571428567,565.1933701657459,1462.940670679278
NW,- Nidwalden,45345,132.89227037159554,635.3291432351969,231.77858639320763,42.4523100672621,45.958760613077516,44.481199691255924,44.92226265299371,99.63612305656633,196.36123056566325,294.4095269599735,121.7554305877164,82.34645495644503,27.6767008490462,511.6991950600949,488.30080493990516,1047.9179839219582,434.20443268276546,431.60216120851254,46.73062079611864,87.17609438747381,209.17074525321948,364.8165503835607,573.9872956367802,1744.1088615997344
GL,- Glarus,42371,145.5240612683203,637.0394845531142,217.43645417856553,44.13395954780392,52.866347265818604,48.52375445469779,47.86292511387506,105.85069977106984,209.95492199853675,273.37093766963255,114.63028958485756,73.80047674116732,29.005687852540653,505.34563734629825,494.6543626537018,1021.6136266043228,432.0407826107479,425.1728776757688,52.74834202638597,89.87279035189162,228.43805572021338,341.3233550681684,569.7614107883817,1494.161530976322
ZG,- Zug,133739,149.36555529800583,666.0734714630736,184.56097323892058,47.34594994728539,51.20421118746215,50.81539416325829,50.56116764743269,97.16686979863765,218.49273585117282,299.8526981658304,93.59274407614832,66.03159886046703,24.936630302305236,506.658491539491,493.3415084605089,1026.9934373058095,445.36746947412496,434.7722055645698,38.36577213826932,81.38987131651949,224.24786708576562,277.08801077682983,501.3358778625954,1235.6327593111732
FR,- Fribourg / Freiburg,346674,161.8984983009975,667.2060783329583,170.89542336604418,51.6767914524885,55.62863093280719,54.59307591570178,54.96229887444689,126.00887288922735,215.11275723013551,271.12214933914856,90.46250944691555,59.99296168734892,20.43995223177971,500.7730605698726,499.2269394301274,1003.0970306640703,479.73600558449726,390.58019926501555,40.30876269925059,89.21638196115082,242.6514139462091,256.1358910174101,498.7873049636192,1055.5713929373196
SO,- Solothurn,289792,146.25662544169612,641.2944456713781,212.44892888692578,46.42640238515901,50.33955388692579,49.49066916961131,46.96817027385159,107.3804659893993,207.37977583922262,279.5660335689046,111.35918175795052,72.36569677561837,28.72405035335689,500.8937444787986,499.10625552120143,1003.5813795916675,432.5654262367491,424.80123674911664,48.57967093639576,93.88457928445229,228.06470012160867,331.28141109114193,559.3461112127505,1452.57644394111
BS,- Basel-Stadt,201384,136.19254757081,667.1930242720375,196.6144281571525,45.172406943947884,46.726651571127796,44.29348905573432,41.56735391093632,115.69439478806657,251.03285265959556,258.898422913439,93.08088030826679,68.1384817065904,35.39506614229532,487.9930878322012,512.0069121677988,953.0986325283678,509.44960870774247,346.91435267945815,45.738489651610855,97.71878600087396,204.12765514059035,294.68897456125984,498.8166297018502,1443.6504174718343
BL,- Basel-Landschaft,301323,143.59673838372777,624.3333565642185,232.06990505205377,43.14639108199507,49.866754280290586,50.583593021442105,50.019414382572855,99.5675736667961,190.28749879697202,284.45886971787746,109.93186713261186,85.96423107429568,36.17380684514624,490.7424922757307,509.25750772426926,963.6431173469056,421.29873922667707,434.93526879793444,52.89008804505464,90.77966169193854,230.00010631172725,371.70832314512614,601.7084294568534,1616.122397097229
