geo_code,turkey_citizens_per1000,serbia_citizens_per1000,north_macedonia_citizens_per1000,sri_lanka_citizens_per1000
ZH,9.017172627498425,6.988802607375217,8.211009740620486,2.935766225108332
BE,6.520627025735239,3.37373601589222,6.528095174082537,4.227905483114517
LU,5.302047750397311,7.768116471512339,6.3843779113311285,3.3999780793891454
UR,5.956890920966688,4.65055519268452,0.6792945787067276,3.3964728935336383
SZ,6.393142762429631,10.081039004090428,6.292509959687683,3.788529044402744
OW,2.7986485805052697,2.24396147445918,5.672936311835006,3.9584488931470925
NW,4.763479986768111,2.183261660602051,2.7125372146873965,3.6167162862498623
GL,12.461353284085813,12.083736517901395,12.933374241816336,8.23676571239763
ZG,9.383949334150847,7.320228205684206,4.860212802548246,4.553645533464435
FR,5.714302197453516,2.9710909961520047,5.590266359750082,1.745155390943653
SO,17.771367049469966,11.045853577738516,12.41925242932862,6.387339885159011
BS,27.852262344575536,8.396893497000756,9.831962817304255,3.7043657887419057
BL,19.072556691656462,6.770143666431039,6.245789402070203,6.205965027561786
SH,12.090180112104841,7.105236446479524,18.462336607757116,5.503738707749219
AR,8.517767392646151,8.288510713340976,1.9398642095053347,3.31540428533639
AI,4.422398852566784,2.510010159564932,2.8685830395027794,2.211199426283392
SG,9.10865201579154,14.691613151715812,18.7654156389574,3.3182972986986052
GR,4.133153518516721,3.521912505214953,2.027767806032852,2.6923711300196955
AG,14.6519200661042,9.98494172392798,11.494846481690876,4.085304862137949
TG,8.670857970879004,5.071633907495267,23.16124056372263,2.22363935641333
TI,3.3518805916919057,4.931694636155173,2.2290145248158972,0.9891251953870543
VD,5.44493899001995,4.263798874057719,4.698832659342818,2.0804438280166435
VS,3.1404192971493825,3.4797785007864515,4.279696623645257,1.0800241322100366
NE,5.275237023585379,1.504027451286222,0.7854365578939159,1.8939604942122794
GE,6.4337923788650775,2.078696747517426,1.7699048393717216,1.9035891410689472
JU,3.928380545163014,1.7771245323356495,1.5232495991448425,1.897381079636558
