geo_code,population_total,swiss_per1000,foreign_per1000,nonpermanent_per1000,foreign_male_per1000,foreign_female_per1000,swiss_male_per1000,swiss_female_per1000
ZH,1630744,705.2658173201926,288.15804319991366,6.57613947989384,151.60564748360258,136.55239571631108,344.3857527607031,360.8800645594894
BE,1079240,810.2859419591565,182.27919647159112,7.434861569252437,95.27352581446202,87.00567065712909,392.54568029353993,417.7402616656166
LU,441330,778.721138377178,213.6065982371468,7.672263385675118,113.27578002855006,100.33081820859674,382.59125824213174,396.12988013504633
UR,38750,836.8,150.94193548387096,12.258064516129032,83.48387096774194,67.45806451612903,420.56774193548387,416.23225806451615
SZ,169756,755.5255778882631,239.6145055255779,4.859916586158958,129.2561087678786,110.3583967576993,381.44748933763753,374.07808855062564
OW,40176,818.9715252887296,168.2347670250896,12.793707686180804,91.49741138988452,76.7373556352051,407.5069693349263,411.46455595380326
NW,45591,817.4859073062665,177.11829089074598,5.395801802987432,95.39163431379,81.72665657695597,413.54653330701234,403.9393739992542
GL,42825,725.3940455341507,264.0046701692936,10.60128429655575,142.46351430239346,121.54115586690017,357.52481027437244,367.8692352597782
ZG,135082,688.3670659303239,301.69082483232404,9.942109237352128,160.24340770791076,141.44741712441333,341.37782976266266,346.98923616766115
FR,348762,742.4576071934442,251.55550203290494,5.986890773650798,133.46924263537886,118.0862593975261,364.3057443184751,378.15186287496914
SO,292132,738.0875768488218,253.90234551504116,8.010077636137089,135.46273602344147,118.4396094915997,361.41881067462657,376.6687661741952
BS,203860,605.7147061709016,382.139703718238,12.145590110860395,195.4429510448347,186.69675267340332,286.6231727656235,319.09153340527814
BL,303521,739.8170143087299,252.94131213326258,7.241673558007518,130.65982254934585,122.28148958391677,356.528872796281,383.2881415124489
SH,89562,703.4568232062705,286.55009937250173,9.993077421227754,150.9010517853554,135.64904758714633,341.573435162234,361.8833880440365
AR,56968,814.6854374385621,180.69793568319056,4.616626878247437,96.93161072883022,83.76632495436034,404.3498104198848,410.33562701867714
AI,16794,870.3108252947482,126.05692509229488,3.6322496129570085,68.06002143622722,57.99690365606764,443.3130880076218,426.99773728712637
SG,542758,726.6903481846422,268.2945253685804,5.015126446777385,144.0034048323562,124.29112053622426,356.68382594084284,370.0065222437993
GR,213782,761.3550252125998,202.8889242312262,35.756050556174046,110.64074618068874,92.24817805053746,374.9052773385972,386.44974787400247
AG,742319,715.3541806150726,275.8746576606553,8.77116172427218,147.87443134285934,128.00022631779598,351.9457268371145,363.408453777958
TG,301606,719.196567707539,273.8506528384714,6.952779453989642,146.741112577336,127.10954026113538,354.6912196706962,364.50534803684275
TI,362026,699.8420002983211,291.5315474579174,8.626452243761499,150.52510040715308,141.0064470507643,332.89874207929813,366.94325821902294
VD,865265,652.4290246340717,335.8300636221273,11.740911743801032,175.43411555997295,160.3959480621544,310.9810289333326,341.44799570073906
VS,381948,720.2158408998084,251.87460073098956,27.90955836920209,135.25663179280951,116.61796893818007,350.3696838313069,369.8461570685015
NE,181332,722.0236913506717,267.97255862175456,10.003750027573732,141.6242031191406,126.348355502614,344.8812123618556,377.1424789888161
GE,535454,578.2457503352296,413.6265673615287,8.127682303241734,207.7657464506755,205.86082091085322,272.07379158620535,306.1719587490242
JU,75301,832.7246650110889,161.15323833680827,6.122096652102893,85.21799179293768,75.9352465438706,407.36510803309386,425.359556977995
