geo_code,geo_name,population,italy_citizens_per1000,germany_citizens_per1000,portugal_citizens_per1000,france_citizens_per1000,kosovo_citizens_per1000,spain_citizens_per1000
ZH,- Zürich,1620020,37.87854470932458,54.45364872038617,16.905346847569785,7.278922482438489,11.181343440204442,12.46033999580252
BE,- Bern / Berne,1071216,19.834468491882124,27.227001837164494,13.747927588833624,6.137884422936177,8.464212633119745,7.244103896879808
LU,- Luzern,437944,21.71282173063223,36.9065451290576,18.19410700911532,1.9660047860000367,18.50693239318269,5.747310158376414
UR,- Uri,38275,13.167864141084259,26.936642717178312,22.599608099281514,1.1757021554539515,3.3703461789679947,2.1685173089484
SZ,- Schwyz,168931,23.406006002450706,53.31170714670487,11.862831570286094,4.060829569469192,17.22596799876873,4.676465539184638
OW,- Obwalden,39662,11.572790076143413,40.74428924411276,26.675407190761938,1.5884221673138017,7.664767283545963,4.286218546719782
NW,- Nidwalden,45345,19.737567537766015,46.4218767229022,13.695004961958318,2.469952585731613,7.299592016760393,3.70492887859742
GL,- Glarus,42371,43.40232706332161,36.58162422411555,30.75216539614359,0.9204408675745203,19.18765193174577,6.679096551886904
ZG,- Zug,133739,28.189234254779834,50.90512116884379,15.231159198139661,10.677513664675226,9.03251856227428,9.989606621853012
FR,- Fribourg / Freiburg,346674,17.044831743943877,8.572895573362871,77.72720192457467,40.55106526592707,14.650651620831097,9.798831178571223
SO,- Solothurn,289792,37.64424138692579,36.28119478798587,7.391508392226148,2.487991386925795,21.705223056537104,5.3624668727915195
BS,- Basel-Stadt,201384,43.633059230127515,85.23020696778293,17.41945735510269,12.041671632304453,10.537083382989712,21.625352560282842
BL,- Basel-Landschaft,301323,38.51017014964009,50.10570052734109,7.878588756915336,4.370725102298862,13.334528064568586,8.827736349365962
SH,- Schaffhausen,88667,30.496125954413706,85.47712226645766,7.545084416975876,2.447359220454058,16.082646305840957,6.563885098176322
AR,- Appenzell Ausserrhoden,56705,15.712900096993211,48.443699850101396,11.65682038620933,0.7583105546248127,5.396349528260295,4.6380389736354815
AI,- Appenzell Innerrhoden,16733,6.872646865475408,27.430825315245325,13.147672264387737,0.7769079065320026,0.4183350265941552,4.780971732504632
SG,- St. Gallen,540036,29.162870623439918,49.685576517121085,11.058522024457629,1.3406513639831419,17.68585797983838,5.855165211208142
GR,- Graubünden / Grigioni / Grischun,206138,36.970379066450626,38.83805994042826,43.33989851458731,1.1497152393057077,2.833053585462166,3.6383393648914804
AG,- Aargau,735808,41.05282899886927,52.66183569626859,13.65030007828129,2.254664260241802,26.073377837696793,6.417434983039054
TG,- Thurgau,299509,34.035705104020245,89.26276005061618,15.418568390265401,1.0984644868768552,9.90621316888641,4.961453579024337
TI,- Ticino,358903,178.98986634271654,8.2584988144429,18.344789539234835,2.7723368152397723,4.719938256297663,5.121160870764524
VD,- Vaud,855106,34.808550051104774,6.407392767680264,62.20281462181297,71.15959892691666,12.294382216941525,20.43372400614661
VS,- Valais / Wallis,371288,30.806274374609465,10.999547521061817,77.44661825860248,39.36028096787399,5.9549460257266595,8.540539958199565
NE,- Neuchâtel,179518,35.41706124176962,2.7183903563988014,68.4443899776067,57.771365545516325,7.130204213505053,14.561213917267349
GE,- Genève,531102,39.16008600984369,7.757455253416481,57.80433890288494,72.57739567917274,14.334346321422249,31.272712209707365
JU,- Jura,74840,20.697487974345268,3.099946552645644,22.5013361838589,31.1865312667023,7.990379476215927,12.733832175307324
