"geo","GeboorteRelatief_25","SterfteRelatief_27","GemiddeldeHuishoudensgrootte_32","Bevolkingsdichtheid_33","GemiddeldeWOZWaardeVanWoningen_35","PercentageEengezinswoning_36","PercentageMeergezinswoning_37","PercentageBewoond_38","PercentageOnbewoond_39","Koopwoningen_40","HuurwoningenTotaal_41","BouwjaarVoor2000_45","BouwjaarVanaf2000_46","GemiddeldElektriciteitsverbruikTotaal_47","GemiddeldAardgasverbruikTotaal_55","AantalInkomensontvangers_64","GemiddeldInkomenPerInkomensontvanger_65","GemiddeldInkomenPerInwoner_66","k_40PersonenMetLaagsteInkomen_67","k_20PersonenMetHoogsteInkomen_68","Actieven1575Jaar_69","HuishoudensMetEenLaagInkomen_72","PersonenautoSPerHuishouden_91","AfstandTotHuisartsenpraktijk_94","AfstandTotGroteSupermarkt_95","AfstandTotSchool_97","Mannen_6","Vrouwen_7","k_0Tot15Jaar_8","k_15Tot25Jaar_9","k_25Tot45Jaar_10","k_45Tot65Jaar_11","k_65JaarOfOuder_12","Ongehuwd_13","Gehuwd_14","Gescheiden_15","Verweduwd_16","WestersTotaal_17","NietWestersTotaal_18","GeboorteTotaal_24","SterfteTotaal_26","HuishoudensTotaal_28","Eenpersoonshuishoudens_29","HuishoudensZonderKinderen_30","HuishoudensMetKinderen_31","Woningvoorraad_34"
"WK055312  ","9","5","2.4","4049","231","85","15","99","1","62","38","100","0","2750","1190","1100","31","25.1","37.9","21.4","58.4","3.7","1.2","0.8","0.5","0.4","483.8709677419355","516.1290322580645","164.87455197132616","125.44802867383513","175.62724014336916","301.0752688172043","236.55913978494624","408.60215053763443","473.1182795698925","75.26881720430107","46.59498207885304","89.60573476702508","50.17921146953405","7.168458781362007","3.5842293906810037","415.77060931899643","125.44802867383513","136.20071684587813","161.29032258064515","416.4874551971326"
"WK055313  ","7","5","2.2","7770","202","49","51","98","2","46","54","96","4","2600","1200","1400","29.6","24","40.3","18.1","57.4","9.9","1","0.6","0.9","0.5","477.6536312849162","519.5530726256983","167.5977653631285","120.11173184357541","237.43016759776538","282.122905027933","189.9441340782123","469.2737430167598","382.6815642458101","106.14525139664805","44.6927374301676","106.14525139664805","81.00558659217877","8.379888268156424","5.58659217877095","458.1005586592179","175.9776536312849","125.69832402234637","159.21787709497207","456.4245810055866"
"WK055314  ","13","12","2.1","5418","210","74","26","99","1","44","56","100","0","2580","1160","1400","27.6","23.2","42.4","13.8","54.5","5.8","1","0.5","1.2","0.9","484.93975903614455","512.0481927710844","138.55421686746988","90.36144578313252","201.80722891566265","268.0722891566265","304.2168674698795","358.43373493975906","487.95180722891564","87.34939759036145","69.27710843373494","81.32530120481928","75.3012048192771","12.048192771084338","12.048192771084338","466.86746987951807","153.6144578313253","177.710843373494","141.56626506024097","468.67469879518075"
"WK055315  ","13","0","2.1","214","NaN","97","3","91","9","97","3","91","9","3420","2160","100","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.3","0.9","0.8","500","500","71.42857142857143","142.85714285714286","214.28571428571428","357.14285714285717","214.28571428571428","500","428.57142857142856","142.85714285714286","71.42857142857143","71.42857142857143","142.85714285714286","0","0","500","214.28571428571428","214.28571428571428","142.85714285714286","500"
"WK055316  ","0","0","3.2","359","NaN","100","0","96","4","100","0","12","88","5510","2150","100","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.6","1.4","0.4","466.6666666666667","533.3333333333334","66.66666666666667","333.3333333333333","66.66666666666667","466.6666666666667","133.33333333333334","466.6666666666667","600","66.66666666666667","0","66.66666666666667","0","0","0","266.6666666666667","0","133.33333333333334","266.6666666666667","333.3333333333333"
"WK055317  ","7","1","3","9374","276","100","0","100","0","88","12","100","0","3640","1160","1200","34.2","26.4","36.6","24.7","66.6","1.5","1.3","0.8","1.3","0.3","525.1572327044025","474.84276729559747","194.9685534591195","179.24528301886792","188.67924528301887","371.0691823899371","69.18238993710692","477.9874213836478","462.2641509433962","53.459119496855344","12.578616352201259","66.0377358490566","47.16981132075472","6.289308176100629","0","333.3333333333333","34.59119496855346","91.19496855345912","210.69182389937106","330.188679245283"
"WK055318  ","9","0","2.6","6520","275","78","22","98","2","95","5","64","36","3210","1070","1000","38.8","30.9","29.8","31","70.9","1.8","1.4","1.1","1.2","0.6","504.1322314049587","491.73553719008265","181.8181818181818","144.62809917355372","235.53719008264463","376.0330578512397","57.85123966942149","500","425.6198347107438","66.11570247933884","12.396694214876034","70.24793388429752","33.05785123966942","8.264462809917354","0","380.1652892561983","82.64462809917356","111.5702479338843","194.21487603305786","371.07438016528926"
"WK055319  ","19","0","2.1","4791","211","82","18","99","1","34","66","67","33","2570","980","500","29.4","24","35.6","14.5","67","7.1","1.1","1.8","2.4","1.9","484.8484848484849","515.1515151515151","166.66666666666666","98.48484848484848","303.030303030303","280.3030303030303","151.5151515151515","484.8484848484849","348.4848484848485","136.36363636363637","37.878787878787875","83.33333333333333","30.303030303030305","15.151515151515152","0","469.6969696969697","151.5151515151515","166.66666666666666","166.66666666666666","466.6666666666667"
"WK055320  ","5","5","2.5","2194","288","97","3","98","2","89","11","99","1","3450","1510","400","33.8","29","39.2","23.7","63.1","2","1.5","0.9","1.2","0.5","514.8514851485148","485.1485148514852","128.7128712871287","168.31683168316832","168.31683168316832","346.53465346534654","198.01980198019803","405.94059405940595","504.9504950495049","59.40594059405941","49.504950495049506","89.10891089108911","39.603960396039604","0","0","396.03960396039605","79.20792079207921","158.41584158415841","178.21782178217822","386.13861386138615"
"WK055321  ","0","6","2.8","110","409","91","9","95","5","75","24","84","16","3860","2300","200","36.2","28.9","41.9","24.2","65.4","2","1.5","1.4","1.8","1","491.52542372881356","491.52542372881356","169.4915254237288","169.4915254237288","152.54237288135593","322.03389830508473","203.38983050847457","457.6271186440678","440.6779661016949","50.847457627118644","67.79661016949153","67.79661016949153","0","0","0","338.9830508474576","84.7457627118644","84.7457627118644","186.4406779661017","257.6271186440678"
"WK014000  ","7","8","2.4","112","180","91","9","96","4","70","29","90","10","2520","1500","3100","28.7","22.9","40.3","15.6","63","6.1","1.2","1.3","1.9","0.8","502.53807106598987","497.46192893401013","176.39593908629442","124.36548223350253","213.1979695431472","288.07106598984774","195.43147208121826","470.81218274111677","417.51269035532994","55.83756345177665","55.83756345177665","29.18781725888325","21.573604060913706","7.614213197969543","8.883248730964468","416.24365482233503","126.90355329949239","134.51776649746193","153.55329949238578","428.4263959390863"
"WK014001  ","13","4","2.5","52","195","99","1","96","4","86","13","98","2","2630","1690","1000","29","22.9","39.3","15.7","62.2","4.6","1.3","3.1","3","1.2","520.6611570247934","479.3388429752066","161.15702479338842","128.099173553719","185.9504132231405","326.44628099173553","185.9504132231405","442.1487603305785","462.8099173553719","53.71900826446281","33.05785123966942","37.1900826446281","8.264462809917354","12.396694214876034","4.132231404958677","404.9586776859504","107.43801652892562","140.49586776859505","152.89256198347107","414.87603305785126"
"WK014002  ","7","0","2.5","193","214","98","2","98","2","85","15","78","22","2790","1590","900","33.7","25.7","32.8","23.2","59.9","3.9","1.3","3.7","0.4","0.4","497.8723404255319","497.8723404255319","200","97.87234042553192","191.48936170212767","331.9148936170213","170.2127659574468","446.8085106382979","459.5744680851064","51.06382978723404","38.297872340425535","42.5531914893617","25.53191489361702","8.51063829787234","0","395.74468085106383","80.85106382978724","136.17021276595744","170.2127659574468","398.29787234042556"
"WK014003  ","9","4","2.4","74","184","99","1","95","5","76","23","88","12","2640","1550","2200","29.2","22.9","39.2","16.6","64.2","4.9","1.4","2.1","2.6","0.5","527.7280858676207","472.27191413237927","184.25760286225403","114.4901610017889","218.24686940966012","305.90339892665475","171.73524150268335","463.3273703041145","438.2826475849732","59.03398926654741","39.355992844364934","32.200357781753134","14.311270125223613","8.94454382826476","3.5778175313059033","413.2379248658318","110.91234347048301","146.69051878354205","153.84615384615384","426.8336314847943"
