"geo","GeboorteRelatief_25","SterfteRelatief_27","GemiddeldeHuishoudensgrootte_32","Bevolkingsdichtheid_33","GemiddeldeWOZWaardeVanWoningen_35","PercentageEengezinswoning_36","PercentageMeergezinswoning_37","PercentageBewoond_38","PercentageOnbewoond_39","Koopwoningen_40","HuurwoningenTotaal_41","BouwjaarVoor2000_45","BouwjaarVanaf2000_46","GemiddeldElektriciteitsverbruikTotaal_47","GemiddeldAardgasverbruikTotaal_55","AantalInkomensontvangers_64","GemiddeldInkomenPerInkomensontvanger_65","GemiddeldInkomenPerInwoner_66","k_40PersonenMetLaagsteInkomen_67","k_20PersonenMetHoogsteInkomen_68","Actieven1575Jaar_69","HuishoudensMetEenLaagInkomen_72","PersonenautoSPerHuishouden_91","AfstandTotHuisartsenpraktijk_94","AfstandTotGroteSupermarkt_95","AfstandTotSchool_97","Mannen_6","Vrouwen_7","k_0Tot15Jaar_8","k_15Tot25Jaar_9","k_25Tot45Jaar_10","k_45Tot65Jaar_11","k_65JaarOfOuder_12","Ongehuwd_13","Gehuwd_14","Gescheiden_15","Verweduwd_16","WestersTotaal_17","NietWestersTotaal_18","GeboorteTotaal_24","SterfteTotaal_26","HuishoudensTotaal_28","Eenpersoonshuishoudens_29","HuishoudensZonderKinderen_30","HuishoudensMetKinderen_31","Woningvoorraad_34"
"GM1728    ","9","9","2.3","266","269","84","16","97","3","74","25","80","20","3440","1510","16200","30.9","25.3","39.2","18.5","64","4.4","1.3","1","1.1","0.7","507.252155709515","492.747844290485","159.24836764192793","116.6326072870458","219.05996112246424","300.20435627772514","204.85470767083686","442.6556347505358","442.80516373423717","59.213477545730946","55.32572396949609","68.08553057867717","28.958779843492998","9.171111000348901","9.370482978617355","421.3726760703783","123.06235358620346","145.44185814683746","152.8684643373374","422.9676518965259"
"GM0376    ","11","9","2.2","915","531","87","13","95","5","66","34","81","19","3900","2080","7800","57","44.2","33.3","31.1","54.2","5.3","1.3","0.9","0.7","0.7","486.52092932065483","513.4790706793451","168.31683168316832","90.4813253602588","187.1385158317812","292.3242819331438","261.7390451916479","403.68591314577003","453.77904127046367","85.28575629840212","57.24928928536418","112.24389765709245","74.79658856974807","11.76355259288305","9.312812469365749","443.58396235663173","139.10400941084208","154.8867758062935","149.59317713949613","454.7593373198706"
"GM0377    ","6","13","2.3","575","588","75","25","95","5","70","30","90","10","3630","2120","16900","60.7","46.6","33.2","36.4","54.9","5.1","1.2","0.9","0.7","0.6","481.2494523788662","518.7505476211338","177.29781827740297","106.10707088407956","149.74152282484886","305.6164023481994","261.2371856654692","429.94830456496976","433.9787961096995","73.68789976342767","62.38499956190309","133.6195566459301","49.285902041531585","6.133356698501709","13.142907211075089","420.2225532287742","135.415753964777","133.2690791203014","151.5377201436958","426.136861473758"
"GM1901    ","11","7","2.4","446","271","80","20","95","5","71","28","86","14","3120","1440","26300","35.8","28.2","37.6","24.2","63.2","4.2","1.2","1.1","0.7","0.8","501.02273737882786","498.97726262117214","182.1954762398838","122.46168440399609","219.19188924791746","282.77947410547534","193.3714760027273","441.3185901046453","453.1171256632971","58.34049743574541","47.22378679631222","60.47490587851659","62.698248006403226","11.353867133074438","7.2925621794681765","407.01983221178074","113.62760501585984","134.14164171582723","159.2505854800937","417.6918744256366"
"GM0755    ","9","8","2.5","302","254","87","13","96","4","74","24","78","22","3760","1650","8200","29.3","23.6","40.7","17.1","64.6","4.2","1.4","1.7","1.7","1","511.42692529287496","488.57307470712504","171.98002688688305","132.8019973113117","221.52871135010562","295.46763971576723","178.2216247359324","475.2256577683887","428.84578452083736","47.24409448818898","48.68446322258498","56.46245438832341","21.509506433647015","9.122335317841367","8.450163241789898","382.6579604378721","93.81601690032649","127.42462070289994","161.41732283464566","387.3631649702324"
"GM0009    ","6","11","2.4","161","169","91","9","96","4","77","23","85","15","2740","1630","5500","29.6","23.1","38.6","18.3","62","5","1.2","1.5","1.8","0.6","494.9231613611416","505.0768386388584","181.80570801317234","113.74862788144895","209.11086717892425","299.807903402854","195.52689352360045","443.3315038419319","430.43358946212953","63.52908891328211","62.705817782656425","41.712403951701425","27.854006586169046","6.311745334796926","11.525795828759605","405.87266739846325","109.0834248079034","135.42810098792535","161.36114160263446","417.81009879253565"
"GM1681    ","6","11","2.3","92","175","93","7","92","8","71","29","88","12","3170","1860","20600","28.5","23.4","42.6","15.4","55.4","6.1","1.3","1.8","2","1.3","498.7576414908302","501.2423585091698","142.81206862551764","107.631630842043","188.16801419838296","326.7994478406626","234.5888384933938","387.8524945770065","480.93078288306054","68.42831788601853","62.78840465391441","39.597712482745024","17.511338986393216","6.744231906921712","11.477026227568526","435.45651745217907","119.10865706961151","171.20883454939855","145.139025833169","456.39913232104124"
"GM0147    ","10","9","2.4","877","209","85","15","97","3","67","33","81","19","3240","1430","17900","31.4","25","38.7","20.1","59.6","5","1.2","1.2","1","0.6","500.5922351392849","499.4077648607151","176.8370256635227","106.47071726255759","227.5937705637201","283.43935073481026","205.65913577538933","428.25180960737003","454.8804562404036","59.48672954595306","57.38100460627331","65.1458653213424","47.51041895152446","10.923448124588726","9.037069532792279","418.8637859179645","117.04321123053302","141.87321781092345","159.947356876508","418.3812239526212"
"GM0654    ","9","8","2.4","160","209","92","8","96","4","72","28","86","14","2830","1340","17800","30.8","24.5","40","20","63.7","4.5","1.3","1.1","1.3","0.9","505.59767277856133","494.40232722143867","176.70133991537378","116.84590973201692","217.8684767277856","297.11741889985893","191.46685472496475","425.37905500705216","459.09732016925244","66.77538787023977","48.748236953455574","60.47249647390691","25.696403385049365","9.784908321579689","8.021861777150917","416.29936530324403","121.65021156558534","142.7626939351199","151.88645980253878","429.0814527503526"
"GM0756    ","7","9","2.3","258","240","84","16","97","3","68","32","86","14","3460","1570","23000","30.4","25.2","39.9","18.1","60","4.6","1.2","1.2","1.2","0.7","503.98829635306004","496.01170364693996","148.55968511616567","121.46016928489324","198.6485074366923","319.8300184611098","211.50161970113902","440.45421296457556","445.47006165314014","59.040718938312025","55.03500644397227","70.8836950085339","52.00459786129785","7.941760423560556","9.892368246891218","421.8886063603748","125.0130621059598","148.24619457313037","148.62934968128462","419.52001114633043"
