geo,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
HU11,494.0,311.0,183.0,44.0,1125.0,123.0,208.0,56.0
HU12,526.0,275.0,251.0,43.2,1052.0,164.0,180.0,41.0
HU21,546.0,326.0,220.0,45.4,1050.0,142.0,211.0,47.0
HU22,547.0,334.0,212.0,45.9,1059.0,137.0,216.0,47.0
HU23,583.0,372.0,212.0,46.8,1080.0,134.0,235.0,52.0
HU31,576.0,331.0,245.0,44.4,1066.0,155.0,210.0,47.0
HU32,548.0,307.0,240.0,43.4,1051.0,155.0,198.0,43.0
HU33,573.0,356.0,217.0,46.0,1070.0,138.0,226.0,53.0
