"area_code","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A4200","A5101","A5102","A9101","A9201","E1101","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E4101","E4501","I510120","I5102","I5103"
"R10000","1902000","942000","960000","1831000","905000","926000","210000","107000","102000","1103000","573000","531000","589000","262000","327000","9950","26743","26879","29093","6220","2751","111","6740","303","6704","89890","160","4017","48968","77","45978","114","1563","968"
"R03000","1163000","562000","602000","1154000","558000","596000","120000","62000","59000","636000","326000","310000","407000","174000","233000","5432","19612","14903","19690","3376","1488","64","3294","271","4441","52972","149","2799","29109","79","28501","76","879","542"
"R40000","5103000","2418000","2685000","5011000","2369000","2642000","644000","329000","314000","3007000","1480000","1527000","1452000","609000","843000","33942","62153","97425","88783","20549","8512","407","47629","714","18136","274421","353","10334","140707","163","123387","390","4806","3042"
"R45000","1042000","492000","550000","1032000","488000","544000","133000","68000","65000","559000","275000","283000","351000","150000","201000","6502","16212","16844","18573","3592","1796","88","4575","232","4322","57196","132","2704","30341","51","28754","112","906","479"
"R24000","1727000","844000","882000","1669000","815000","855000","198000","102000","97000","999000","512000","487000","529000","231000","298000","9524","23744","23783","29504","6039","2515","150","10149","363","6743","86500","167","3775","46472","70","42567","81","1498","789"
"R47000","1468000","723000","745000","1443000","708000","734000","236000","120000","116000","882000","444000","438000","350000","158000","192000","12549","15110","26410","27054","6316","3170","151","6518","266","6695","100472","150","3998","50484","64","42535","76","928","601"
"R44000","1096000","522000","575000","1079000","513000","566000","127000","65000","62000","594000","298000","296000","375000","159000","216000","6259","16756","16852","19338","3689","1695","141","6306","260","4292","54625","127","2504","29304","54","28637","126","947","514"
"R34000","2738000","1329000","1409000","2682000","1299000","1383000","331000","170000","162000","1582000","803000","778000","825000","356000","469000","16682","35563","40561","47957","10083","4103","208","16632","463","10040","141948","261","5657","74909","128","66888","201","2521","1476"
"R46000","1549000","732000","817000","1533000","725000","807000","197000","101000","96000","828000","404000","424000","524000","227000","297000","9868","24217","24547","27761","5111","2500","134","7425","491","7512","85954","220","4259","45323","89","41952","191","1369","773"
"R23000","7477000","3726000","3751000","7195000","3584000","3611000","927000","476000","452000","4627000","2399000","2228000","1923000","851000","1071000","48402","80557","104565","107208","31759","10928","390","57300","967","25531","395820","434","14214","207714","221","181249","278","5682","3696"
"R32000","650000","314000","335000","640000","310000","330000","77000","40000","37000","346000","177000","168000","227000","98000","130000","3759","10461","9318","11258","2095","799","76","2002","196","2999","32449","95","1808","16609","47","16854","37","689","251"
"R41000","795000","377000","417000","786000","373000","412000","103000","53000","50000","440000","218000","222000","252000","107000","145000","5144","11199","14481","15957","2730","1150","46","2926","163","3536","42834","91","2135","23136","44","21997","82","693","396"
"R37000","926000","448000","478000","910000","439000","470000","107000","55000","52000","517000","262000","255000","301000","131000","171000","5365","13653","14730","16782","3296","1424","108","6823","160","3493","47498","75","2033","25113","40","23658","75","816","467"
