area_code,area_name,births_2024,births_2015,births_growth_2015_2024_pct,taxable_income_2024_thousand_yen,taxable_income_2015_thousand_yen,taxable_income_growth_2015_2024_pct
19384,昭和町,173.0,225.0,-23.11111111111111,41148409.0,28970070.0,42.03765817617976
19422,道志村,7.0,12.0,-41.66666666666667,2390351.0,2366138.0,1.0233130950096738
19423,西桂町,14.0,32.0,-56.25,5578560.0,4963880.0,12.383055190697599
19424,忍野村,68.0,109.0,-37.61467889908257,27908576.0,19438701.0,43.57222738288942
19425,山中湖村,29.0,38.0,-23.684210526315788,13768281.0,7694666.0,78.9327957834687
19429,鳴沢村,11.0,14.0,-21.428571428571427,4768154.0,3840782.0,24.14539539083447
19430,富士河口湖町,163.0,226.0,-27.876106194690266,47890610.0,36141397.0,32.50901729116891
19442,小菅村,4.0,2.0,100.0,802706.0,791772.0,1.380953102660867
19443,丹波山村,2.0,2.0,0.0,596769.0,558791.0,6.796458783337599
20201,長野市,2077.0,3008.0,-30.950797872340424,602799237.0,523011721.0,15.255397306860738
20202,松本市,1448.0,2100.0,-31.047619047619047,405389064.0,352886783.0,14.87793919445263
20203,上田市,828.0,1175.0,-29.531914893617024,229510622.0,193988483.0,18.311468006067145
20204,岡谷市,236.0,336.0,-29.761904761904763,75156082.0,67869469.0,10.736216309575076
20205,飯田市,551.0,828.0,-33.45410628019324,146084092.0,126102467.0,15.845546463416929
20206,諏訪市,270.0,447.0,-39.59731543624161,83031654.0,70562286.0,17.671434284314426
20207,須坂市,237.0,362.0,-34.530386740331494,73032246.0,61166891.0,19.3983294001325
20208,小諸市,215.0,303.0,-29.042904290429046,57389971.0,47145906.0,21.728429611682508
20209,伊那市,330.0,495.0,-33.33333333333333,99928418.0,87517957.0,14.180473842642375
20210,駒ヶ根市,153.0,252.0,-39.285714285714285,49338398.0,43263133.0,14.042591413802603
20211,中野市,174.0,341.0,-48.97360703812317,61065905.0,51308443.0,19.017263883840716
20212,大町市,87.0,165.0,-47.27272727272727,33338066.0,30467582.0,9.421436857050224
20213,飯山市,68.0,129.0,-47.286821705426355,23990516.0,21545716.0,11.347035299267844
20214,茅野市,263.0,434.0,-39.40092165898618,85809033.0,72726900.0,17.988025063628452
20215,塩尻市,410.0,518.0,-20.84942084942085,107712549.0,89533000.0,20.304858543777154
20217,佐久市,539.0,743.0,-27.456258411843876,147854631.0,118709982.0,24.551135893525785
20218,千曲市,297.0,396.0,-25.0,85167664.0,73154097.0,16.42227502309269
20219,東御市,162.0,229.0,-29.257641921397383,41458390.0,34915059.0,18.74071299721991
20220,安曇野市,435.0,702.0,-38.034188034188034,143420161.0,119134222.0,20.38535912879844
20303,小海町,19.0,24.0,-20.833333333333336,5548688.0,5251019.0,5.668785430027962
